Vout,ronp,rons,vfp,vfs,rm,sw_p1,sw_p2,sw_p3,sw_p4,cond_p1,cond_p2,cond_p3,cond_p4,sw_s1,sw_s2,sw_s3,sw_s4,cond_s1,cond_s2,cond_s3,cond_s4,core_t1
300.0,200.046,45.854,6.339,3.343,1213.148,3.326388392842313,3.3294225803230426,3.3294225803230426,3.326388392842313,9.112444465851013,4.142088093552958,4.142088093552958,9.112444465851013,1.3784602735107745,1.3715560357009584,1.3715560357009584,1.3784602735107745,0.5773771833566411,1.3980912868324202,1.3980912868324202,0.5773771833566411,4.568801485609348
300.0,200.053,62.712,6.297,3.658,2355.314,3.311209298384503,3.314214508183901,3.314214508183901,3.311209298384503,9.072786777774455,4.139273196055507,4.139273196055507,9.072786777774455,1.376815873755407,1.3700506074074,1.3700506074074,1.376815873755407,0.5800697899701052,1.3944348634782453,1.3944348634782453,0.5800697899701052,2.356182606787885
300.0,200.157,28.993,4.336,4.41,1278.382,3.2620495312350775,3.262010430289364,3.262010430289364,3.2620495312350775,9.35430603266662,9.39524696356536,9.39524696356536,9.35430603266662,1.3693859171863525,1.3689551167225464,1.3689551167225464,1.3693859171863525,1.3898536590062864,1.3701672256220752,1.3701672256220752,1.3898536590062864,4.33109126844795
300.0,200.16,17.857,3.788,3.896,1528.041,3.2391567727412087,3.2391206785718456,3.2391206785718456,3.2391567727409143,9.66452582449086,9.635068848722245,9.635068848722245,9.664525823200512,1.3674003693264187,1.3666475912870937,1.3666475912870937,1.3674003693264187,1.3817599811747625,1.3870416774407996,1.3870416774407996,1.3817599811747625,3.6213149688341777
300.0,200.522,16.454,5.869,5.179,2719.826,3.294250356548296,3.2942233859027548,3.2942233859027548,3.294250356548296,9.097003730593514,9.057925706755,9.057925706755,9.097003730593514,1.3651537199342192,1.3643480446365055,1.3643480446365055,1.3651537199342192,1.385957055989617,1.3882238653628411,1.3882238653628411,1.385957055989617,2.035037474108178
300.0,200.678,17.368,4.212,2.555,699.951,3.282913049093768,3.2828769904718125,3.2828769904718125,3.2829130490941334,9.598094619565009,9.57846845507137,9.57846845507137,9.59809461901466,1.3743126453816674,1.3735126164773934,1.3735126164773934,1.3743126453816674,1.3972166987072576,1.4040845221135232,1.4040845221135232,1.3972166987072576,7.900547737308627
300.0,201.188,60.558,3.071,2.805,2668.573,3.2103781173786694,3.210337925799707,3.210337925799707,3.21037811737868,10.183059284465466,10.075361483866812,10.075361483866812,10.183059296525103,1.3708302104353616,1.3706290020162095,1.3706290020162095,1.3708302104353616,1.3776700988622002,1.387784821132152,1.387784821132152,1.3776700988622002,2.078551684381947
300.0,201.691,22.685,3.019,4.835,406.823,3.2884906634121958,3.2884539705604414,3.2884539705604414,3.2884906634121958,10.564282476104363,10.437822377364666,10.437822377364666,10.564282476104363,1.3852161003670451,1.3845669885369345,1.3845669885369345,1.3852161003670451,1.4017130188991238,1.4148183829911851,1.4148183829911851,1.4017130188991238,13.581491731301703
300.0,201.826,17.442,3.326,4.471,3026.083,3.2133779824888427,3.213342580667478,3.213342580667478,3.2133779824888427,9.932218722217954,9.875213537771021,9.875213537771021,9.932218722217954,1.3665372004354222,1.3657635484368014,1.3657635484368014,1.3665372004354222,1.3747267346529537,1.3819935274741195,1.3819935274741195,1.3747267346529537,1.8285290554568503
300.0,202.508,71.031,5.404,4.213,567.836,3.3407527439843947,3.340716347543581,3.340716347543581,3.3407527439842872,9.309781681268664,9.378191541125329,9.378191541125329,9.30978168125967,1.3846734260840723,1.3844806991495755,1.3844806991495755,1.3846734260840723,1.4196500070401257,1.4199202134129387,1.4199202134129387,1.4196500070401257,9.763852593067975
