"Time / s","sw_p1:conduction loss","sw_p1:switching loss","sw_p2:conduction loss","sw_p2:switching loss","sw_p3:conduction loss","sw_p3:switching loss","sw_p4:conduction loss","sw_p4:switching loss","sw_s1:conduction loss","sw_s1:switching loss","sw_s2:conduction loss","sw_s2:switching loss","sw_s3:conduction loss","sw_s3:switching loss","sw_s4:conduction loss","sw_s4:switching loss","Pout"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.9999999999999998e-06,11.329733120152349,5.392712906672311,10.877044749341186,6.3822699412288122,10.877044749341186,6.3822699412288122,11.329733120152349,5.392712906672311,1.3233875585652093,0.079617790854725479,1.5375442509807349,0.051654994116277421,1.5375442509807349,0.051654994116277421,1.3233875585652093,0.079617790854725479,0.00011745910492404837
7.9999999999999996e-06,11.294291906879861,5.5882288567176248,11.058919515739987,6.1736069130363953,11.058919515739987,6.1736069130363953,11.294291906879861,5.5882288567176248,1.3739066205738795,0.099479413276933687,1.4970058535532071,0.076583112338956982,1.4970058535532071,0.076583112338956982,1.3739066205738795,0.099479413276933687,0.0001757056956406867
1.2e-05,11.251708796054773,5.7025362668557094,11.13170484375485,6.0457610555735899,11.13170484375485,6.0457610555735899,11.251708796054773,5.7025362668557094,1.401192117371689,0.12000533767676776,1.4736476381188468,0.10085628053771933,1.4736476381188468,0.10085628053771933,1.401192117371689,0.12000533767676776,0.00026105418938549615
1.5999999999999999e-05,11.221950060711652,5.7684124530919574,11.144649597393455,5.9662992941437043,11.144649597393455,5.9662992941437043,11.221950060711652,5.7684124530919574,1.4142253708118515,0.1409966480899322,1.4580546875797904,0.12451684240712857,1.4580546875797904,0.12451684240712857,1.4142253708118515,0.1409966480899322,0.00037327069949148013
1.9999999999999998e-05,11.192112669440204,5.8053871721914092,11.155347624377056,5.9157819948630861,11.155347624377056,5.9157819948630861,11.192112669440204,5.8053871721914092,1.4220366114626206,0.16229947014132687,1.4521131834795427,0.14767543045379794,1.4521131834795427,0.14767543045379794,1.4220366114626206,0.16229947014132687,0.00051223644761895656
2.4000000000000001e-05,11.180851024634828,5.8251107873191339,11.155019827707196,5.889289557513532,11.155019827707196,5.889289557513532,11.180851024634828,5.8251107873191339,1.427827012010155,0.18379775327419554,1.4455825069570438,0.17044362887666478,1.4455825069570438,0.17044362887666478,1.427827012010155,0.18379775327419554,0.00067786781018981115
2.8e-05,11.159471454277183,5.8345376975199565,11.145987002442991,5.8716651660832619,11.145987002442991,5.8716651660832619,11.159471454277183,5.8345376975199565,1.4301598758941505,0.20540665543639597,1.4396158232831413,0.19291334792008658,1.4396158232831413,0.19291334792008658,1.4301598758941505,0.20540665543639597,0.00087000322452905979
3.1999999999999999e-05,11.137532379478259,5.8378204325370779,11.13205808626067,5.8588024305286375,11.13205808626067,5.8588024305286375,11.137532379478259,5.8378204325370779,1.4303128327519163,0.22706586954697588,1.435217563164878,0.21515390692612155,1.435217563164878,0.21515390692612155,1.4303128327519163,0.22706586954697588,0.0010885784282877655
3.6000000000000001e-05,11.115847152377134,5.837438662485634,11.114216281220191,5.848786872468291,11.114216281220191,5.848786872468291,11.115847152377134,5.837438662485634,1.428584370698623,0.2487335223492001,1.4320088865668068,0.23721510272870502,1.4320088865668068,0.23721510272870502,1.428584370698623,0.2487335223492001,0.0013335025365812201
3.9999999999999996e-05,11.093297726943051,5.8348730810083254,11.094430773738647,5.8404748094608507,11.094430773738647,5.8404748094608507,11.093297726943051,5.8348730810083254,1.428819011268472,0.27038109992301412,1.4297263161880491,0.25913162937988876,1.4297263161880491,0.25913162937988876,1.428819011268472,0.27038109992301412,0.0016046831241235124
4.3999999999999999e-05,11.071219403774656,5.8310077753120968,11.073626833710017,5.8331831891429822,11.073626833710017,5.8331831891429822,11.071219403774656,5.8310077753120968,1.4265402460666714,0.29198949994438633,1.4280901936499673,0.2809271621078156,1.4280901936499673,0.2809271621078156,1.4265402460666714,0.29198949994438633,0.0019020263622995339
4.8000000000000001e-05,11.049055195702234,5.8263705120915112,11.052499190882333,5.826504165176015,11.052499190882333,5.826504165176015,11.049055195702234,5.8263705120915112,1.4242614563838689,0.31354610904669433,1.4244912276904362,0.30261762243575585,1.4244912276904362,0.30261762243575585,1.4242614563838689,0.31354610904669433,0.0022254373783904434
5.1999999999999997e-05,11.026866105202517,5.8212762878261515,11.030777788482494,5.8201942413562904,11.030777788482494,5.8201942413562904,11.026866105202517,5.8212762878261515,1.4218613060802712,0.33504270739537156,1.4218015998714026,0.32421360951020217,1.4218015998714026,0.32421360951020217,1.4218613060802712,0.33504270739537156,0.0025748206205458432
5.5999999999999999e-05,11.004678034907048,5.8159130788307225,11.008859687981191,5.814108067062568,11.008859687981191,5.814108067062568,11.004678034907048,5.8159130788307225,1.4193910626363833,0.35647401093175279,1.4191590214743921,0.34572213462843887,1.4191590214743921,0.34572213462843887,1.4193910626363833,0.35647401093175279,0.0029500801507826978
5.9999999999999995e-05,10.982505301821343,5.810393012697963,10.986843505473749,5.8081588797575501,10.986843505473749,5.8081588797575501,10.982505301821343,5.810393012697963,1.4168813078022546,0.37783667406603233,1.4165467593160266,0.36714782246186001,1.4165467593160266,0.36714782246186001,1.4168813078022546,0.37783667406603233,0.0033511198519183567
6.3999999999999997e-05,10.960355178391758,5.8047829456757079,10.964786123594578,5.8022948955383269,10.964786123594578,5.8022948955383269,10.960355178391758,5.8047829456757079,1.4143503394739669,0.39912861977327402,1.4139548807417113,0.38849372771886709,1.4139548807417113,0.38849372771886709,1.4143503394739669,0.39912861977327402,0.0037778435739827874
6.7999999999999999e-05,10.949820241889299,5.7991227346925625,10.959706610944254,5.7964851859016902,10.959706610944254,5.7964851859016902,10.949820241889299,5.7991227346925625,1.4084013130789832,0.42034859376783246,1.4121973594861463,0.40976188271077807,1.4121973594861463,0.40976188271077807,1.4084013130789832,0.42034859376783246,0.0042301802533466692
7.2000000000000002e-05,10.928061999778961,5.7934361560515413,10.937855408369332,5.7907112972974719,10.937855408369332,5.7907112972974719,10.928061999778961,5.7934361560515413,1.4058529051076245,0.44149587338880353,1.4096255962823261,0.43095365743706304,1.4096255962823261,0.43095365743706304,1.4058529051076245,0.44149587338880353,0.0047079838742455282
7.5999999999999991e-05,10.906398179654412,5.7877372874644308,10.910128677206453,5.7849622401749023,10.910128677206453,5.7849622401749023,10.906398179654412,5.7877372874644308,1.4033047359040958,0.46257007390639382,1.4028657373144411,0.45206999567961659,1.4028657373144411,0.45206999567961659,1.4033047359040958,0.46257007390639382,0.0052111561958223225
7.9999999999999993e-05,10.884817183748961,5.7820345173102812,10.888492063860715,5.7792313542547733,10.888492063860715,5.7792313542547733,10.884817183748961,5.7820345173102812,1.4007590626911912,0.48357102735673563,1.4003139155291973,0.47311157000611959,1.4003139155291973,0.47311157000611959,1.4007590626911912,0.48357102735673563,0.0057396568168586824
8.3999999999999995e-05,10.863307566943723,5.7763328254521884,10.866939545057438,5.7735146758775331,10.866939545057438,5.7735146758775331,10.863307566943723,5.7763328254521884,1.3982172639077466,0.50449870344119785,1.3977687413004036,0.49407887815295903,1.3977687413004036,0.49407887815295903,1.3982172639077466,0.50449870344119785,0.0062933627961306313
8.7999999999999998e-05,10.841857363730343,5.7706351497763855,10.845461209697673,5.7678098178671648,10.845461209697673,5.7678098178671648,10.841857363730343,5.7706351497763855,1.3956800984804623,0.52535315845535435,1.3952298199603772,0.51497230832207397,1.3952298199603772,0.51497230832207397,1.3956800984804623,0.52535315845535435,0.0068721790448723454
9.2e-05,10.827453185290443,5.7649432151817228,10.824045498192287,5.7621153332562942,10.824045498192287,5.7621153332562942,10.827453185290443,5.7649432151817228,1.3945060307141492,0.54613450308594158,1.3926968070766554,0.53579217902250542,1.3926968070766554,0.53579217902250542,1.3945060307141492,0.54613450308594158,0.0074760384306066519
9.6000000000000002e-05,10.80607833816299,5.7592579728700386,10.809561566106284,5.7564302851353579,10.809561566106284,5.7564302851353579,10.80607833816299,5.7592579728700386,1.3919772193842315,0.56684288154293305,1.3915045882849917,0.55653876479997921,1.3915045882849917,0.55653876479997921,1.3919772193842315,0.56684288154293305,0.008104818119824277
9.9999999999999991e-05,10.784730468314979,5.7535800502892869,10.788228067039611,5.7507541758369616,10.788228067039611,5.7507541758369616,10.784730468314979,5.7535800502892869,1.3894541885819589,0.58747846001592952,1.3889808998115256,0.57721231194447797,1.3889808998115256,0.57721231194447797,1.3894541885819589,0.58747846001592952,0.0087583970271117341
0.00010399999999999999,10.763388980858824,5.7479097662072736,10.766924413890415,5.745086655215518,10.766924413890415,5.745086655215518,10.763388980858824,5.7479097662072736,1.3869369609233646,0.60804141726023653,1.3864629854539929,0.59781305006136742,1.3864629854539929,0.59781305006136742,1.3869369609233646,0.60804141726023653,0.0094367083530906299
0.000108,10.742007278909604,5.7422472883638234,10.745601872104988,5.7394274932420153,10.745601872104988,5.7394274932420153,10.742007278909604,5.7422472883638234,1.3844255529684573,0.62853193994509349,1.3839508450660263,0.61834119720179392,1.3839508450660263,0.61834119720179392,1.3844255529684573,0.62853193994509349,0.010139658268919981
0.000112,10.720623018272203,5.7365926952694339,10.724270029487238,5.7337765321307863,10.724270029487238,5.7337765321307863,10.720623018272203,5.7365926952694339,1.3819200387369712,0.64895021947642084,1.3814443687240061,0.63879696430029742,1.3814443687240061,0.63879696430029742,1.3819200387369712,0.64895021947642084,0.010867153193931993
0.000116,10.699227278365923,5.7309460130160854,10.702938223002439,5.7281336577892015,10.702938223002439,5.7281336577892015,10.699227278365923,5.7309460130160854,1.3794204585717187,0.66929645001502491,1.3789435686185376,0.65918055768721873,1.3789435686185376,0.65918055768721873,1.3794204585717187,0.66929645001502491,0.011619099810261305
0.00011999999999999999,10.677811676269632,5.7253072371707487,10.681596707642022,5.7224987827993612,10.681596707642022,5.7224987827993612,10.677811676269632,5.7253072371707487,1.3769268394836522,0.68957082724359431,1.3764483841796182,0.67949218065436823,1.3764483841796182,0.67949218065436823,1.3769268394836522,0.68957082724359431,0.012395405049657398
0.00012400000000000001,10.656367497759259,5.7196763457977626,10.660236959914842,5.7168718362508111,10.660236959914842,5.7168718362508111,10.656367497759259,5.7196763457977626,1.3744391063959673,0.70977354760122635,1.3739588403060661,0.69973203442908183,1.3739588403060661,0.69973203442908183,1.3744391063959673,0.70977354760122635,0.013195976096701013
0.00012799999999999999,10.634887343600694,5.7140533071678767,10.638850409540241,5.7112527576710237,10.638850409540241,5.7112527576710237,10.634887343600694,5.7140533071678767,1.3719572610910886,0.72990480780939948,1.3714748918329804,0.71990031877892546,1.3714748918329804,0.71990031877892546,1.3719572610910886,0.72990480780939948,0.014020720390312992
0.00013199999999999998,10.613364629160033,5.7084380843312017,10.617429087948198,5.7056414933873016,10.617429087948198,5.7056414933873016,10.613364629160033,5.7084380843312017,1.3694813569185813,0.74996480457896053,1.3689965014380092,0.73999723238640081,1.3689965014380092,0.73999723238640081,1.3694813569185813,0.74996480457896053,0.014869545623426053
0.000136,10.591792690241554,5.7028306378158042,10.595966257703491,5.7000379943318027,10.595966257703491,5.7000379943318027,10.591792690241554,5.7028306378158042,1.3670113458699842,0.76995373442960102,1.366523714527726,0.76002297308157718,1.366523714527726,0.76002297308157718,1.3670113458699842,0.76995373442960102,0.015742359740862379
0.00013999999999999999,10.570165574379267,5.6972309272068111,10.574454875680459,5.6944422147264078,10.574454875680459,5.6944422147264078,10.570165574379267,5.6972309272068111,1.3645471935751332,0.78987179357897486,1.3640564605097112,0.7799777379853029,1.3640564605097112,0.7799777379853029,1.3645471935751332,0.78987179357897486,0.016639070934991063
0.000144,10.548332513207951,5.6916389120697328,10.552889322014126,5.6888541112666999,10.552889322014126,5.6888541112666999,10.548332513207951,5.6916389120697328,1.3620888654501273,0.80971917787482894,1.3615947736430869,0.79986172359842789,1.3615947736430869,0.79986172359842789,1.3620888654501273,0.80971917787482894,0.017559587652650938
0.00014799999999999999,10.526434377683598,5.6860545524651691,10.531118229746795,5.6832736426255179,10.531118229746795,5.6832736426255179,10.526434377683598,5.6860545524651691,1.3596364482749552,0.82949608275342546,1.3591406359430602,0.81967512585696467,1.3591406359430602,0.81967512585696467,1.3596364482749552,0.82949608275342546,0.018503818592645039
0.00015199999999999998,10.504478404231692,5.6804778092500694,10.509282822435722,5.6777007691317447,10.509282822435722,5.6777007691317447,10.504478404231692,5.6804778092500694,1.3571898500828918,0.84920270321486313,1.3566944735235276,0.83941814016529415,1.3566944735235276,0.83941814016529415,1.3571898500828918,0.84920270321486313,0.019471672699728625
0.000156,10.482461225436333,5.6749086442328212,10.487389684152829,5.6721354525661214,10.487389684152829,5.6721354525661214,10.482461225436333,5.6749086442328212,1.3547490620432738,0.86883923380791628,1.3542541006821485,0.85909096141836661,1.3542541006821485,0.85909096141836661,1.3547490620432738,0.86883923380791628,0.020463059166241405
0.00015999999999999999,10.460380512585413,5.66934702023892,10.465435676162908,5.6665776560164174,10.465435676162908,5.6665776560164174,10.460380512585413,5.66934702023892,1.3523141203274665,0.88840586862145088,1.3518195516576645,0.87869378401655984,1.3518195516576645,0.87869378401655984,1.3523141203274665,0.88840586862145088,0.021477887439236468
0.000164,10.438233739070606,5.6637929011439851,10.443418183877302,5.6610273437739691,10.443418183877302,5.6610273437739691,10.438233739070606,5.6637929011439851,1.3498849513171549,0.90790280127932754,1.3493908405274297,0.89822680187334836,1.3493908405274297,0.89822680187334836,1.3498849513171549,0.90790280127932754,0.022516067208610272
