Vout,ronp,rons,vfp,vfs,rm,sw_p1,sw_p2,sw_p3,sw_p4,cond_p1,cond_p2,cond_p3,cond_p4,sw_s1,sw_s2,sw_s3,sw_s4,cond_s1,cond_s2,cond_s3,cond_s4,core_t1
300.0,10.029,37.965,3.078,4.709,4228.181,3.2497651818476063,3.249833238504919,3.249833238504919,3.2497651818476063,7.70117570862577,7.701359115258618,7.701359115258618,7.70117570862577,1.2103093069002504,1.2101979140811585,1.2101979140811585,1.2103093069002504,1.1639823801838003,1.1643455357618309,1.1643455357618309,1.1639823801838003,1.3250168279197003
300.0,10.405,43.27,4.572,5.679,4211.185,3.249294971746904,3.24936603650195,3.24936603650195,3.249294971746904,7.704455676882165,7.704647410361295,7.704647410361295,7.704455676882165,1.2109493683450672,1.210851058871161,1.210851058871161,1.2109493683450672,1.1645788718742476,1.1649000518177166,1.1649000518177166,1.1645788718742476,1.3307978036083667
300.0,10.478,63.288,4.312,5.706,2670.177,3.251478781507107,3.251555128811493,3.251555128811493,3.251478781507107,7.723090691518105,7.723298426796435,7.723298426796435,7.723090691518105,1.2133364749590965,1.213266290702417,1.213266290702417,1.2133364749590965,1.1667954135588232,1.1670256068250349,1.1670256068250349,1.1667954135588232,2.101426961236528
300.0,10.526,84.451,4.662,3.723,1261.293,3.2610336153833583,3.26111269233678,3.26111269233678,3.2610336153833583,7.766878198731215,7.7670945662243716,7.7670945662243716,7.766878198731215,1.2176289498491928,1.2175727376748031,1.2175727376748031,1.2176289498491928,1.1711172152451967,1.1713018750639594,1.1713018750639594,1.1711172152451967,4.454347348509328
300.0,10.582,89.124,4.83,3.652,1452.713,3.257956068733327,3.258034898913623,3.258034898913623,3.257956068733327,7.759456927775261,7.759672379882688,7.759672379882688,7.759456927775261,1.2173361129165867,1.2172824363048662,1.2172824363048662,1.2173361129165867,1.1706664048764983,1.1708428610618409,1.1708428610618409,1.1706664048764983,3.868622192239752
300.0,10.703,89.069,4.562,2.938,2246.503,3.251522050840141,3.2516001062232407,3.2516001062232407,3.251522050840141,7.73856826517647,7.738781401735613,7.738781401735613,7.73856826517647,1.2158402930787833,1.2157870662776626,1.2157870662776626,1.2158402930787833,1.1689739134223325,1.1691489493786111,1.1691489493786111,1.1689739134223325,2.5017638870450387
300.0,10.986,78.091,5.314,4.432,1444.826,3.25866172037848,3.2587400766228574,3.2587400766228574,3.25866172037848,7.75783947155116,7.758053337872867,7.758053337872867,7.75783947155116,1.2168198880522991,1.2167602479108282,1.2167602479108282,1.2168198880522991,1.170347916695923,1.170543824142278,1.170543824142278,1.170347916695923,3.886983983105904
300.0,11.032,29.62,6.027,3.665,4740.528,3.249338211057206,3.2494011496606023,3.2494011496606023,3.249338211057206,7.700351753188983,7.700520030762172,7.700520030762172,7.700351753188983,1.2102218531529707,1.2100782957340963,1.2100782957340963,1.2102218531529707,1.1640029965075025,1.1644690543847709,1.1644690543847709,1.1640029965075025,1.1811622906405834
300.0,11.164,68.48,5.007,4.531,662.861,3.280803150526172,3.2808832624924547,3.2808832624924547,3.280803150526172,7.827542549676803,7.827761718780144,7.827761718780144,7.827542549676803,1.2215236764212063,1.2214552029154793,1.2214552029154793,1.2215236764212063,1.1759379819822369,1.1761624405097932,1.1761624405097932,1.1759379819822369,8.465865064074238
300.0,11.531,37.349,6.053,4.166,2807.767,3.2524233186425118,3.2524927129988126,3.2524927129988126,3.2524233186425118,7.717450622075046,7.717638521506797,7.717638521506797,7.717450622075046,1.2120417433421355,1.2119276056589023,1.2119276056589023,1.2120417433421355,1.165891212034079,1.166263098209101,1.166263098209101,1.165891212034079,1.995125700386819
300.0,11.663,79.336,5.916,2.775,2094.66,3.2527205172447675,3.2527979228202044,3.2527979228202044,3.2527205172447675,7.742197055210767,7.742408348565062,7.742408348565062,7.742197055210767,1.2159816439075248,1.2159232054471387,1.2159232054471387,1.2159816439075248,1.1693520316624932,1.1695440717886745,1.1695440717886745,1.1693520316624932,2.681382855309695
300.0,11.895,58.409,2.998,2.626,961.578,3.268850978563948,3.268928370534897,3.268928370534897,3.268850978563948,7.785770191312294,7.785980915571397,7.785980915571397,7.785770191312294,1.218237650067179,1.2181604200392573,1.2181604200392573,1.218237650067179,1.1724134670710078,1.1726664635181667,1.1726664635181667,1.1724134670710078,5.832630526407502
300.0,12.117,95.857,3.459,4.623,1312.655,3.2589959006200666,3.259073745255097,3.259073745255097,3.2589959006200666,7.774626156458838,7.774840085309629,7.774840085309629,7.774626156458838,1.2193577260330253,1.21930689707512,1.21930689707512,1.2193577260330253,1.172752376251798,1.1729194712924838,1.1729194712924838,1.172752376251798,4.282974383761216
300.0,12.427,58.345,6.418,6.396,363.28,3.3143180258538343,3.3144003822300125,3.3144003822300125,3.3143180258538343,7.941026232376467,7.941252565028613,7.941252565028613,7.941026232376467,1.2297471265142583,1.2296647819258402,1.2296647819258402,1.2297471265142583,1.1856750762004122,1.1859432940801364,1.1859432940801364,1.1856750762004122,15.433004193957814
300.0,12.519,89.683,3.452,5.056,2533.959,3.249587034031721,3.2496635763691994,3.2496635763691994,3.249587034031721,7.741889651704183,7.742099309607064,7.742099309607064,7.741889651704183,1.216791972440386,1.216739152252443,1.216739152252443,1.216791972440386,1.1699876557633049,1.170161366658648,1.170161366658648,1.1699876557633049,2.217957977046981
300.0,12.556,19.868,3.766,4.394,765.833,3.278193477183575,3.278246299357008,3.278246299357008,3.278193477183575,7.7991913491289475,7.799339771623875,7.799339771623875,7.7991913491289475,1.2176269927424723,1.2173933175306886,1.2173933175306886,1.2176269927424723,1.1723786284780051,1.1731287171688187,1.1731287171688187,1.1723786284780051,7.305111704002583
300.0,12.644,65.761,5.417,5.174,554.581,3.2884119228840505,3.2884919734370266,3.2884919734370266,3.2884119228840505,7.859234340659939,7.85945420265485,7.85945420265485,7.859234340659939,1.2242521185045263,1.224180379665954,1.224180379665954,1.2242521185045263,1.1791074997849578,1.179342461616314,1.179342461616314,1.1791074997849578,10.116052572902571
300.0,13.024,70.817,5.263,5.265,4003.253,3.246878801160152,3.246954340302266,3.246954340302266,3.246878801160152,7.725094402896317,7.725300416779975,7.725300416779975,7.725094402896317,1.2148041602928523,1.2147404687014551,1.2147404687014551,1.2148041602928523,1.1681991207075637,1.1684083305740554,1.1684083305740554,1.1681991207075637,1.4022598742101793
300.0,13.099,15.936,3.546,3.956,4412.412,3.2500010968414563,3.250040700476079,3.250040700476079,3.2500010968414563,7.705734278508889,7.70584580870145,7.70584580870145,7.705734278508889,1.210780806924035,1.2104851657824267,1.2104851657824267,1.210780806924035,1.1646019965165493,1.165546990141905,1.165546990141905,1.1646019965165493,1.2678246309022765
300.0,13.189,26.281,6.073,3.273,845.551,3.2743385144262693,3.274402730126168,3.274402730126168,3.2743385144262693,7.793118689369325,7.793292457099317,7.793292457099317,7.793118689369325,1.2177041666024315,1.2175343352657553,1.2175343352657553,1.2177041666024315,1.1724188678375556,1.1729680042689583,1.1729680042689583,1.1724188678375556,6.61911941848166
300.0,13.19,32.207,4.946,3.333,2727.921,3.252501446976141,3.2525685910343127,3.2525685910343127,3.252501446976141,7.723481437113045,7.723662929526829,7.723662929526829,7.723481437113045,1.2128564476121264,1.2127233017026784,1.2127233017026784,1.2128564476121264,1.1668555637097715,1.167288296278999,1.167288296278999,1.1668555637097715,2.0527604082096924
300.0,13.214,76.457,4.953,5.132,954.391,3.2675072470237114,3.2675850514267863,3.2675850514267863,3.2675072470237114,7.798097474759532,7.798310877302313,7.798310877302313,7.798097474759532,1.2205237503372746,1.220462220684946,1.220462220684946,1.2205237503372746,1.1745463516437842,1.1747483338127638,1.1747483338127638,1.1745463516437842,5.883023846526076
300.0,13.225,25.05,4.093,4.443,1827.741,3.257706221436839,3.2577674042907794,3.2577674042907794,3.257706221436839,7.73707896281113,7.737243232423807,7.737243232423807,7.73707896281113,1.2135373276669903,1.2133622462904656,1.2133622462904656,1.2135373276669903,1.1677170630622034,1.168283112307272,1.168283112307272,1.1677170630622034,3.062271551289768
300.0,13.548,41.457,2.864,5.868,3462.493,3.249718044872009,3.2497892645010977,3.2497892645010977,3.249718044872009,7.7211432972040654,7.721336353174142,7.721336353174142,7.7211432972040654,1.213262667113425,1.2131592969312428,1.2131592969312428,1.213262667113425,1.1671276057999287,1.1674650554734247,1.1674650554734247,1.1671276057999287,1.6182192209445894
300.0,13.58,98.756,5.853,6.11,4545.697,3.244051027049728,3.2441258445590333,3.2441258445590333,3.244051027049728,7.7339492514001345,7.734151760682696,7.734151760682696,7.7339492514001345,1.2170537851702312,1.217005225646962,1.217005225646962,1.2170537851702312,1.1700281073645875,1.1701882290504235,1.1701882290504235,1.1700281073645875,1.2370955999411075
300.0,13.652,58.233,4.831,6.315,476.09,3.2965607021717984,3.296640308684676,3.296640308684676,3.2965607021717984,7.8876575980132735,7.887875951117909,7.887875951117909,7.8876575980132735,1.2263237543905603,1.226243065190609,1.226243065190609,1.2263237543905603,1.181666392675671,1.1819303505470578,1.1819303505470578,1.181666392675671,11.777202530283738
300.0,13.762,25.928,3.766,5.838,4266.034,3.249285651155844,3.24934743334805,3.24934743334805,3.249285651155844,7.712276078729654,7.712442002549763,7.712442002549763,7.712276078729654,1.211945157201998,1.2117781117887771,1.2117781117887771,1.211945157201998,1.1659064158912835,1.1664470858274318,1.1664470858274318,1.1659064158912835,1.312131577324403
300.0,13.89,92.166,3.506,3.28,4968.707,3.243898385532972,3.2439732240719854,3.2439732240719854,3.243898385532972,7.731431215844921,7.7316305307160205,7.7316305307160205,7.731431215844921,1.2166547533437346,1.2166036303289087,1.2166036303289087,1.2166547533437346,1.1697361060053777,1.1699049127619736,1.1699049127619736,1.1697361060053777,1.1312993598540173
300.0,13.907,58.715,5.944,4.886,4297.495,3.2469613944064366,3.247035471905654,3.247035471905654,3.2469613944064366,7.723310839371275,7.723512756413443,7.723512756413443,7.723310839371275,1.214402429785738,1.2143275608481972,1.2143275608481972,1.214402429785738,1.168015137779598,1.1682606113082772,1.1682606113082772,1.168015137779598,1.3052242941093832
300.0,14.028,27.317,3.307,4.954,3757.889,3.249930908094671,3.2499942692965758,3.2499942692965758,3.249930908094671,7.71657265804408,7.71674327282293,7.71674327282293,7.71657265804408,1.2124258700100845,1.2122677107805544,1.2122677107805544,1.2124258700100845,1.1664229323953608,1.1669353642883256,1.1669353642883256,1.1664229323953608,1.4896707520126349
300.0,14.216,79.324,3.569,3.928,1554.388,3.256321103327645,3.256396878578214,3.256396878578214,3.256321103327645,7.767520422555874,7.767726063072317,7.767726063072317,7.767520422555874,1.2187939783095874,1.2187352061924166,1.2187352061924166,1.2187939783095874,1.172478210429857,1.1726715304299695,1.1726715304299695,1.172478210429857,3.6130027183356015
300.0,14.313,63.957,3.537,2.922,635.642,3.281965642529551,3.282043580063104,3.282043580063104,3.281965642529551,7.845327878023991,7.8455419209561805,7.8455419209561805,7.845327878023991,1.2237671725249222,1.2236941901387954,1.2236941901387954,1.2237671725249222,1.1785545351454747,1.1787936061905313,1.1787936061905313,1.1785545351454747,8.824965999996179
300.0,14.53,23.589,4.416,3.265,403.711,3.308535826422767,3.308601008678018,3.308601008678018,3.308535826422767,7.9132113603489405,7.91338802722656,7.91338802722656,7.9132113603489405,1.2268402270458627,1.2266392910299575,1.2266392910299575,1.2268402270458627,1.1829201234170357,1.1835674671740402,1.1835674671740402,1.1829201234170357,13.856956794923065
300.0,14.573,70.856,3.531,5.995,4165.298,3.2461281617235413,3.246202403507852,3.246202403507852,3.2461281617235413,7.730691765197963,7.73089271417717,7.73089271417717,7.730691765197963,1.2157949471617298,1.215731307401474,1.215731307401474,1.2157949471617298,1.1692781750377008,1.169487409431734,1.169487409431734,1.1692781750377008,1.347656326557085
300.0,14.69,51.772,2.674,5.986,4238.74,3.2472622539949905,3.2473349923748653,3.2473349923748653,3.2472622539949905,7.724575239227802,7.724773519027082,7.724773519027082,7.724575239227802,1.214444750123479,1.2143608074995385,1.2143608074995385,1.214444750123479,1.1682047037194667,1.168479519770091,1.168479519770091,1.1682047037194667,1.322707127859569
300.0,14.729,70.621,6.165,4.215,2204.14,3.251727027394081,3.2518016972430512,3.2518016972430512,3.251727027394081,7.750055819457047,7.750258416376499,7.750258416376499,7.750055819457047,1.2172679996308438,1.2172036760560427,1.2172036760560427,1.2172679996308438,1.1709480340325484,1.1711594045150004,1.1711594045150004,1.1709480340325484,2.5465952769043017
300.0,14.831,21.076,3.386,3.546,4524.542,3.2489141543558016,3.248970044411856,3.248970044411856,3.2489141543558016,7.713925192774577,7.714074736920866,7.714074736920866,7.713925192774577,1.212243689867479,1.2120321709802775,1.2120321709802775,1.212243689867479,1.1662452213312413,1.1669265093283114,1.1669265093283114,1.1662452213312413,1.2367516846362874
300.0,14.848,13.538,5.404,5.291,2710.877,3.25330365469028,3.253337166803048,3.253337166803048,3.25330365469028,7.724483191365738,7.724569966346179,7.724569966346179,7.724483191365738,1.2127313446335963,1.2123619167069095,1.2123619167069095,1.2127313446335963,1.1666525882853789,1.167829021121805,1.167829021121805,1.1666525882853789,2.063135708204843
300.0,14.886,16.325,4.371,5.145,4287.94,3.2495447193521887,3.249589621617216,3.249589621617216,3.2495447193521887,7.713694101498397,7.713813030510072,7.713813030510072,7.713694101498397,1.2120481127080884,1.2117599356844573,1.2117599356844573,1.2120481127080884,1.1659835301498476,1.16690572711899,1.16690572711899,1.1659835301498476,1.304596366110759
300.0,15.034,62.019,3.248,2.558,1402.336,3.259053836561173,3.2591285290840983,3.2591285290840983,3.259053836561173,7.771367056471856,7.771570880379859,7.771570880379859,7.771367056471856,1.2185229685410108,1.2184502684069365,1.2184502684069365,1.2185229685410108,1.1725762631194787,1.17281470152722,1.17281470152722,1.1725762631194787,4.00023613165638
