Vout,ronp,rons,vfp,vfs,sw_p1,sw_p2,sw_p3,sw_p4,cond_p1,cond_p2,cond_p3,cond_p4,sw_s1,sw_s2,sw_s3,sw_s4,cond_s1,cond_s2,cond_s3,cond_s4,core_t1
400.0,10.037,45.006,5.423,3.683,1.6541473873610737,1.6540870895547588,1.6540870895547588,1.6541473873610737,2.6398808766442925,2.6396080870155894,2.6396080870155894,2.6398808766442925,1.6755614862142227,1.6754552748711165,1.6754552748711165,1.6755614862142227,0.4339203377566532,0.4339345751985778,0.4339345751985778,0.4339203377566532,20.021016353065463
400.0,10.132,65.669,4.376,6.287,1.6536196855343668,1.6535575081861342,1.6535575081861342,1.6536196855343668,2.641665036998396,2.6413811132144955,2.6413811132144955,2.641665036998396,1.6780416221691397,1.67793707988177,1.67793707988177,1.6780416221691397,0.4343412790996084,0.4343512690279247,0.4343512690279247,0.4343412790996084,20.03447533450767
400.0,10.212,29.414,6.339,5.348,1.654479263133023,1.6544168813873574,1.6544168813873574,1.654479263133023,2.638831476063924,2.6385457385300297,2.6385457385300297,2.638831476063924,1.6738421423854966,1.673733554908042,1.673733554908042,1.6738421423854966,0.4336713458961435,0.4336903787192559,0.4336903787192559,0.4336713458961435,20.010856931650103
400.0,10.213,90.099,4.252,3.625,1.6530053337228134,1.6529437227492896,1.6529437227492896,1.6530053337228134,2.6437392453357806,2.643459294875707,2.643459294875707,2.6437392453357806,1.680962496009274,1.6808581170570185,1.6808581170570185,1.680962496009274,0.4348303227049581,0.4348383737276679,0.4348383737276679,0.4348303227049581,20.050395643823794
400.0,10.388,39.707,3.045,5.893,1.65417944852015,1.6541160739196807,1.6541160739196807,1.65417944852015,2.639865040090311,2.6395730508848487,2.6395730508848487,2.639865040090311,1.6751519902941023,1.675046960269266,1.675046960269266,1.6751519902941023,0.4339185979363151,0.4339311968900466,0.4339311968900466,0.4339185979363151,20.017555003727967
400.0,10.412,75.818,3.543,4.485,1.6532948762065929,1.6532335957407387,1.6532335957407387,1.6532948762065929,2.642807314365487,2.642529281915581,2.642529281915581,2.642807314365487,1.6794040490506548,1.679299520593589,1.679299520593589,1.6794040490506548,0.4346133207168224,0.4346224765346296,0.4346224765346296,0.4346133207168224,20.041081407076124
400.0,10.498,64.617,3.492,3.368,1.6535419759905272,1.6534810687417114,1.6534810687417114,1.6535419759905272,2.6419967749639306,2.641720906318568,2.641720906318568,2.6419967749639306,1.678140649016309,1.6780355053684826,1.6780355053684826,1.678140649016309,0.4344233057708691,0.4344341626941488,0.4344341626941488,0.4344233057708691,20.03378007363464
400.0,10.504,81.028,6.301,5.673,1.6531433405740743,1.653082074390207,1.653082074390207,1.6531433405740743,2.643335368509843,2.643057506142508,2.643057506142508,2.643335368509843,1.6800720651792285,1.6799675107074457,1.6799675107074457,1.6800720651792285,0.4347383256750651,0.4347471382226349,0.4347471382226349,0.4347383256750651,20.044474783105155
400.0,10.643,14.753,4.644,2.845,1.6547181690706707,1.6546519792178458,1.6546519792178458,1.6547181690706707,2.6381559657478517,2.637846523114283,2.637846523114283,2.6381559657478517,1.6726332865053222,1.6725102159566554,1.6725102159566554,1.6726332865053222,0.4335023472499859,0.4335444456034713,0.4335444456034713,0.4335023472499859,20.001300243026343
400.0,10.647,75.505,3.654,5.803,1.653237198820655,1.6531755110485564,1.6531755110485564,1.653237198820655,2.6430531492657328,2.642772615264539,2.642772615264539,2.6430531492657328,1.6795096717069466,1.6794050670184455,1.6794050670184455,1.6795096717069466,0.4346729804025666,0.434682214296285,0.434682214296285,0.4346729804025666,20.040870934938464
400.0,10.722,22.223,5.456,5.023,1.6545117213342684,1.6544489640813935,1.6544489640813935,1.6545117213342684,2.638835919592684,2.6385476741555967,2.6385476741555967,2.638835919592684,1.6733089461450037,1.6731965134899622,1.6731965134899622,1.6733089461450037,0.4336739413451154,0.4336992251339054,0.4336992251339054,0.4336739413451154,20.00616137562996
400.0,10.762,31.67,3.386,5.959,1.6542698044525397,1.654207686456344,1.654207686456344,1.6542698044525397,2.639639767306166,2.639356035610701,2.639356035610701,2.639639767306166,1.6744370645149178,1.6743291761067125,1.6743291761067125,1.6744370645149178,0.4338678398369853,0.4338852919151123,0.4338852919151123,0.4338678398369853,20.01231139997412
400.0,10.888,34.876,3.395,4.688,1.6541567012219185,1.6540939611382526,1.6540939611382526,1.6541567012219185,2.6400443007626904,2.6397566013731817,2.6397566013731817,2.6400443007626904,1.6748879292558052,1.6747814211591483,1.6747814211591483,1.6748879292558052,0.4339649046935919,0.4339799417901501,0.4339799417901501,0.4339649046935919,20.014396095760087
400.0,11.126,52.601,4.677,3.746,1.6536583869410462,1.653596973665384,1.653596973665384,1.6536583869410462,2.641745183884556,2.6414664215572934,2.6414664215572934,2.641745183884556,1.6771097425197976,1.677004386010627,1.677004386010627,1.6771097425197976,0.4343695451435566,0.4343813464991426,0.4343813464991426,0.4343695451435566,20.025934357476253
400.0,11.128,82.18,6.323,2.866,1.6529417555945582,1.6528799519671316,1.6528799519671316,1.6529417555945582,2.6441505476713307,2.6438691607346203,2.6438691607346203,2.6441505476713307,1.6805870005881378,1.6804824949807449,1.6804824949807449,1.6805870005881378,0.4349353813224439,0.434943889065829,0.434943889065829,0.4349353813224439,20.045209029261628
400.0,11.154,11.448,5.917,4.139,1.654653386941488,1.6545912307940267,1.6545912307940267,1.654653386941488,2.6384590677320574,2.6381754182965302,2.6381754182965302,2.6384590677320574,1.6727201270119183,1.6725707869791957,1.6725707869791957,1.6727201270119183,0.4335609534342991,0.43364455301677,0.43364455301677,0.4335609534342991,19.999134948651307
400.0,11.247,44.385,3.317,6.136,1.6538242365734908,1.653762696831523,1.653762696831523,1.6538242365734908,2.6412192862366157,2.6409393814768043,2.6409393814768043,2.6412192862366157,1.676218806715636,1.6761131269725178,1.6761131269725178,1.676218806715636,0.4342465159200031,0.4342594237242584,0.4342594237242584,0.4342465159200031,20.020579172350946
400.0,11.346,67.24,3.055,5.671,1.6532426845172403,1.653180092284759,1.653180092284759,1.6532426845172403,2.643189158772589,2.6429030836450798,2.6429030836450798,2.643189158772589,1.678961859031155,1.6788578100232558,1.6788578100232558,1.678961859031155,0.4347113857851542,0.4347199964368471,0.4347199964368471,0.4347113857851542,20.035466258093106
400.0,11.356,70.879,2.847,2.637,1.6531516133468205,1.6530894041508963,1.6530894041508963,1.6531516133468205,2.6434951240610878,2.643211756156598,2.643211756156598,2.6434951240610878,1.6793959115184764,1.679291741427054,1.679291741427054,1.6793959115184764,0.434783643406275,0.434792153429531,0.434792153429531,0.434783643406275,20.03783745183172
400.0,11.483,34.906,5.993,5.03,1.653988471884159,1.65392683995988,1.65392683995988,1.653988471884159,2.6407241682746045,2.640443701937932,2.640443701937932,2.6407241682746045,1.675251085276499,1.6751433641736897,1.6751433641736897,1.675251085276499,0.4341305252332758,0.4341472689426814,0.4341472689426814,0.4341305252332758,20.0143998439908
400.0,11.504,12.535,2.66,5.528,1.6545305071498866,1.6544634920626855,1.6544634920626855,1.6545305071498866,2.6389617783184622,2.6386470716106905,2.6386470716106905,2.6389617783184622,1.6730035135398054,1.6728643934596226,1.6728643934596226,1.6730035135398054,0.4336871865088971,0.4337544009788922,0.4337544009788922,0.4336871865088971,19.999833790325088
400.0,11.584,38.877,3.149,5.874,1.6538639079157094,1.6538017226928163,1.6538017226928163,1.6538639079157094,2.6411622753668675,2.640878113136767,2.640878113136767,2.6411622753668675,1.6757766797623308,1.6756706703716275,1.6756706703716275,1.6757766797623308,0.434235560896608,0.4342492375771162,0.4342492375771162,0.434235560896608,20.016983499590054
400.0,11.608,43.095,3.842,5.718,1.653755114343874,1.6536921991238551,1.6536921991238551,1.653755114343874,2.64153335700166,2.6412449136413354,2.6412449136413354,2.64153335700166,1.6762854664362492,1.6761803453150828,1.6761803453150828,1.6762854664362492,0.4343233118584826,0.4343352342256723,0.4343352342256723,0.4343233118584826,20.019729683359326
400.0,11.669,22.727,4.451,4.4,1.6542332606007657,1.6541705988564506,1.6541705988564506,1.6542332606007657,2.639957454482269,2.6396704216750555,2.6396704216750555,2.639957454482269,1.6739381918094247,1.6738259294333282,1.6738259294333282,1.6739381918094247,0.4339474710689492,0.4339720162707111,0.4339720162707111,0.4339474710689492,20.0064646919238
400.0,11.688,35.089,3.877,3.418,1.653926090784105,1.653865587809929,1.653865587809929,1.653926090784105,2.640969578743784,2.640696332670339,2.640696332670339,2.640969578743784,1.6753959370127167,1.6752882939976292,1.6752882939976292,1.6753959370127167,0.4341911953692719,0.4342076601761695,0.4342076601761695,0.4341911953692719,20.014513015771144
400.0,11.823,63.122,5.176,3.187,1.6532085277101063,1.6531471721399211,1.6531471721399211,1.6532085277101063,2.643399840434524,2.6431215748479056,2.6431215748479056,2.643399840434524,1.6787675872068122,1.6786626093472206,1.6786626093472206,1.6787675872068122,0.4347656421523644,0.4347758260587774,0.4347758260587774,0.4347656421523644,20.032770013239308
400.0,11.945,87.594,3.743,4.616,1.6525838744011463,1.6525221293411652,1.6525221293411652,1.6525838744011463,2.645534594760218,2.645254455124204,2.645254455124204,2.645534594760218,1.6817215587944807,1.6816164259949704,1.6816164259949704,1.6817215587944807,0.435267816329725,0.4352765645494108,0.4352765645494108,0.435267816329725,20.048715561504235
400.0,11.992,53.584,3.8,5.743,1.6533929549116642,1.6533306204243317,1.6533306204243317,1.6533929549116642,2.6428218938068557,2.642537395776793,2.642537395776793,2.6428218938068557,1.6777487871672216,1.6776439289454157,1.6776439289454157,1.6777487871672216,0.4346307532731009,0.4346413464262462,0.4346413464262462,0.4346307532731009,20.02655173322675
400.0,12.072,19.057,6.434,3.172,1.654210007312639,1.6541465144655558,1.6541465144655558,1.654210007312639,2.6401243844018927,2.639832415093807,2.639832415093807,2.6401243844018927,1.67379739782771,1.6736799678790857,1.6736799678790857,1.67379739782771,0.4339861041613565,0.4340187102028364,0.4340187102028364,0.4339861041613565,20.00406425864727
400.0,12.169,32.808,3.594,5.301,1.6538475393481131,1.6537853413228352,1.6537853413228352,1.6538475393481131,2.641341926473636,2.6410580031615214,2.6410580031615214,2.641341926473636,1.6754188797286824,1.6753112563923391,1.6753112563923391,1.6754188797286824,0.4342821519473829,0.4342985467084484,0.4342985467084484,0.4342821519473829,20.01301498001885
400.0,12.202,43.328,6.381,4.465,1.6535830124807915,1.653520443685116,1.653520443685116,1.6535830124807915,2.6422323605044893,2.641946298615354,2.641946298615354,2.6422323605044893,1.6766719634510874,1.6765664220123084,1.6765664220123084,1.6766719634510874,0.4344933819150553,0.4345057036159716,0.4345057036159716,0.4344933819150553,20.019865368863385
400.0,12.449,45.901,3.968,6.116,1.653451285348592,1.6533890568081029,1.6533890568081029,1.653451285348592,2.6427236331031208,2.642439932210316,2.642439932210316,2.6427236331031208,1.6771235674433065,1.6770179453022749,1.6770179453022749,1.6771235674433065,0.4346114667519739,0.4346236706959052,0.4346236706959052,0.4346114667519739,20.02153469041
400.0,12.454,13.796,3.136,5.37,1.6542328076189312,1.654166034581194,1.654166034581194,1.6542328076189312,2.640146505998878,2.6398339966186577,2.6398339966186577,2.640146505998878,1.673658379835286,1.6735338744348027,1.6735338744348027,1.673658379835286,0.433987262837018,0.4340306059486143,0.4340306059486143,0.433987262837018,20.000629420521143
400.0,12.493,68.954,4.977,5.707,1.652881179338738,1.652819130448692,1.652819130448692,1.652881179338738,2.6446478747132907,2.6443656667029125,2.6443656667029125,2.6446478747132907,1.6798597356360303,1.6797547190787825,1.6797547190787825,1.6798597356360303,0.435064742724588,0.4350743268941414,0.4350743268941414,0.435064742724588,20.036552513816268
400.0,12.518,98.173,4.583,4.118,1.652170381217786,1.6521086424888156,1.6521086424888156,1.652170381217786,2.6470619925403844,2.6467826274776463,2.6467826274776463,2.6470619925403844,1.6833178500229635,1.6832123107623664,1.6832123107623664,1.6833178500229635,0.4356313570568685,0.4356398753161417,0.4356398753161417,0.4356313570568685,20.05559685428316
400.0,12.574,73.334,2.656,3.092,1.6527524016674748,1.6526914698578965,1.6526914698578965,1.6527524016674748,2.645095204595605,2.644819886722192,2.644819886722192,2.645095204595605,1.680424707037916,1.6803190817837643,1.6803190817837643,1.680424707037916,0.4351708055644618,0.4351810988270317,0.4351810988270317,0.4351708055644618,20.03940432339427
