Vout,ronp,rons,vfp,vfs,rm,sw_p1,sw_p2,sw_p3,sw_p4,cond_p1,cond_p2,cond_p3,cond_p4,sw_s1,sw_s2,sw_s3,sw_s4,cond_s1,cond_s2,cond_s3,cond_s4,core_t1
300.0,10.19,15.232,5.895,5.099,3467.946,1.916005237480008,1.915987351226998,1.915987351226998,1.916005237480008,1.6419621875503922,1.6419061029973143,1.6419061029973143,1.6419621875503922,0.2894047444004215,0.2893870241602409,0.2893870241602409,0.2894047444004215,0.2243383830129117,0.2243536336150004,0.2243536336150004,0.2243383830129117,1.6222856872085074
300.0,10.19,56.256,4.234,5.836,4256.403,1.9142236836780044,1.914215638407308,1.914215638407308,1.9142236836780044,1.6398383770660985,1.6398117561380203,1.6398117561380203,1.6398383770660985,0.2902796438627929,0.2902822369813039,0.2902822369813039,0.2902796438627929,0.2242853700104044,0.2242842502026972,0.2242842502026972,0.2242853700104044,1.3235414391878495
300.0,10.218,81.588,6.039,3.339,2620.149,1.914014343041317,1.914022343131087,1.914022343131087,1.914014343041317,1.6426034926088473,1.642629389938171,1.642629389938171,1.6426034926088473,0.2926018644058306,0.2925923741276912,0.2925923741276912,0.2926018644058306,0.2243322669841288,0.2243393067627648,0.2243393067627648,0.2243322669841288,2.15184895841697
300.0,10.51,24.163,2.602,4.023,1753.039,1.9170051032551911,1.917001254533213,1.917001254533213,1.9170051032551911,1.6480860492588163,1.6480763583657996,1.6480763583657996,1.6480860492588163,0.2925821180143087,0.2925843807017287,0.2925843807017287,0.2925821180143087,0.2244738353198028,0.2244736399435562,0.2244736399435562,0.2244738353198028,3.210210572629809
300.0,10.677,75.514,4.502,3.045,2564.407,1.9141712834862583,1.91416949141866,1.91416949141866,1.9141712834862583,1.6428044202132206,1.6427981148937083,1.6427981148937083,1.6428044202132206,0.2926500943344165,0.2926518010556188,0.2926518010556188,0.2926500943344165,0.2243391617075184,0.2243383356891534,0.2243383356891534,0.2243391617075184,2.1981878289413856
300.0,11.116,95.126,4.382,5.552,4452.451,1.9125134371463783,1.9125109946910477,1.9125109946910477,1.9125134371463783,1.6384796462753215,1.638472077443982,1.638472077443982,1.6384796462753215,0.2918845523083135,0.2918835206680772,0.2918835206680772,0.2918845523083135,0.2242341164420827,0.2242352334076234,0.2242352334076234,0.2242341164420827,1.2668639697155666
300.0,11.208,81.022,4.52,4.373,2542.896,1.9138505501528873,1.913857195221352,1.913857195221352,1.9138505501528873,1.6425890763798952,1.6426142979045146,1.6426142979045146,1.6425890763798952,0.2930882564346363,0.2930799139818798,0.2930799139818798,0.2930882564346363,0.2243256748955774,0.2243322156862856,0.2243322156862856,0.2243256748955774,2.2171794808528933
300.0,11.246,46.223,6.122,6.011,3410.638,1.9146307937248577,1.914611839358644,1.914611839358644,1.9146307937248577,1.641090087053537,1.641027261620817,1.641027261620817,1.641090087053537,0.290916660636498,0.2909299015958887,0.2909299015958887,0.290916660636498,0.2243121172330942,0.2243037248216939,0.2243037248216939,0.2243121172330942,1.6512095226780676
300.0,11.331,90.959,6.304,3.321,4994.966,1.9124913396604912,1.912487543351312,1.912487543351312,1.9124913396604912,1.6379520735408426,1.6379413275390442,1.6379413275390442,1.6379520735408426,0.2915866331215287,0.2915883978125635,0.2915883978125635,0.2915866331215287,0.2242236330621476,0.2242230698525024,0.2242230698525024,0.2242236330621476,1.1291141978597463
300.0,11.371,63.821,4.148,2.68,2566.225,1.9144280644084737,1.9144273502031708,1.9144273502031708,1.9144280644084737,1.642845057765983,1.6428426921336745,1.6428426921336745,1.642845057765983,0.2925220655199904,0.2925204335038144,0.2925204335038144,0.2925220655199904,0.2243383788791918,0.2243402505975526,0.2243402505975526,0.2243383788791918,2.1957938640895813
300.0,11.396,18.741,5.25,2.962,2212.001,1.9163926509985765,1.916391737699913,1.916391737699913,1.9163926509985765,1.64523525624082,1.6452328525826865,1.6452328525826865,1.64523525624082,0.2915909801961693,0.2915907474932713,0.2915907474932713,0.2915909801961693,0.2244070428058692,0.2244085472627114,0.2244085472627114,0.2244070428058692,2.543684299277364
