z1_0,z1_1,z1_2,z1_3,z1_4,z1_5,z1_6,z1_7,z1_8,z1_9,z1_10,z1_11,z1_12,z1_13,z1_14,z1_15,z1_16,z1_17,z1_18,z1_19,z1_20,z1_21,z1_22,z1_23,z1_24,z1_25,z1_26,z1_27,z1_28,z1_29,z1_30,z1_31
-0.14666328,-0.81768155,-0.15713207,0.031906247,0.54855394,0.385171,-0.073878445,0.09409423,0.5719337,-0.33651876,0.19678278,1.5844321,-0.67981696,-0.3044049,-1.3822538,0.107556105,-0.11403996,-0.08018407,0.0911821,0.5011203,0.09189984,0.07729243,0.07742022,0.6575185,-0.4307785,0.35263947,0.113887414,0.70271266,0.1349234,0.43379763,-0.60380995,-0.6199166
-0.14661323,-0.8206005,-0.15748185,0.03234297,0.55012405,0.3857154,-0.07434731,0.093980834,0.5736804,-0.337133,0.19594942,1.5895631,-0.68108404,-0.30447996,-1.3859276,0.107590824,-0.11427218,-0.08036249,0.09158847,0.5029444,0.09071955,0.077228054,0.07798277,0.6587163,-0.43201226,0.35370716,0.11416146,0.70424026,0.13605416,0.434813,-0.6065413,-0.6215559
-0.14660685,-0.8209791,-0.15752722,0.032399625,0.5503277,0.38578606,-0.07440812,0.093966186,0.57390696,-0.33721265,0.19584127,1.5902289,-0.6812484,-0.30448967,-1.386404,0.107595414,-0.11430234,-0.08038564,0.09164122,0.50318104,0.0905664,0.07721968,0.07805571,0.65887177,-0.43217224,0.3538456,0.114197,0.70443845,0.13620079,0.4349447,-0.6068955,-0.6217686
-0.14653301,-0.82529044,-0.15804389,0.033044606,0.552647,0.3865902,-0.0751007,0.09379876,0.5764871,-0.33811986,0.19461025,1.597808,-0.68312,-0.30460045,-1.3918304,0.10764673,-0.11464557,-0.08064923,0.092241496,0.50587535,0.08882293,0.07712461,0.07888661,0.66064095,-0.4339946,0.35542265,0.114601865,0.706695,0.137871,0.43644455,-0.61093,-0.6241901
-0.14652951,-0.82549405,-0.15806831,0.033075094,0.5527564,0.38662824,-0.07513339,0.0937908,0.5766089,-0.33816272,0.1945522,1.5981659,-0.68320847,-0.30460563,-1.3920867,0.10764915,-0.11466178,-0.080661714,0.09226985,0.50600255,0.08874062,0.07712011,0.07892588,0.66072464,-0.43408066,0.35549712,0.11462097,0.7068016,0.13794982,0.4365154,-0.6111205,-0.6243045
-0.14656316,-0.8235308,-0.15783298,0.032781363,0.5517004,0.386262,-0.07481802,0.09386706,0.575434,-0.3377496,0.19511266,1.5947145,-0.6823561,-0.3045552,-1.3896155,0.10762569,-0.11450544,-0.08054167,0.091996536,0.5047756,0.08953452,0.07716341,0.07854749,0.6599189,-0.43325078,0.35477906,0.11443661,0.705774,0.13718933,0.43583235,-0.60928327,-0.6232017
-0.1464998,-0.82723176,-0.15827651,0.03333503,0.5536912,0.38695228,-0.07541252,0.09372339,0.5776489,-0.3385284,0.19405599,1.6012206,-0.68396276,-0.3046503,-1.3942739,0.10766992,-0.114800096,-0.08076794,0.09251183,0.5070884,0.08803791,0.077081814,0.07926075,0.66143763,-0.4348151,0.35613275,0.11478415,0.70771104,0.13862309,0.4371199,-0.61274654,-0.6252804
-0.14651868,-0.8261299,-0.15814449,0.033170193,0.5530985,0.38674682,-0.07523555,0.09376612,0.5769894,-0.33829653,0.19437058,1.5992836,-0.68348444,-0.304622,-1.3928869,0.10765675,-0.11471242,-0.08070056,0.09235838,0.50639987,0.08848348,0.07710607,0.07904841,0.66098547,-0.43434942,0.3557298,0.11468065,0.7071343,0.1381962,0.43673655,-0.6117155,-0.62466156
-0.14652275,-0.8258902,-0.15811576,0.03313434,0.5529696,0.38670212,-0.075197004,0.09377545,0.576846,-0.3382461,0.19443907,1.5988623,-0.68338037,-0.30461586,-1.3925854,0.10765383,-0.114693284,-0.08068593,0.09232506,0.50625014,0.08858043,0.07711135,0.07900222,0.6608871,-0.43424815,0.3556421,0.11465815,0.7070089,0.13810337,0.4366532,-0.61149114,-0.6245269
-0.14666034,-0.8178512,-0.15715234,0.03193161,0.5486451,0.38520265,-0.07390567,0.094087616,0.5720352,-0.33655447,0.19673441,1.5847303,-0.6798906,-0.30440933,-1.3824672,0.1075581,-0.11405334,-0.08019443,0.0912057,0.5012263,0.0918313,0.07728861,0.0774529,0.6575881,-0.4308502,0.35270146,0.11390334,0.7028014,0.13498911,0.43385658,-0.60396856,-0.6200118
-0.14652474,-0.8257737,-0.1581018,0.033116937,0.55290693,0.38668042,-0.07517832,0.09377998,0.57677627,-0.33822155,0.19447233,1.5986576,-0.6833298,-0.30461287,-1.3924388,0.107652485,-0.114684016,-0.08067878,0.09230882,0.5061773,0.08862755,0.07711391,0.07897976,0.6608393,-0.43419892,0.3555995,0.11464724,0.706948,0.13805825,0.4366127,-0.6113822,-0.62446153
-0.14648685,-0.8279885,-0.1583672,0.03344828,0.55409825,0.3870935,-0.07553408,0.09369403,0.57810163,-0.33868763,0.19383992,1.6025509,-0.68429124,-0.30466974,-1.3952262,0.10767883,-0.114860386,-0.08081421,0.092617184,0.5075614,0.08773193,0.077065155,0.07940659,0.6617483,-0.43513507,0.3564096,0.1148552,0.7081071,0.13891622,0.43738315,-0.61345464,-0.62570536
-0.146514,-0.82639813,-0.15817657,0.033210367,0.55324274,0.3867968,-0.07527862,0.09375572,0.5771499,-0.33835295,0.19429399,1.5997549,-0.68360084,-0.3046289,-1.3932245,0.107659936,-0.114733696,-0.08071697,0.09239574,0.5065675,0.08837503,0.07710014,0.07910006,0.6610955,-0.43446273,0.3558279,0.1147058,0.7072747,0.13830006,0.43682984,-0.6119664,-0.6248122
-0.14652538,-0.8257338,-0.158097,0.033110976,0.55288535,0.3866729,-0.075171925,0.09378156,0.57675236,-0.33821318,0.19448368,1.5985873,-0.6833125,-0.3046118,-1.3923883,0.10765198,-0.11468086,-0.08067634,0.092303246,0.50615233,0.08864367,0.077114835,0.07897207,0.660823,-0.434182,0.35558492,0.11464347,0.706927,0.13804275,0.43659878,-0.61134475,-0.6244391
-0.1465512,-0.82422733,-0.15791649,0.03288558,0.552075,0.38639194,-0.07492993,0.09384006,0.57585084,-0.33789614,0.19491376,1.5959389,-0.68265855,-0.30457312,-1.3904923,0.10763404,-0.11456099,-0.080584235,0.09209348,0.50521094,0.08925292,0.077148065,0.07868172,0.66020477,-0.4335453,0.3550338,0.11450201,0.70613855,0.13745916,0.4360747,-0.6099352,-0.623593
-0.14661933,-0.82024574,-0.15743932,0.032289863,0.54993325,0.38564926,-0.07429033,0.09399463,0.5734682,-0.33705837,0.19605072,1.5889398,-0.6809301,-0.30447084,-1.3854811,0.10758659,-0.114244014,-0.08034082,0.091539145,0.50272274,0.09086299,0.0772358,0.07791439,0.65857077,-0.4318623,0.3535774,0.11412814,0.70405465,0.13591671,0.4346896,-0.60620934,-0.6213567
-0.14654598,-0.82453215,-0.157953,0.03293118,0.552239,0.38644874,-0.074978866,0.09382823,0.5760333,-0.3379603,0.1948268,1.5964748,-0.6827909,-0.30458096,-1.3908759,0.107637644,-0.11458516,-0.08060287,0.092135906,0.50540143,0.08912954,0.07714136,0.07874043,0.6603298,-0.43367404,0.3551453,0.11453065,0.70629805,0.13757718,0.43618074,-0.6102204,-0.62376416
-0.14638664,-0.8338399,-0.1590684,0.034323722,0.55724585,0.3881849,-0.07647405,0.09346679,0.58160335,-0.3399189,0.1921692,1.6128372,-0.68683136,-0.30482006,-1.4025909,0.1077486,-0.11532614,-0.08117195,0.09343189,0.5112181,0.08536565,0.0769362,0.08053425,0.6641494,-0.43760824,0.35855004,0.115404606,0.71116966,0.1411829,0.43941873,-0.61893016,-0.6289918
