z0_0,z0_1,z0_2,z0_3,z0_4,z0_5,z0_6,z0_7,z0_8,z0_9,z0_10,z0_11,z0_12,z0_13,z0_14,z0_15,z0_16,z0_17,z0_18,z0_19,z0_20,z0_21,z0_22,z0_23,z0_24,z0_25,z0_26,z0_27,z0_28,z0_29,z0_30,z0_31
0.051959783,0.27847293,-0.44402218,0.35536212,0.32119513,-0.55489564,0.58555746,0.79510736,-0.0991168,0.3699416,-0.15046489,0.11118458,0.42013937,-0.1759764,0.73396724,-0.17445329,0.4759642,-0.48922533,-0.3534911,0.12752783,-0.15903038,0.20439902,-0.5958006,0.18034539,-0.39503303,0.21074435,-0.26715493,-0.27234796,0.1696941,0.32264677,-0.35275578,-0.47353503
0.05919066,0.2824575,-0.43779474,0.36022007,0.3204484,-0.5484277,0.58743024,0.78587186,-0.09798868,0.37251258,-0.14230952,0.10604838,0.41852227,-0.18676563,0.73349255,-0.17786203,0.4638277,-0.4823097,-0.35971463,0.14419815,-0.16662547,0.20167819,-0.59385043,0.18168415,-0.39740795,0.20338798,-0.26694426,-0.27425998,0.17193991,0.32123584,-0.3358876,-0.47170666
0.060325585,0.28287625,-0.43588752,0.36116186,0.3199537,-0.54681677,0.5869492,0.78293544,-0.09787651,0.37348896,-0.1388553,0.10484521,0.4181009,-0.18927988,0.7328781,-0.17871785,0.46038812,-0.47971857,-0.36093402,0.14905205,-0.16954237,0.2019177,-0.59315526,0.18159032,-0.3979258,0.20145482,-0.26653937,-0.27508807,0.1727867,0.3201341,-0.33048227,-0.47104794
0.038284183,0.26779574,-0.45063987,0.35289878,0.3284958,-0.56711376,0.58106995,0.80603725,-0.10732736,0.3689527,-0.15148808,0.124871135,0.42151618,-0.14665131,0.72097486,-0.16103873,0.49284768,-0.4913981,-0.34591392,0.10740632,-0.1557305,0.21423021,-0.59657437,0.17646292,-0.3852672,0.2243505,-0.26485947,-0.26432317,0.1669392,0.32029015,-0.3636734,-0.46884498
0.056443244,0.28094354,-0.4401609,0.35837427,0.32073212,-0.5508852,0.5867187,0.7893809,-0.09841731,0.37153572,-0.14540818,0.10799991,0.4191367,-0.18266621,0.7336729,-0.17656687,0.46843904,-0.48493734,-0.35735,0.13786417,-0.16373968,0.20271197,-0.5945914,0.18117547,-0.3965056,0.20618308,-0.2670243,-0.2735335,0.17108661,0.32177192,-0.34229675,-0.47240135
0.061227545,0.28313923,-0.43354574,0.3601478,0.31962845,-0.5457329,0.5871958,0.7808816,-0.098332666,0.3746007,-0.13598649,0.10296586,0.4182992,-0.19243068,0.7327009,-0.17941096,0.45716202,-0.47829568,-0.36223704,0.15387453,-0.17155743,0.20173867,-0.59268063,0.18096896,-0.39836368,0.19978671,-0.2660906,-0.27666605,0.17326163,0.31962198,-0.32615033,-0.47050598
0.04716128,0.27582872,-0.44815475,0.3521383,0.32169062,-0.5591878,0.5843147,0.80123615,-0.099865444,0.36823544,-0.15587689,0.11459302,0.4212125,-0.16881657,0.7342823,-0.17219119,0.4840181,-0.49381462,-0.34936112,0.11646527,-0.15399021,0.20620461,-0.5970947,0.17945695,-0.39345703,0.21562609,-0.26729473,-0.27107912,0.16820376,0.32358307,-0.36394966,-0.47474834
0.039487273,0.2689357,-0.4503873,0.352686,0.3274774,-0.5660398,0.58152515,0.80549324,-0.10621688,0.3687923,-0.15231791,0.123413354,0.42150247,-0.14980088,0.72300506,-0.16266388,0.49175006,-0.49190357,-0.3463127,0.10844794,-0.1553141,0.21306606,-0.59669244,0.17689073,-0.38646317,0.2231731,-0.26523346,-0.26531073,0.16708624,0.32081842,-0.36405325,-0.469778
0.060504533,0.2829284,-0.43542293,0.3609607,0.3198892,-0.5466017,0.58699816,0.782528,-0.097967,0.37370953,-0.13828617,0.10447237,0.41814023,-0.18990497,0.7328429,-0.17885536,0.4597481,-0.47943628,-0.36119252,0.15000878,-0.16994214,0.20188217,-0.5930611,0.18146706,-0.39801267,0.2011239,-0.26645035,-0.27540112,0.17288092,0.3200325,-0.32962286,-0.47094044
0.061174385,0.28312373,-0.43368375,0.36020756,0.3196476,-0.54579675,0.58718127,0.78100264,-0.09830578,0.37453517,-0.13615559,0.10307664,0.41828752,-0.19224498,0.7327113,-0.1793701,0.45735216,-0.47837955,-0.36216024,0.15359032,-0.17143868,0.20174922,-0.5927086,0.18100558,-0.39833787,0.19988501,-0.26611704,-0.27657303,0.17323364,0.31965217,-0.32640564,-0.47053793
0.05047196,0.27765307,-0.44530356,0.35436252,0.32134876,-0.5562265,0.5851722,0.7970077,-0.09934892,0.36941257,-0.15214297,0.11224142,0.4204721,-0.17375639,0.73406494,-0.17375189,0.47846144,-0.49064833,-0.35221055,0.124097764,-0.1574676,0.20495886,-0.59620184,0.18006992,-0.39454436,0.212258,-0.2671983,-0.27195454,0.16923201,0.32293707,-0.3562266,-0.47391123
0.060553044,0.28294256,-0.43529695,0.36090612,0.3198717,-0.5465434,0.58701146,0.7824175,-0.09799155,0.37376934,-0.13813181,0.10437126,0.41815093,-0.19007447,0.7328334,-0.17889264,0.45957455,-0.47935975,-0.36126262,0.15026823,-0.17005053,0.20187254,-0.5930356,0.18143362,-0.39803624,0.20103414,-0.2664262,-0.27548602,0.17290647,0.32000494,-0.3293898,-0.47091126
0.0529221,0.2790032,-0.4431934,0.35600865,0.32109573,-0.5540348,0.5858067,0.79387826,-0.09896666,0.37028375,-0.14937952,0.11050103,0.41992417,-0.1774123,0.7339041,-0.17490694,0.474349,-0.48830497,-0.35431936,0.12974644,-0.16004118,0.20403692,-0.59554106,0.18052354,-0.39534912,0.20976532,-0.2671269,-0.2726024,0.16999298,0.32245898,-0.35051084,-0.4732917
0.04844287,0.27653494,-0.44705105,0.35299933,0.3215583,-0.55804145,0.58464664,0.7995993,-0.099665485,0.36869112,-0.15443146,0.1136827,0.4209259,-0.17072877,0.73419815,-0.17279534,0.48186707,-0.49258894,-0.35046414,0.11941984,-0.15533632,0.20572236,-0.59674907,0.17969424,-0.39387795,0.21432228,-0.2672574,-0.271418,0.1686018,0.323333,-0.36096,-0.47442427
0.0566466,0.28105557,-0.43998575,0.35851085,0.32071114,-0.55070335,0.58677137,0.7891212,-0.098385595,0.37160802,-0.14517882,0.10785547,0.41909122,-0.18296961,0.73365957,-0.17666271,0.46809772,-0.48474285,-0.357525,0.138333,-0.16395327,0.20263547,-0.59453654,0.18121313,-0.39657238,0.20597619,-0.26701838,-0.2735873,0.17114976,0.32173225,-0.3418224,-0.47234994
0.055887938,0.28063753,-0.44063914,0.35800117,0.32078946,-0.55138195,0.58657485,0.7900902,-0.098503955,0.37133825,-0.1460345,0.108394355,0.4192609,-0.18183762,0.7337094,-0.17630507,0.46937108,-0.48546845,-0.35687202,0.13658392,-0.16315639,0.20292093,-0.59474117,0.18107265,-0.3963232,0.20674802,-0.2670405,-0.27338666,0.17091413,0.32188028,-0.3435922,-0.47254178
