z4_0,z4_1,z4_2,z4_3,z4_4,z4_5,z4_6,z4_7,z4_8,z4_9,z4_10,z4_11,z4_12,z4_13,z4_14,z4_15,z4_16,z4_17,z4_18,z4_19,z4_20,z4_21,z4_22,z4_23,z4_24,z4_25,z4_26,z4_27,z4_28,z4_29,z4_30,z4_31
-0.0015400071,0.044037536,0.01344372,0.015614061,-0.030528415,-0.111629196,0.021297976,0.0015544966,0.06451031,0.00063272193,0.024872474,0.011462651,0.010596184,0.006478914,0.14261165,0.05891443,0.013530544,-0.07275806,-0.14682125,0.019488897,0.12583734,0.05998782,-0.11049923,-0.030487776,0.056761336,0.091572426,-0.0076219887,0.036358055,-0.022873165,0.007128639,0.05757636,0.14660266
-0.0017619357,0.0442185,0.013409134,0.016014157,-0.030632805,-0.11126576,0.020629648,0.0013555139,0.064492516,0.00022367202,0.024755605,0.01147826,0.01078918,0.006491336,0.14240313,0.05903189,0.0135812955,-0.073008165,-0.14704525,0.019360121,0.12571645,0.060006592,-0.11057831,-0.030316776,0.057149846,0.09167549,-0.007743109,0.036234707,-0.022450022,0.0073011126,0.05761225,0.14649822
-0.001724638,0.04434682,0.013459627,0.015975762,-0.030722313,-0.11102788,0.020035509,0.0014090538,0.064318754,-0.00028833933,0.024642397,0.011390733,0.010783037,0.00653522,0.14219058,0.059054602,0.013834549,-0.07313066,-0.14738674,0.01933873,0.12555821,0.06005581,-0.110769466,-0.030061888,0.057234805,0.091718376,-0.007833593,0.03614471,-0.022237485,0.0074757896,0.05767074,0.14675008
-0.0015600882,0.044489823,0.013335731,0.015810097,-0.031223696,-0.11218504,0.020583794,0.0015581734,0.06427425,-0.00023690052,0.0248542,0.011231296,0.010436526,0.0064778635,0.14333174,0.058940317,0.013470179,-0.07345223,-0.14846319,0.019814938,0.12599333,0.059204146,-0.1113989,-0.030064259,0.05670664,0.09136404,-0.007872395,0.0364922,-0.022751011,0.007938871,0.057407346,0.14712659
-0.0019044504,0.0446489,0.013431421,0.016703065,-0.031230394,-0.11005299,0.01839307,0.00081845373,0.06370971,-0.0014858134,0.02438599,0.010799654,0.010898696,0.0066313585,0.141226,0.059219215,0.014336731,-0.073444314,-0.14752942,0.019539744,0.12539792,0.05966013,-0.11100851,-0.029725527,0.057490326,0.0918504,-0.008212492,0.036284138,-0.02118215,0.0077955667,0.057078674,0.14665428
-0.0017041303,0.044518404,0.013409898,0.01584414,-0.030821055,-0.11153007,0.020019747,0.0017005838,0.06441005,-0.00055928156,0.024666082,0.011597507,0.010797715,0.006491362,0.14284694,0.059052043,0.013675786,-0.073393576,-0.14842637,0.019212794,0.12551521,0.059918165,-0.11128114,-0.02975145,0.057318144,0.09158111,-0.007872123,0.03594115,-0.022601709,0.0077994503,0.057932023,0.1471852
-0.0019351654,0.044587407,0.013376689,0.016439203,-0.031220753,-0.111217126,0.019898746,0.0012006313,0.06419052,-0.00049183704,0.024597213,0.011210615,0.010750519,0.006427861,0.14265555,0.059156388,0.013637257,-0.07337474,-0.14804703,0.019528247,0.12577632,0.05940763,-0.11104868,-0.029979253,0.057388943,0.09164406,-0.008074265,0.036206655,-0.022066096,0.0077411775,0.057223786,0.14670269
-0.0018339865,0.044266734,0.0133123025,0.016349353,-0.03072919,-0.1110089,0.020485416,0.0010574684,0.0643124,9.1418624e-05,0.024667477,0.0114151575,0.010908967,0.006444006,0.14211473,0.059126716,0.013614727,-0.072930515,-0.14687958,0.01935108,0.12573361,0.059783842,-0.11049676,-0.030296583,0.057232548,0.091729835,-0.007907476,0.036294565,-0.02216709,0.007226685,0.0573482,0.14625883
-0.0017383378,0.0442478,0.013429822,0.016087474,-0.030662939,-0.11111803,0.020496447,0.0013240203,0.06427689,9.2919916e-05,0.024567675,0.011438008,0.0107670445,0.006323305,0.14232641,0.0590729,0.013653565,-0.07290838,-0.14717153,0.019248437,0.1256587,0.05992703,-0.11057772,-0.030205302,0.057309173,0.091716796,-0.00790981,0.036030866,-0.02232832,0.00722106,0.057470348,0.14656484
-0.0016097818,0.043980543,0.013414461,0.015377127,-0.030231405,-0.11197107,0.021711232,0.0018582642,0.06480118,0.00082135573,0.02487263,0.011959158,0.010728715,0.006397932,0.14312288,0.058936436,0.013387508,-0.07273895,-0.147055,0.019159906,0.12573656,0.060365256,-0.11039416,-0.030414278,0.056943323,0.09159566,-0.0074633025,0.036052227,-0.023166612,0.007121099,0.05816482,0.14666423
