,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1:Output,open3:Output,open2:Output,open4:Output,short1:Output,short2:Output,short3:Output,short4:Output,OPEN,SHORT
31,31,31,1.0984,409.5017079507565,-6.05748531958016,-149.88656752028638,0,0,0,0,0,0,0,0,0,0
32,32,32,1.09842,409.4137407261493,-6.0421103581198174,-148.17055584042416,0,0,0,0,0,0,0,0,0,0
33,33,33,1.09844,409.32509281204347,-6.038736114660964,-146.44869464074162,0,0,0,0,0,0,0,0,0,0
34,34,34,1.09846,409.236128520836,-5.978941630636697,-144.72105189730823,0,0,0,0,0,0,0,0,0,0
35,35,35,1.09848,409.14623162973095,-5.862554870718116,-142.98769581457927,0,0,0,0,0,0,0,0,0,0
36,36,36,1.0985,409.0547843261037,-5.689413516807625,-141.248694822438,0,0,0,0,0,0,0,0,0,0
37,37,37,1.09852,408.95941845681335,-5.66382685733894,-139.5041175736974,0,0,0,0,0,0,0,0,0,0
38,38,38,1.0985399999999998,408.86331185139966,-5.649247555461702,-137.75403294126434,0,0,0,0,0,0,0,0,0,0
39,39,39,1.09856,408.76679045432974,-5.577341668665396,-135.99851001546762,0,0,0,0,0,0,0,0,0,0
40,40,40,1.09858,408.6692630499591,-5.447949754058013,-134.2376181013781,0,0,0,0,0,0,0,0,0,0
41,41,41,1.0986,408.5693933630308,-5.329008390658395,-132.4714267159616,0,0,0,0,0,0,0,0,0,0
42,42,42,1.09862,408.4671459396111,-5.28840908566181,-130.70000558546175,0,0,0,0,0,0,0,0,0,0
43,43,43,1.09864,408.3640626207188,-5.25786087231308,-128.92342464251962,0,0,0,0,0,0,0,0,0,0
44,44,44,1.09866,408.2604340696208,-5.16912363833064,-127.14175402354093,0,0,0,0,0,0,0,0,0,0
45,45,45,1.09868,408.1549818039383,-5.090069153167025,-125.355064065815,0,0,0,0,0,0,0,0,0,0
46,46,46,1.0987,408.04814305879466,-5.02051670618784,-123.5634253047858,0,0,0,0,0,0,0,0,0,0
47,47,47,1.09872,407.93993027539153,-4.960277668534047,-121.76690847131626,0,0,0,0,0,0,0,0,0,0
48,48,48,1.09874,407.83075473258174,-4.909168867754426,-119.96558448878235,0,0,0,0,0,0,0,0,0,0
49,49,49,1.09876,407.7208815142207,-4.799050296397327,-118.15952447040311,0,0,0,0,0,0,0,0,0,0
50,50,50,1.09878,407.6087367976564,-4.765647990076977,-116.34879971631932,0,0,0,0,0,0,0,0,0,0
51,51,51,1.0988,407.496077226977,-4.672912422693457,-114.5334817108274,0,0,0,0,0,0,0,0,0,0
52,52,52,1.09882,407.3819380633423,-4.588606158843232,-112.71364211960667,0,0,0,0,0,0,0,0,0,0
