,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,short1:Output,short2:Output,short3:Output,short4:Output,open1:Output,open3:Output,open2:Output,open4:Output,OPEN,SHORT
0,0,0,1.1210068874129675,392.212348541669,4.045890152928377,96.14352537873287,0,0,0,0,0,0,0,0,0,0
1,1,1,1.12102,392.0939524801596,4.07803232595398,98.00080577345577,0,0,0,0,0,0,0,0,0,0
2,2,2,1.12104,391.9763539838964,4.10764120361323,99.85421726420444,0,0,0,0,0,0,0,0,0,0
3,3,3,1.12106,391.85926061235,4.199927864870034,101.70368668139984,0,0,0,0,0,0,0,0,0,0
4,4,4,1.12108,391.74314633765766,4.354737854628491,103.549141011173,0,0,0,0,0,0,0,0,0,0
5,5,5,1.1211,391.629248872462,4.441374023502516,105.3905073982136,0,0,0,0,0,0,0,0,0,0
6,6,6,1.12112,391.51721967905127,4.4597767945762,107.22771314844624,0,0,0,0,0,0,0,0,0,0
7,7,7,1.12114,391.4056365971137,4.540343915731977,109.06068573218364,0,0,0,0,0,0,0,0,0,0
8,8,8,1.12116,391.29553177213467,4.617700777806801,110.8893527867736,0,0,0,0,0,0,0,0,0,0
9,9,9,1.1211799999999998,391.1866221396506,4.691723807816931,112.7136421195885,0,0,0,0,0,0,0,0,0,0
10,10,10,1.1212,391.079262166887,4.762296273310584,114.5334817108257,0,0,0,0,0,0,0,0,0,0
11,11,11,1.12122,390.97315632202094,4.829287397295519,116.34879971630124,0,0,0,0,0,0,0,0,0,0
12,12,12,1.12124,390.86849925203535,4.892571940564063,118.15952447040142,0,0,0,0,0,0,0,0,0,0
13,13,13,1.12126,390.7649787301049,4.9520143674339,119.96558448878066,0,0,0,0,0,0,0,0,0,0
14,14,14,1.12128,390.662312957577,5.072590338052442,121.76690847131458,0,0,0,0,0,0,0,0,0,0
15,15,15,1.1213,390.56209753777466,5.123938298832591,123.56342530478412,0,0,0,0,0,0,0,0,0,0
16,16,16,1.12132,390.46326511605565,5.171030514506265,125.35506406579714,0,0,0,0,0,0,0,0,0,0
17,17,17,1.12134,390.3654727526412,5.213719912249905,127.14175402353924,0,0,0,0,0,0,0,0,0,0
18,18,18,1.12136,390.26842186383095,5.31690521262388,128.92342464251794,0,0,0,0,0,0,0,0,0,0
19,19,19,1.12138,390.17340946350345,5.415371685074005,130.7000055854601,0,0,0,0,0,0,0,0,0,0
