,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1:Output,open3:Output,open2:Output,open4:Output,short1:Output,short2:Output,short3:Output,short4:Output,OPEN,SHORT
0,0,0,1.1689262756101768,406.9319485657436,4.252504891167844,103.54914101119688,0,0,0,0,0,0,0,0,0,0
1,1,1,1.16894,406.8103559357557,4.213931875261705,101.70368668140704,0,0,0,0,0,0,0,0,0,0
2,2,2,1.16896,406.688068506748,4.182609245466516,99.85421726419492,0,0,0,0,0,0,0,0,0,0
3,3,3,1.16898,406.5653615777901,4.0906077086963535,98.00080577347978,0,0,0,0,0,0,0,0,0,0
4,4,4,1.169,406.44177528942566,3.9378176767386575,96.14352537874016,0,0,0,0,0,0,0,0,0,0
5,5,5,1.16902,406.3161239348856,3.8595685798579296,94.28244940225947,0,0,0,0,0,0,0,0,0,0
6,6,6,1.16904,406.18911228711937,3.85564877087282,92.4176513161138,0,0,0,0,0,0,0,0,0,0
7,7,7,1.16906,406.0619092027301,3.790491158158914,90.54920473932172,0,0,0,0,0,0,0,0,0,0
8,8,8,1.16908,405.9340876708941,3.663994189545312,88.67718343498846,0,0,0,0,0,0,0,0,0,0
9,9,9,1.1691,405.8047751238298,3.5436919532778086,86.80166130727591,0,0,0,0,0,0,0,0,0,0
10,10,10,1.16912,405.6736946404823,3.564659561013939,84.92271239862019,0,0,0,0,0,0,0,0,0,0
11,11,11,1.1691399999999998,405.5426017517111,3.5238594993285366,83.04041088668993,0,0,0,0,0,0,0,0,0,0
12,12,12,1.16916,405.41110317337154,3.421198993910989,81.1548310815088,0,0,0,0,0,0,0,0,0,0
13,13,13,1.16918,405.2788051966732,3.2565905278486564,79.26604742257298,0,0,0,0,0,0,0,0,0,0
14,14,14,1.1692,405.14457307162354,3.1649935000941363,77.37413447577589,0,0,0,0,0,0,0,0,0,0
15,15,15,1.16922,405.00930031183947,3.146213971558428,75.47916693068682,0,0,0,0,0,0,0,0,0,0
16,16,16,1.16924,404.8737921791517,3.065089804764792,73.58121959727688,0,0,0,0,0,0,0,0,0,0
17,17,17,1.16926,404.73768964944406,2.9215423931978948,71.68036740334281,0,0,0,0,0,0,0,0,0,0
18,18,18,1.16928,404.6003221155582,2.782928775467171,69.77668539124014,0,0,0,0,0,0,0,0,0,0
19,19,19,1.1693,404.4614303074199,2.7839370493403184,67.87024871505777,0,0,0,0,0,0,0,0,0,0
20,20,20,1.16932,404.3224354185013,2.7221482086035294,65.9611326376859,0,0,0,0,0,0,0,0,0,0
21,21,21,1.16934,404.183013869832,2.59749308015504,64.04941252772376,0,0,0,0,0,0,0,0,0,0
22,22,22,1.16936,404.0424351026693,2.544586038161652,62.13516385664248,0,0,0,0,0,0,0,0,0,0
23,23,23,1.16938,403.9011920225289,2.4959180039373328,60.2184621956846,0,0,0,0,0,0,0,0,0,0
24,24,24,1.1694,403.7594742646556,2.4513666005771566,58.299383212932405,0,0,0,0,0,0,0,0,0,0
25,25,25,1.16942,403.61746466975086,2.34353814615972,56.37800267037287,0,0,0,0,0,0,0,0,0,0
26,26,26,1.16944,403.47462088186194,2.239621144020254,54.45439642078511,0,0,0,0,0,0,0,0,0,0
27,27,27,1.16946,403.3311310122732,2.1395009321862664,52.528640404884925,0,0,0,0,0,0,0,0,0,0
28,28,28,1.16948,403.1868874667031,2.043058364249272,50.60081064820504,0,0,0,0,0,0,0,0,0,0
29,29,29,1.1695,403.0420652441434,1.9501827760788308,48.67098325814575,0,0,0,0,0,0,0,0,0,0
30,30,30,1.16952,402.89649816941767,1.9279104222672128,46.73923442102297,0,0,0,0,0,0,0,0,0,0
31,31,31,1.16954,402.7507892348212,1.8418138604944216,44.80564039893815,0,0,0,0,0,0,0,0,0,0
32,32,32,1.16956,402.60470637526817,1.691852616002778,42.87027752690743,0,0,0,0,0,0,0,0,0,0
33,33,33,1.1695799999999998,402.45755582160575,1.679217051868048,40.93322220972561,0,0,0,0,0,0,0,0,0,0
34,34,34,1.1696,402.310229802052,1.6695672001047663,38.99455091900235,0,0,0,0,0,0,0,0,0,0
35,35,35,1.16962,402.16283317470754,1.5957727805419593,37.05434019019571,0,0,0,0,0,0,0,0,0,0
36,36,36,1.16964,402.0151715789553,1.4578035622985364,35.11266661946799,0,0,0,0,0,0,0,0,0,0
37,37,37,1.16966,401.8669013342685,1.322609535455715,33.16960686080222,0,0,0,0,0,0,0,0,0,0
38,38,38,1.16968,401.71792989260337,1.3240064701673653,31.22523762283546,0,0,0,0,0,0,0,0,0,0
39,39,39,1.1697,401.5689401779328,1.260977043001822,29.27963566597112,0,0,0,0,0,0,0,0,0,0
