,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1,open2,Relay4,Relay3,short1,short2,Relay2,Relay1,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
0,0,0,0,0,1.1319273433488826,390.2244,-4.2445765,-239.0829,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1.13194,390.83493,-7.170719,-219.17458,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2,2,2,1.13196,387.1571,-6.4110613,-211.14449,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,3,3,3,1.13198,392.40314,-2.430118,-161.24753,0,0,0,0,0,0,0,0,0,0,0,0,1
4,4,4,4,4,1.132,388.73453,-8.598582,-220.88478,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5,5,5,5,1.13202,388.07257,-7.2338142,-119.9489,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6,6,6,6,1.13204,384.44452,-4.1887436,-234.63736,0,0,0,0,0,0,0,0,0,0,0,0,1
7,7,7,7,7,1.1320599999999998,388.0822,-7.4310184,-182.29604,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8,8,8,8,1.13208,388.2128,-9.238655,-185.54688,0,0,0,0,0,0,0,0,0,0,0,0,1
9,9,9,9,9,1.1321,388.67014,-6.468723,-230.82147,0,0,0,0,0,0,0,0,0,0,0,0,1
10,10,10,10,10,1.13212,388.8726,-6.390586,-114.1203,0,0,0,0,0,0,0,0,0,0,0,0,1
11,11,11,11,11,1.13214,386.32968,-9.263045,-173.66376,0,0,0,0,0,0,0,0,0,0,0,0,1
12,12,12,12,12,1.13216,385.3666,-7.617489,-221.60548,0,0,0,0,0,0,0,0,0,0,0,0,1
13,13,13,13,13,1.13218,389.6825,-7.9853835,-248.67181,0,0,0,0,0,0,0,0,0,0,0,0,1
14,14,14,14,14,1.1322,384.92664,-8.395556,-221.46805,0,0,0,0,0,0,0,0,0,0,0,0,1
15,15,15,15,15,1.13222,387.62283,-9.422901,-265.6737,0,0,0,0,0,0,0,0,0,0,0,0,1
16,16,16,16,16,1.13224,385.6862,-8.1581745,-142.11545,0,0,0,0,0,0,0,0,0,0,0,0,1
17,17,17,17,17,1.13226,388.79395,-9.827606,-124.71693,0,0,0,0,0,0,0,0,0,0,0,0,1
18,18,18,18,18,1.13228,386.47293,-10.432969,-176.46457,0,0,0,0,0,0,0,0,0,0,0,0,1
19,19,19,19,19,1.1323,387.39642,-6.501081,-175.367,0,0,0,0,0,0,0,0,0,0,0,0,1
20,20,20,20,20,1.13232,387.67606,-7.6484103,-239.68692,0,0,0,0,0,0,0,0,0,0,0,0,1
21,21,21,21,21,1.13234,392.47638,-11.454369,-180.45303,0,0,0,0,0,0,0,0,0,0,0,0,1
22,22,22,22,22,1.13236,387.81943,-7.530971,-193.14783,0,0,0,0,0,0,0,0,0,0,0,0,1
23,23,23,23,23,1.13238,385.79257,-12.165717,-187.30838,0,0,0,0,0,0,0,0,0,0,0,0,1
24,24,24,24,24,1.1324,389.7268,-9.351158,-246.01846,0,0,0,0,0,0,0,0,0,0,0,0,1
25,25,25,25,25,1.13242,388.58197,-7.8250976,-224.25406,0,0,0,0,0,0,0,0,0,0,0,0,1
26,26,26,26,26,1.13244,387.43237,-6.910805,-304.45947,0,0,0,0,0,0,0,0,0,0,0,0,1
27,27,27,27,27,1.13246,386.78983,-8.143101,-251.62842,0,0,0,0,0,0,0,0,0,0,0,0,1
28,28,28,28,28,1.13248,388.41138,-9.641652,-193.35583,0,0,0,0,0,0,0,0,0,0,0,0,1
29,29,29,29,29,1.1324999999999998,389.22156,-7.543599,-205.11363,0,0,0,0,0,0,0,0,0,0,0,0,1
30,30,30,30,30,1.13252,388.37775,-6.9763975,-165.17662,0,0,0,0,0,0,0,0,0,0,0,0,1
31,31,31,31,31,1.13254,387.84998,-9.080949,-242.2791,0,0,0,0,0,0,0,0,0,0,0,0,1
32,32,32,32,32,1.13256,391.51105,-10.460799,-246.96838,0,0,0,0,0,0,0,0,0,0,0,0,1
33,33,33,33,33,1.13258,384.51996,-10.522545,-224.69672,0,0,0,0,0,0,0,0,0,0,0,0,1
34,34,34,34,34,1.1326,387.03137,-5.7193117,-181.93692,0,0,0,0,0,0,0,0,0,0,0,0,1
35,35,35,35,35,1.13262,387.47064,-11.230592,-197.98807,0,0,0,0,0,0,0,0,0,0,0,0,1
36,36,36,36,36,1.13264,385.45386,-5.2432966,-214.90904,0,0,0,0,0,0,0,0,0,0,0,0,1
37,37,37,37,37,1.13266,389.23203,-12.3500395,-184.70319,0,0,0,0,0,0,0,0,0,0,0,0,1
38,38,38,38,38,1.13268,387.1203,-9.469698,-151.90024,0,0,0,0,0,0,0,0,0,0,0,0,1
39,39,39,39,39,1.1327,387.7575,-11.435019,-229.7725,0,0,0,0,0,0,0,0,0,0,0,0,1
40,40,40,40,40,1.13272,386.41846,-7.559552,-252.25111,0,0,0,0,0,0,0,0,0,0,0,0,1
41,41,41,41,41,1.13274,386.96335,-11.753659,-301.62064,0,0,0,0,0,0,0,0,0,0,0,0,1
42,42,42,42,42,1.13276,383.2721,-10.05581,-310.156,0,0,0,0,0,0,0,0,0,0,0,0,1
43,43,43,43,43,1.13278,386.77057,-11.746621,-273.2198,0,0,0,0,0,0,0,0,0,0,0,0,1
44,44,44,44,44,1.1328,386.84714,-10.638034,-166.72775,0,0,0,0,0,0,0,0,0,0,0,0,1
45,45,45,45,45,1.13282,388.02844,-12.233299,-183.90154,0,0,0,0,0,0,0,0,0,0,0,0,1
46,46,46,46,46,1.1328399999999998,386.17154,-10.823343,-228.32588,0,0,0,0,0,0,0,0,0,0,0,0,1
47,47,47,47,47,1.13286,388.04016,-8.664854,-294.35965,0,0,0,0,0,0,0,0,0,0,0,0,1
48,48,48,48,48,1.13288,385.63052,-7.721575,-252.6293,0,0,0,0,0,0,0,0,0,0,0,0,1
49,49,49,49,49,1.1329,387.57584,-6.2398396,-241.17697,0,0,0,0,0,0,0,0,0,0,0,0,1
50,50,50,50,50,1.13292,389.3469,-11.103516,-246.06487,0,0,0,0,0,0,0,0,0,0,0,0,1
51,51,51,51,51,1.13294,389.26968,-7.7294416,-207.33415,0,0,0,0,0,0,0,0,0,0,0,0,1
52,52,52,52,52,1.13296,384.11377,-8.789397,-278.30505,0,0,0,0,0,0,0,0,0,0,0,0,1
53,53,53,53,53,1.13298,387.20694,-9.695525,-229.95459,0,0,0,0,0,0,0,0,0,0,0,0,1
54,54,54,54,54,1.133,390.7651,-12.071454,-168.49524,0,0,0,0,0,0,0,0,0,0,0,0,1
55,55,55,55,55,1.13302,391.1184,-12.845725,-183.51582,0,0,0,0,0,0,0,0,0,0,0,0,1
56,56,56,56,56,1.13304,385.1085,-13.435732,-209.732,0,0,0,0,0,0,0,0,0,0,0,0,1
57,57,57,57,57,1.13306,391.4276,-8.86211,-228.4442,0,0,0,0,0,0,0,0,0,0,0,0,1
58,58,58,58,58,1.13308,389.62042,-9.159887,-255.93335,0,0,0,0,0,0,0,0,0,0,0,0,1
59,59,59,59,59,1.1331,385.55716,-14.599335,-227.8948,0,0,0,0,0,0,0,0,0,0,0,0,1
60,60,60,60,60,1.13312,386.3857,-9.24757,-272.5951,0,0,0,0,0,0,0,0,0,0,0,0,1
61,61,61,61,61,1.13314,388.36832,-10.883262,-368.30814,0,0,0,0,0,0,0,0,0,0,0,0,1
62,62,62,62,62,1.13316,386.49872,-9.89412,-329.60858,0,0,0,0,0,0,0,0,0,0,0,0,1
63,63,63,63,63,1.13318,389.27866,-9.121635,-325.17438,0,0,0,0,0,0,0,0,0,0,0,0,1
64,64,64,64,64,1.1332,388.12494,-11.417983,-248.08498,0,0,0,0,0,0,0,0,0,0,0,0,1
65,65,65,65,65,1.13322,389.79526,-11.907857,-326.8454,0,0,0,0,0,0,0,0,0,0,0,0,1
66,66,66,66,66,1.13324,387.873,-9.627549,-201.85614,0,0,0,0,0,0,0,0,0,0,0,0,1
67,67,67,67,67,1.13326,385.9221,-7.972782,-352.74487,0,0,0,0,0,0,0,0,0,0,0,0,1
68,68,68,68,68,1.1332799999999998,388.18436,-11.603337,-357.33124,0,0,0,0,0,0,0,0,0,0,0,0,1
69,69,69,69,69,1.1333,390.09277,-12.279712,-217.71103,0,0,0,0,0,0,0,0,0,0,0,0,1
70,70,70,70,70,1.13332,391.94617,-11.568206,-279.04163,0,0,0,0,0,0,0,0,0,0,0,0,1
71,71,71,71,71,1.13334,387.28177,-9.895238,-235.65244,0,0,0,0,0,0,0,0,0,0,0,0,1
72,72,72,72,72,1.13336,388.3678,-12.803837,-293.88342,0,0,0,0,0,0,0,0,0,0,0,0,1
73,73,73,73,73,1.13338,389.75302,-11.714706,-315.4391,0,0,0,0,0,0,0,0,0,0,0,0,1
74,74,74,74,74,1.1334,390.957,-11.788803,-266.07837,0,0,0,0,0,0,0,0,0,0,0,0,1
75,75,75,75,75,1.13342,390.422,-13.9635105,-234.29208,0,0,0,0,0,0,0,0,0,0,0,0,1
76,76,76,76,76,1.13344,391.37213,-10.198316,-312.51694,0,0,0,0,0,0,0,0,0,0,0,0,1
77,77,77,77,77,1.13346,390.51935,-13.43796,-236.8548,0,0,0,0,0,0,0,0,0,0,0,0,1
78,78,78,78,78,1.13348,386.77823,-16.651361,-277.70493,0,0,0,0,0,0,0,0,0,0,0,0,1
79,79,79,79,79,1.1335,388.0111,-11.13522,-247.08699,0,0,0,0,0,0,0,0,0,0,0,0,1
80,80,80,80,80,1.13352,386.4545,-9.013613,-251.42714,0,0,0,0,0,0,0,0,0,0,0,0,1
81,81,81,81,81,1.13354,390.65402,-11.539521,-279.04425,0,0,0,0,0,0,0,0,0,0,0,0,1
82,82,82,82,82,1.13356,392.42844,-13.7798,-301.51096,0,0,0,0,0,0,0,0,0,0,0,0,1
83,83,83,83,83,1.13358,390.96326,-13.436205,-308.6176,0,0,0,0,0,0,0,0,0,0,0,0,1
84,84,84,84,84,1.1336,387.52878,-12.614991,-147.1133,0,0,0,0,0,0,0,0,0,0,0,0,1
