,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vin:Measured voltage,Vo:Measured voltage,IL:Measured current,open1,open2,open3,open4,short1,short2,short3,short4,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
31,31,31,31,31,31,31,1.1723,-205.75196595776688,387.7380622056217,-8.44406057389158,0,0,0,0,0,0,0,0,0,0,0,0,1
32,32,32,32,32,32,32,1.17232,-207.2142634379326,387.7259608525305,-8.604822257298743,0,0,0,0,0,0,0,0,0,0,0,0,1
33,33,33,33,33,33,33,1.17234,-208.66838045377216,387.71929377412175,-8.620520562483065,0,0,0,0,0,0,0,0,0,0,0,0,1
34,34,34,34,34,34,34,1.1723599999999998,-210.11425959924887,387.71391698365727,-8.620050706230673,0,0,0,0,0,0,0,0,0,0,0,0,1
35,35,35,35,35,35,35,1.17238,-211.5518437935432,387.7089321529974,-8.667729647555653,0,0,0,0,0,0,0,0,0,0,0,0,1
36,36,36,36,36,36,36,1.1724,-212.98107628326608,387.70512443076535,-8.763258451187124,0,0,0,0,0,0,0,0,0,0,0,0,1
37,37,37,37,37,37,37,1.17242,-214.40190064479228,387.70327364693935,-8.906322257426787,0,0,0,0,0,0,0,0,0,0,0,0,1
38,38,38,38,38,38,38,1.17244,-215.81426078638304,387.70699063672527,-8.902771641643747,0,0,0,0,0,0,0,0,0,0,0,0,1
39,39,39,39,39,39,39,1.17246,-217.2181009505039,387.7114482515753,-8.881475565990833,0,0,0,0,0,0,0,0,0,0,0,0,1
40,40,40,40,40,40,40,1.17248,-218.61336571592352,387.715941437012,-8.906748887215192,0,0,0,0,0,0,0,0,0,0,0,0,1
41,41,41,41,41,41,41,1.1725,-219.9999999999908,387.72125774391,-8.978290007938844,0,0,0,0,0,0,0,0,0,0,0,0,1
42,42,42,42,42,42,42,1.17252,-221.3779490607709,387.7281791681241,-9.095780896273844,0,0,0,0,0,0,0,0,0,0,0,0,1
43,43,43,43,43,43,43,1.17254,-222.74715849916944,387.73748187476855,-9.258887205887488,0,0,0,0,0,0,0,0,0,0,0,0,1
