y0_pred,y1_pred,y2_pred,y3_pred,y4_pred,y5_pred,y6_pred,y7_pred
1.6179597216887167,1.6179749815473525,1.6179749608379488,1.6180236864478452,1.714435732652531,1.714425619964466,1.7144256271355063,1.7144352239276364
1.6189828423928194,1.6189979319529195,1.6189979112435156,1.619046807151948,1.7184303918573274,1.7184199946460035,1.7184200018170486,1.7184298831320708
1.613136438770302,1.6131515967612136,1.6131515760518165,1.6132004035088512,1.7153945882317114,1.7153843163751428,1.7153843235461865,1.7153940795065756
1.6149251037985335,1.6149400074103784,1.6149399867010394,1.6149890683570118,1.7214242312539416,1.7214135339314462,1.7214135411025069,1.7214237225275997
1.6159615807640133,1.6159764582253398,1.6159764375159242,1.6160255455591563,1.722273595779228,1.7222628528338089,1.7222628600048637,1.7222730870532883
1.6114773474170105,1.611492395695638,1.611492374986286,1.611541312016648,1.7173529875342364,1.7173425371076385,1.717342544278692,1.7173524788083772
1.617829917186924,1.6178446752600544,1.617844654550679,1.61789388185859,1.7253740092844645,1.7253630646071034,1.7253630717781583,1.725373500558525
1.6235071875480116,1.623521917532576,1.623521896823157,1.6235711523534442,1.727485979623922,1.7274749767956314,1.7274749839666868,1.727485470897942
1.632097794850764,1.6321124073386268,1.6321123866292195,1.6321617596201823,1.7323155313456147,1.7323043162457652,1.7323043234168183,1.7323150226197954
1.628566303480636,1.6285813937510243,1.628581373041639,1.628630268183171,1.7209352883696323,1.7209248729501654,1.7209248801212056,1.7209347796447376
1.6109248111999732,1.6109397500973084,1.6109397293879415,1.6109887758459147,1.7196016821338835,1.7195910513908645,1.7195910585619114,1.7196011734085066
1.635864903033198,1.6358793488471493,1.6358793281377388,1.6359288678129063,1.7369546028335043,1.7369431036899483,1.7369431108609943,1.7369540941082078
1.6157381977285796,1.6157530311471369,1.6157530104377449,1.6158021624516945,1.7231770604550287,1.7231662449641538,1.723166252135211,1.7231765517289284
1.6089688548337953,1.608983825475513,1.6089838047661544,1.6090328194540122,1.7183936033519092,1.718383029273702,1.7183830364447457,1.7183930946267734
1.6270833347199871,1.6270981103366695,1.6270980896273042,1.6271472993607836,1.727427099216758,1.727416164967262,1.7274161721382937,1.727426590492466
1.655949216325328,1.655963765193404,1.6559637444840238,1.6560131810124283,1.7399842810691755,1.7399729122350096,1.7399729194060534,1.7399837723440397
1.6139991710245751,1.6140141286284542,1.6140141079190902,1.6140631356602266,1.7200032331710637,1.719992627277606,1.719992634448648,1.7200027244460483
