,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vin:Measured voltage,Vo:Measured voltage,IL:Measured current,open1,open2,open3,open4,short1,short2,short3,short4,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
0,0,0,0,0,0,0,1.1419568057682377,178.09908062186844,384.8672402232576,0.0001780990307533,0,0,0,1,0,0,0,0,1,0,1,0,0
1,1,1,1,1,1,1,1.14196,179.69845309596124,384.72148472413846,0.0001796984034233,0,0,0,1,0,0,0,0,1,0,1,0,0
2,2,2,2,2,2,2,1.14198,181.29073138286213,384.5757844255036,0.000181290681908,0,0,0,1,0,0,0,0,1,0,1,0,0
3,3,3,3,3,3,3,1.142,182.8758526220787,384.4301393064456,0.0001828758033471,0,0,0,1,0,0,0,0,1,0,1,0,0
4,4,4,4,4,4,4,1.14202,184.4537542357816,384.28454934606447,0.0001844537051625,0,0,0,1,0,0,0,0,1,0,1,0,0
5,5,5,5,5,5,5,1.14204,186.0243739310885,384.13901452346806,0.0001860243250615,0,0,0,1,0,0,0,0,1,0,1,0,0
6,6,6,6,6,6,6,1.14206,187.5876497026373,383.9935348177728,0.0001875876010386,0,0,0,1,0,0,0,0,1,0,1,0,0
7,7,7,7,7,7,7,1.14208,189.1435198349916,383.8481102081017,0.0001891434713785,0,0,0,1,0,0,0,0,1,0,1,0,0
8,8,8,8,8,8,8,1.1421,190.6919229050343,383.70274067358713,0.000190691874658,0,0,0,1,0,0,0,0,1,0,1,0,0
9,9,9,9,9,9,9,1.14212,192.2327977844915,383.5574261933687,0.0001922327497488,0,0,0,1,0,0,0,0,1,0,1,0,0
10,10,10,10,10,10,10,1.14214,193.76608364223355,383.4121667465941,0.0001937660358198,0,0,0,1,0,0,0,0,1,0,1,0,0
11,11,11,11,11,11,11,1.1421599999999998,195.29171994677407,383.2669623124192,0.0001952916723395,0,0,0,1,0,0,0,0,1,0,1,0,0
12,12,12,12,12,12,12,1.14218,196.809646468618,383.1218128700058,0.0001968095990783,0,0,0,1,0,0,0,0,1,0,1,0,0
13,13,13,13,13,13,13,1.1422,198.31980328259763,382.9767183985264,0.0001983197561112,0,0,0,1,0,0,0,0,1,0,1,0,0
14,14,14,14,14,14,14,1.14222,199.8221307703352,382.8316788771601,0.0001998220838197,0,0,0,1,0,0,0,0,1,0,1,0,0
15,15,15,15,15,15,15,1.14224,201.31656962248664,382.6866942850927,0.0002013165228944,0,0,0,1,0,0,0,0,1,0,1,0,0
16,16,16,16,16,16,16,1.14226,202.8030608411921,382.5417646015202,0.0002028030143376,0,0,0,1,0,0,0,0,1,0,1,0,0
17,17,17,17,17,17,17,1.14228,204.2815457422965,382.39688980564506,0.0002042814994649,0,0,0,1,0,0,0,0,1,0,1,0,0
18,18,18,18,18,18,18,1.1423,205.7519659577612,382.2520698766775,0.0002057519199085,0,0,0,1,0,0,0,0,1,0,1,0,0
19,19,19,19,19,19,19,1.14232,207.2142634379269,382.1073047938361,0.0002072142176186,0,0,0,1,0,0,0,0,1,0,1,0,0
20,20,20,20,20,20,20,1.14234,208.6683804537665,381.9625945363465,0.0002086683348662,0,0,0,1,0,0,0,0,1,0,1,0,0
21,21,21,21,21,21,21,1.14236,210.11425959925643,381.8179390834434,0.0002101142142452,0,0,0,1,0,0,0,0,1,0,1,0,0
22,22,22,22,22,22,22,1.14238,211.5518437935376,381.673338414369,0.0002115517986748,0,0,0,1,0,0,0,0,1,0,1,0,0
23,23,23,23,23,23,23,1.1424,212.98107628326048,381.5287925083733,0.0002129810314016,0,0,0,1,0,0,0,0,1,0,1,0,0
24,24,24,24,24,24,24,1.14242,214.4019006447868,381.38430134471344,0.000214401856002,0,0,0,1,0,0,0,0,1,0,1,0,0
25,25,25,25,25,25,25,1.14244,215.8142607863776,381.2398649026552,0.0002158142163842,0,0,0,1,0,0,0,0,1,0,1,0,0
26,26,26,26,26,26,26,1.14246,217.21810095049844,381.09548316147175,0.0002172180567908,0,0,0,1,0,0,0,0,1,0,1,0,0
27,27,27,27,27,27,27,1.14248,218.6133657159181,380.9511561004442,0.0002186133218003,0,0,0,1,0,0,0,0,1,0,1,0,0
28,28,28,28,28,28,28,1.1424999999999998,219.99999999998545,380.80688369886167,0.0002199999563302,0,0,0,1,0,0,0,0,1,0,1,0,0
29,29,29,29,29,29,29,1.14252,221.377949060778,380.66266593602177,0.0002213779056386,0,0,0,1,0,0,0,0,1,0,1,0,0
30,30,30,30,30,30,30,1.14254,222.7471584991641,380.518502791228,0.0002227471153263,0,0,0,1,0,0,0,0,1,0,1,0,0
31,31,31,31,31,31,31,1.14256,224.1075742611739,380.37439424379306,0.0002241075313393,0,0,0,1,0,0,0,0,1,0,1,0,0
32,32,32,32,32,32,32,1.14258,225.4591426398609,380.23034027303805,0.0002254590999707,0,0,0,1,0,0,0,0,1,0,1,0,0
33,33,33,33,33,33,33,1.1425999999999998,226.80181027764445,380.0863408582903,0.0002268017678629,0,0,0,1,0,0,0,0,1,0,1,0,0
34,34,34,34,34,34,34,1.14262,228.13552416831723,379.94239597888674,0.0002281354820096,0,0,0,1,0,0,0,0,1,0,1,0,0
35,35,35,35,35,35,35,1.14264,229.4602316591144,379.7985056141714,0.0002294601897582,0,0,0,1,0,0,0,0,1,0,1,0,0
36,36,36,36,36,36,36,1.14266,230.77588045287644,379.65466974349454,0.0002307758388113,0,0,0,1,0,0,0,0,1,0,1,0,0
37,37,37,37,37,37,37,1.14268,232.08241861001792,379.5108883462162,0.0002320823772295,0,0,0,1,0,0,0,0,1,0,1,0,0
38,38,38,38,38,38,38,1.1427,233.37979455067324,379.3671614017039,0.0002333797534328,0,0,0,1,0,0,0,0,1,0,1,0,0
39,39,39,39,39,39,39,1.14272,234.66795705663816,379.2234888893321,0.000234667916203,0,0,0,1,0,0,0,0,1,0,1,0,0
40,40,40,40,40,40,40,1.14274,235.94685527347448,379.0798707884841,0.0002359468146858,0,0,0,1,0,0,0,0,1,0,1,0,0
41,41,41,41,41,41,41,1.14276,237.21643871248187,378.9363070785506,0.0002372163983923,0,0,0,1,0,0,0,0,1,0,1,0,0
42,42,42,42,42,42,42,1.14278,238.47665725265705,378.79279773893006,0.0002384766172015,0,0,0,1,0,0,0,0,1,0,1,0,0
43,43,43,43,43,43,43,1.1428,239.72746114275265,378.6493427490285,0.0002397274213623,0,0,0,1,0,0,0,0,1,0,1,0,0
44,44,44,44,44,44,44,1.14282,240.96880100315025,378.5059420882594,0.0002409687614949,0,0,0,1,0,0,0,0,1,0,1,0,0
45,45,45,45,45,45,45,1.14284,242.20062782788887,378.3625957360452,0.0002422005885935,0,0,0,1,0,0,0,0,1,0,1,0,0
46,46,46,46,46,46,46,1.14286,243.422892986566,378.21930367181534,0.0002434228540275,0,0,0,1,0,0,0,0,1,0,1,0,0
47,47,47,47,47,47,47,1.14288,244.63554822622368,378.07606587500766,0.000244635509544,0,0,0,1,0,0,0,0,1,0,1,0,0
48,48,48,48,48,48,48,1.1429,245.83854567333145,377.9328823250666,0.0002458385072696,0,0,0,1,0,0,0,0,1,0,1,0,0
49,49,49,49,49,49,49,1.14292,247.03183783558825,377.78975300144526,0.0002470317997118,0,0,0,1,0,0,0,0,1,0,1,0,0
50,50,50,50,50,50,50,1.1429399999999998,248.2153776038736,377.6466778836042,0.0002482153397615,0,0,0,1,0,0,0,0,1,0,1,0,0
51,51,51,51,51,51,51,1.14296,249.38911825407465,377.50365695101226,0.0002493890806946,0,0,0,1,0,0,0,0,1,0,1,0,0
52,52,52,52,52,52,52,1.14298,250.55301344889887,377.3606901831458,0.0002505529761738,0,0,0,1,0,0,0,0,1,0,1,0,0
53,53,53,53,53,53,53,1.143,251.7070172397782,377.2177775594876,0.0002517069802506,0,0,0,1,0,0,0,0,1,0,1,0,0
54,54,54,54,54,54,54,1.14302,252.851084068598,377.0749190595308,0.0002528510473668,0,0,0,1,0,0,0,0,1,0,1,0,0
55,55,55,55,55,55,55,1.14304,253.9851687695896,376.93211466277415,0.0002539851323566,0,0,0,1,0,0,0,0,1,0,1,0,0
56,56,56,56,56,56,56,1.14306,255.10922657097976,376.7893643487248,0.0002551091904482,0,0,0,1,0,0,0,0,1,0,1,0,0
57,57,57,57,57,57,57,1.14308,256.22321309693217,376.6466680968984,0.0002562231772658,0,0,0,1,0,0,0,0,1,0,1,0,0
58,58,58,58,58,58,58,1.1431,257.3270843691759,376.50402588681663,0.0002573270488311,0,0,0,1,0,0,0,0,1,0,1,0,0
59,59,59,59,59,59,59,1.14312,258.42079680872325,376.3614376980106,0.0002584207615651,0,0,0,1,0,0,0,0,1,0,1,0,0
60,60,60,60,60,60,60,1.14314,259.50430723770984,376.2189035100191,0.00025950427229,0,0,0,1,0,0,0,0,1,0,1,0,0
61,61,61,61,61,61,61,1.14316,260.57757288097935,376.076423302387,0.0002605775382305,0,0,0,1,0,0,0,0,1,0,1,0,0
62,62,62,62,62,62,62,1.14318,261.640551367852,375.93399705466805,0.000261640517016,0,0,0,1,0,0,0,0,1,0,1,0,0
63,63,63,63,63,63,63,1.1432,262.69320073376645,375.7916247464247,0.0002626931666819,0,0,0,1,0,0,0,0,1,0,1,0,0
64,64,64,64,64,64,64,1.14322,263.7354794219093,375.6493063572259,0.0002637354456713,0,0,0,1,0,0,0,0,1,0,1,0,0
65,65,65,65,65,65,65,1.14324,264.7673462849214,375.5070418666477,0.000264767312837,0,0,0,1,0,0,0,0,1,0,1,0,0
66,66,66,66,66,66,66,1.14326,265.7887605864472,375.3648312542756,0.0002657887274425,0,0,0,1,0,0,0,0,1,0,1,0,0
67,67,67,67,67,67,67,1.14328,266.7996820028084,375.22267449970144,0.0002667996491641,0,0,0,1,0,0,0,0,1,0,1,0,0
68,68,68,68,68,68,68,1.1433,267.8000706245674,375.08057158252535,0.0002678000380924,0,0,0,1,0,0,0,0,1,0,1,0,0
