,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vin:Measured voltage,Vo:Measured voltage,IL:Measured current,open1,open2,open3,open4,short1,short2,short3,short4,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
15,15,15,15,15,15,15,15,1.11038,-37.05434019017391,396.36626294812487,-1.5607798466393037,0,0,0,0,0,0,0,0,0,0,0,0,1
16,16,16,16,16,16,16,16,1.1104,-38.99455091899812,396.2207412127954,-1.5728676577346177,0,0,0,0,0,0,0,0,0,0,0,0,1
17,17,17,17,17,17,17,17,1.11042,-40.93322220970386,396.0754553791744,-1.5840362127384953,0,0,0,0,0,0,0,0,0,0,0,0,1
18,18,18,18,18,18,18,18,1.11044,-42.87027752688568,395.9303569958177,-1.6602713458526084,0,0,0,0,0,0,0,0,0,0,0,0,1
19,19,19,19,19,19,19,19,1.11046,-44.80564039893392,395.78564301197525,-1.801497454698128,0,0,0,0,0,0,0,0,0,0,0,0,1
20,20,20,20,20,20,20,20,1.11048,-46.739234421001264,395.6418027721424,-1.9416986201950783,0,0,0,0,0,0,0,0,0,0,0,0,1
21,21,21,21,21,21,21,21,1.1105,-48.670983258141526,395.49902392305904,-1.9490237250491933,0,0,0,0,0,0,0,0,0,0,0,0,1
22,22,22,22,22,22,22,22,1.11052,-50.60081064818337,395.3564438209111,-2.0212677783445963,0,0,0,0,0,0,0,0,0,0,0,0,1
23,23,23,23,23,23,23,23,1.11054,-52.528640404863296,395.2142982598707,-2.1583451647205574,0,0,0,0,0,0,0,0,0,0,0,0,1
24,24,24,24,24,24,24,24,1.11056,-54.45439642078092,395.0733638752287,-2.228480219091353,0,0,0,0,0,0,0,0,0,0,0,0,1
25,25,25,25,25,25,25,25,1.11058,-56.37800267035128,394.93289085223046,-2.36335165794425,0,0,0,0,0,0,0,0,0,0,0,0,1
26,26,26,26,26,26,26,26,1.1106,-58.29938321294559,394.79347358973257,-2.431267698123265,0,0,0,0,0,0,0,0,0,0,0,0,1
27,27,27,27,27,27,27,27,1.11062,-60.21846219568042,394.65490638049647,-2.4980406900191703,0,0,0,0,0,0,0,0,0,0,0,0,1
28,28,28,28,28,28,28,28,1.1106399999999998,-62.13516385662098,394.5170574788537,-2.56363236367304,0,0,0,0,0,0,0,0,0,0,0,0,1
29,29,29,29,29,29,29,29,1.11066,-64.04941252773689,394.3797096107324,-2.6937338653906115,0,0,0,0,0,0,0,0,0,0,0,0,1
30,30,30,30,30,30,30,30,1.11068,-65.96113263768174,394.24354163884016,-2.756827205890847,0,0,0,0,0,0,0,0,0,0,0,0,1
31,31,31,31,31,31,31,31,1.1107,-67.87024871507089,394.10854220500806,-2.7529360426001808,0,0,0,0,0,0,0,0,0,0,0,0,1
32,32,32,32,32,32,32,32,1.11072,-69.77668539123597,393.9737436232148,-2.81339445037322,0,0,0,0,0,0,0,0,0,0,0,0,1
33,33,33,33,33,33,33,33,1.11074,-71.68036740335587,393.8394769641476,-2.9380919963443355,0,0,0,0,0,0,0,0,0,0,0,0,1
34,34,34,34,34,34,34,34,1.11076,-73.5812195972899,393.706372384729,-3.061298368130348,0,0,0,0,0,0,0,0,0,0,0,0,1
35,35,35,35,35,35,35,35,1.11078,-75.4791669306655,393.5749916230495,-3.0517685454409134,0,0,0,0,0,0,0,0,0,0,0,0,1
36,36,36,36,36,36,36,36,1.1108,-77.37413447578886,393.4437940250687,-3.1062798577221864,0,0,0,0,0,0,0,0,0,0,0,0,1
37,37,37,37,37,37,37,37,1.11082,-79.26604742255175,393.3131478234504,-3.224712129898624,0,0,0,0,0,0,0,0,0,0,0,0,1
38,38,38,38,38,38,38,38,1.11084,-81.15483108150467,393.1839101381417,-3.34141503731752,0,0,0,0,0,0,0,0,0,0,0,0,1
39,39,39,39,39,39,39,39,1.11086,-83.04041088666878,393.05634922188574,-3.32529812342933,0,0,0,0,0,0,0,0,0,0,0,0,1
40,40,40,40,40,40,40,40,1.11088,-84.92271239859905,392.9289405035621,-3.3728679878200505,0,0,0,0,0,0,0,0,0,0,0,0,1
41,41,41,41,41,41,41,41,1.1109,-86.80166130727181,392.80208871160846,-3.4839948786822874,0,0,0,0,0,0,0,0,0,0,0,0,1
