,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vin:Measured voltage,Vo:Measured voltage,IL:Measured current,open1,open2,open3,open4,short1,short2,short3,short4,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
32,32,32,32,32,32,32,1.11852,-139.5041175737034,195.329135530046,-146.94950440947977,0,0,0,0,0,1,0,0,0,1,0,1,0
33,33,33,33,33,33,33,1.11854,-137.75403294127037,193.7847834769311,-145.0847112923863,0,0,0,0,0,1,0,0,0,1,0,1,0
34,34,34,34,34,34,34,1.11856,-135.99851001547364,192.23134147279137,-143.21312500898387,0,0,0,0,0,1,0,0,0,1,0,1,0
35,35,35,35,35,35,35,1.11858,-134.23761810138413,190.6688832649491,-141.3348672347625,0,0,0,0,0,1,0,0,0,1,0,1,0
36,36,36,36,36,36,36,1.1186,-132.47142671596768,189.0974840010932,-139.45005947704558,0,0,0,0,0,1,0,0,0,1,0,1,0
37,37,37,37,37,37,37,1.11862,-130.70000558546784,187.5172201813671,-137.55882303612307,0,0,0,0,0,1,0,0,0,1,0,1,0
38,38,38,38,38,38,38,1.11864,-128.92342464254182,185.9281696107608,-135.66127896788797,0,0,0,0,0,1,0,0,0,1,0,1,0
39,39,39,39,39,39,39,1.11866,-127.14175402354704,184.3304113518552,-133.75754804796273,0,0,0,0,0,1,0,0,0,1,0,1,0
40,40,40,40,40,40,40,1.11868,-125.35506406582113,182.7240256779418,-131.8477507373029,0,0,0,0,0,1,0,0,0,1,0,1,0
41,41,41,41,41,41,41,1.1187,-123.56342530477572,181.1090940265538,-129.93200714926013,0,0,0,0,0,1,0,0,0,1,0,1,0
42,42,42,42,42,42,42,1.11872,-121.76690847132244,179.48569895344372,-128.01043701810184,0,0,0,0,0,1,0,0,0,1,0,1,0
43,43,43,43,43,43,43,1.1187399999999998,-119.96558448880484,177.85392408703007,-126.08315966895503,0,0,0,0,0,1,0,0,0,1,0,1,0
44,44,44,44,44,44,44,1.11876,-118.15952447039297,176.2138540833467,-124.15029398917612,0,0,0,0,0,1,0,0,0,1,0,1,0
45,45,45,45,45,45,45,1.11878,-116.34879971630914,174.5655745815204,-122.21195840111496,0,0,0,0,0,1,0,0,0,1,0,1,0
46,46,46,46,46,46,46,1.1188,-114.53348171081718,172.90917215979738,-120.26827083626073,0,0,0,0,0,1,0,0,0,1,0,1,0
47,47,47,47,47,47,47,1.11882,-112.71364211959646,171.24473429215524,-118.3193487107528,0,0,0,0,0,1,0,0,0,1,0,1,0
48,48,48,48,48,48,48,1.11884,-110.88935278676504,169.57234930550715,-116.36530890223064,0,0,0,0,0,1,0,0,0,1,0,1,0
49,49,49,49,49,49,49,1.11886,-109.06068573217507,167.8921063375332,-114.4062677280085,0,0,0,0,0,1,0,0,0,1,0,1,0
50,50,50,50,50,50,50,1.11888,-107.22771314845426,166.2040952951512,-112.44234092454889,0,0,0,0,0,1,0,0,0,1,0,1,0
51,51,51,51,51,51,51,1.1189,-105.390507398205,164.5084068136527,-110.47364362821358,0,0,0,0,0,1,0,0,0,1,0,1,0
52,52,52,52,52,52,52,1.11892,-103.54914101119772,162.80513221651233,-108.50029035727428,0,0,0,0,0,1,0,0,0,1,0,1,0
53,53,53,53,53,53,53,1.11894,-101.7036866813912,161.0943634758999,-106.52239499515152,0,0,0,0,0,1,0,0,0,1,0,1,0
54,54,54,54,54,54,54,1.11896,-99.8542172641958,159.37619317389567,-104.5400707748664,0,0,0,0,0,1,0,0,0,1,0,1,0
55,55,55,55,55,55,55,1.11898,-98.00080577348064,157.6507144644407,-102.55343026467445,0,0,0,0,0,1,0,0,0,1,0,1,0
56,56,56,56,56,56,56,1.119,-96.143525378741,155.91802103601802,-100.56258535486232,0,0,0,0,0,1,0,0,0,1,0,1,0
57,57,57,57,57,57,57,1.11902,-94.28244940226034,154.1782070750874,-98.5676472456783,0,0,0,0,0,1,0,0,0,1,0,1,0
58,58,58,58,58,58,58,1.11904,-92.4176513160978,152.43136723028135,-96.56872643637216,0,0,0,0,0,1,0,0,0,1,0,1,0
59,59,59,59,59,59,59,1.11906,-90.5492047393226,150.67759657737065,-94.56593271532188,0,0,0,0,0,1,0,0,0,1,0,1,0
60,60,60,60,60,60,60,1.11908,-88.67718343498933,148.9169905850134,-92.55937515121464,0,0,0,0,0,1,0,0,0,1,0,1,0
61,61,61,61,61,61,61,1.1191,-86.8016613072768,147.14964508128634,-90.54916208526312,0,0,0,0,0,1,0,0,0,1,0,1,0
62,62,62,62,62,62,62,1.11912,-84.92271239862104,145.3756562210146,-88.53540112442487,0,0,0,0,0,1,0,0,0,1,0,1,0
63,63,63,63,63,63,63,1.11914,-83.04041088667378,143.59512045389744,-86.51819913560145,0,0,0,0,0,1,0,0,0,1,0,1,0
64,64,64,64,64,64,64,1.11916,-81.1548310815097,141.80813449344095,-84.49766224078829,0,0,0,0,0,1,0,0,0,1,0,1,0
65,65,65,65,65,65,65,1.1191799999999998,-79.26604742257386,140.01479528669773,-82.47389581314937,0,0,0,0,0,1,0,0,0,1,0,1,0
66,66,66,66,66,66,66,1.1192,-77.3741344757939,138.21519998481602,-80.44700447398982,0,0,0,0,0,1,0,0,0,1,0,1,0
67,67,67,67,67,67,67,1.11922,-75.4791669306877,136.4094459144028,-78.4170920905982,0,0,0,0,0,1,0,0,0,1,0,1,0
68,68,68,68,68,68,68,1.11924,-73.58121959729495,134.59763054970094,-76.38426177493055,0,0,0,0,0,1,0,0,0,1,0,1,0
69,69,69,69,69,69,69,1.11926,-71.68036740336092,132.77985148557804,-74.34861588311315,0,0,0,0,0,1,0,0,0,1,0,1,0
70,70,70,70,70,70,70,1.11928,-69.77668539122378,130.95620641132925,-72.3102560157303,0,0,0,0,0,1,0,0,0,1,0,1,0
71,71,71,71,71,71,71,1.1193,-67.87024871505868,129.12679308529408,-70.26928301887524,0,0,0,0,0,1,0,0,0,1,0,1,0
72,72,72,72,72,72,72,1.11932,-65.96113263770408,127.29170931027728,-68.22579698593431,0,0,0,0,0,1,0,0,0,1,0,1,0
73,73,73,73,73,73,73,1.11934,-64.04941252772466,125.45105290978172,-66.1798972600777,0,0,0,0,0,1,0,0,0,1,0,1,0
74,74,74,74,74,74,74,1.11936,-62.135163856643366,123.60492170504118,-64.13168243743088,0,0,0,0,0,1,0,0,0,1,0,1,0
75,75,75,75,75,75,75,1.11938,-60.21846219566815,121.75341349285104,-62.08125037089833,0,0,0,0,0,1,0,0,0,1,0,1,0
76,76,76,76,76,76,76,1.1194,-58.29938321293331,119.8966260241946,-60.02869817461402,0,0,0,0,0,1,0,0,0,1,0,1,0
77,77,77,77,77,77,77,1.11942,-56.37800267037377,118.03465698365454,-57.97412222899148,0,0,0,0,0,1,0,0,0,1,0,1,0
78,78,78,78,78,78,78,1.11944,-54.45439642078601,116.16760396960817,-55.91761818634862,0,0,0,0,0,1,0,0,0,1,0,1,0
79,79,79,79,79,79,79,1.11946,-52.52864040488584,114.29556447519523,-53.85928097707819,0,0,0,0,0,1,0,0,0,1,0,1,0
80,80,80,80,80,80,80,1.11948,-50.60081064818848,112.4186358700538,-51.79920481634188,0,0,0,0,0,1,0,0,0,1,0,1,0
81,81,81,81,81,81,81,1.1195,-48.670983258146656,110.53691538281473,-49.73748321125965,0,0,0,0,0,1,0,0,0,1,0,1,0
82,82,82,82,82,82,82,1.1195199999999998,-46.739234421023866,108.65050008434746,-47.67420896856999,0,0,0,0,0,1,0,0,0,1,0,1,0
83,83,83,83,83,83,83,1.11954,-44.805640398939055,106.75948687174638,-45.60947420273646,0,0,0,0,0,1,0,0,0,1,0,1,0
84,84,84,84,84,84,84,1.11956,-42.870277526908325,104.86397245305014,-43.54337034447525,0,0,0,0,0,1,0,0,0,1,0,1,0
85,85,85,85,85,85,85,1.11958,-40.933222209709,102.96405333268272,-41.47598814967996,0,0,0,0,0,1,0,0,0,1,0,1,0
86,86,86,86,86,86,86,1.1196,-38.99455091900326,101.05982579760652,-39.407417708719365,0,0,0,0,0,1,0,0,0,1,0,1,0
87,87,87,87,87,87,87,1.11962,-37.054340190179055,99.15138590417536,-37.33774845608407,0,0,0,0,0,1,0,0,0,1,0,1,0
88,88,88,88,88,88,88,1.11964,-35.1126666194689,97.23882946568062,-35.267069180359414,0,0,0,0,0,1,0,0,0,1,0,1,0
89,89,89,89,89,89,89,1.11966,-33.16960686080313,95.322252040572,-33.19546803450172,0,0,0,0,0,1,0,0,0,1,0,1,0
90,90,90,90,90,90,90,1.11968,-31.225237622836367,93.40174892134804,-31.123032546395045,0,0,0,0,0,1,0,0,0,1,0,1,0
91,91,91,91,91,91,91,1.1197,-29.27963566597203,91.47741512409983,-29.049849629666184,0,0,0,0,0,1,0,0,0,1,0,1,0
92,92,92,92,92,92,92,1.11972,-27.33287779920876,89.549345378697,-26.97600559473718,0,0,0,0,0,1,0,0,0,1,0,1,0
93,93,93,93,93,93,93,1.11974,-25.385040877248965,87.61763411960406,-24.9015861600928,0,0,0,0,0,1,0,0,0,1,0,1,0
