z5_0,z5_1,z5_2,z5_3,z5_4,z5_5,z5_6,z5_7,z5_8,z5_9,z5_10,z5_11,z5_12,z5_13,z5_14,z5_15,z5_16,z5_17,z5_18,z5_19,z5_20,z5_21,z5_22,z5_23,z5_24,z5_25,z5_26,z5_27,z5_28,z5_29,z5_30,z5_31
-0.035175167,0.05460497,0.0086205695,0.021844588,-0.0402522,-0.10997794,0.016602308,0.013340451,0.04545608,0.054699257,0.024213606,0.018623147,0.03620755,0.0075935298,0.12891234,0.06236531,-0.0023077042,-0.032469407,-0.1392263,-0.025478302,0.11281046,0.05643584,-0.10220792,-0.025361821,0.03671183,0.09807183,-0.017397897,0.006592267,-0.014976946,-0.023941977,0.043429457,0.11838664
-0.035779163,0.053680014,0.008912636,0.0211781,-0.039363235,-0.10939323,0.016550586,0.014121663,0.04399214,0.054031555,0.025250304,0.017381448,0.03639095,0.008420523,0.12868302,0.062955216,-0.002833784,-0.0322856,-0.13924626,-0.023414712,0.11247425,0.055652767,-0.10179323,-0.024849638,0.036204256,0.09744256,-0.017288437,0.006750431,-0.013334063,-0.021684587,0.041416746,0.11864166
-0.035329036,0.053963162,0.008950142,0.021183059,-0.039608624,-0.10899106,0.01597163,0.014317991,0.043823913,0.05326921,0.024798784,0.017531388,0.036592245,0.008702846,0.12869392,0.062678576,-0.002626466,-0.032541595,-0.1394079,-0.023605734,0.11216278,0.055454116,-0.1020644,-0.024924614,0.03654512,0.09749046,-0.01761324,0.0068139127,-0.013581385,-0.021846509,0.041534223,0.11876131
-0.03545995,0.054664757,0.008750014,0.022881504,-0.039483316,-0.10735848,0.014356695,0.0134195965,0.043584853,0.052510303,0.024298474,0.017083934,0.03692475,0.009349193,0.12661386,0.06258292,-0.0020756018,-0.032311603,-0.13770118,-0.024001244,0.111874975,0.055415414,-0.10187809,-0.026082858,0.036711905,0.0976366,-0.01700044,0.0063674413,-0.0135886045,-0.02320499,0.040804677,0.11819435
-0.035227083,0.05404566,0.008859169,0.021543447,-0.039592132,-0.10857274,0.015240064,0.014051029,0.04373811,0.052874316,0.02469714,0.01747315,0.036710583,0.008780195,0.12819578,0.062687784,-0.0026234952,-0.032793783,-0.13930112,-0.02360924,0.11210998,0.055425603,-0.10224831,-0.02496045,0.036780745,0.09750615,-0.017660078,0.006768506,-0.013419689,-0.02188051,0.041358754,0.118749395
-0.035397694,0.053932257,0.009005414,0.021105377,-0.039595224,-0.109050855,0.016346058,0.01440672,0.043837234,0.05347008,0.024790306,0.017476175,0.036587447,0.008617367,0.12871422,0.06267065,-0.0026100096,-0.032369092,-0.13935897,-0.023704305,0.11220197,0.05548452,-0.101973586,-0.024874374,0.036363825,0.097463146,-0.017527727,0.0067639668,-0.013681824,-0.021910165,0.041590367,0.118748344
-0.035163864,0.054521877,0.0086420905,0.022516552,-0.03969235,-0.107768536,0.014497248,0.013175184,0.043450706,0.05220218,0.024600016,0.017034903,0.03736978,0.008864784,0.12692434,0.062859885,-0.0027251863,-0.032849133,-0.13913165,-0.023874104,0.112208694,0.055282723,-0.10237579,-0.024797417,0.03673106,0.09745451,-0.017462883,0.0066292835,-0.013411271,-0.022357645,0.041024588,0.118527204
-0.03524167,0.05451477,0.008701818,0.022467518,-0.039657496,-0.107810736,0.014551796,0.013327556,0.04352443,0.052354835,0.024548722,0.017106906,0.037189014,0.008951291,0.12704688,0.06279132,-0.0026016221,-0.03275027,-0.13891506,-0.023853714,0.11215639,0.055335227,-0.10227274,-0.025069762,0.036729947,0.09748175,-0.017379658,0.006594101,-0.013442614,-0.022440648,0.04103434,0.11851133
-0.035528384,0.05406514,0.008988095,0.021460187,-0.03956171,-0.10877751,0.016462233,0.01414655,0.04375449,0.053753797,0.02471402,0.017379733,0.03687287,0.008528515,0.12806606,0.06279286,-0.0026272614,-0.031983465,-0.13908623,-0.023977984,0.11220075,0.055571873,-0.10194489,-0.024998605,0.036150154,0.097443074,-0.017405523,0.006659913,-0.013844022,-0.022139087,0.04147158,0.11860162
-0.035626195,0.054201055,0.008525347,0.022475284,-0.039488047,-0.108250186,0.01509654,0.012822153,0.043554448,0.052910022,0.025327997,0.016739322,0.037141725,0.008531346,0.12706156,0.06321386,-0.003083699,-0.032600127,-0.13908707,-0.023531456,0.11257732,0.05546356,-0.102134176,-0.02458021,0.036415074,0.097405255,-0.017171973,0.0066761076,-0.01304007,-0.022050971,0.04080152,0.11833885
-0.035473745,0.054002423,0.008866845,0.021484805,-0.039573252,-0.10888606,0.015548933,0.01393204,0.043844864,0.053185213,0.025000984,0.017347522,0.03652205,0.008665051,0.12842102,0.06282642,-0.002797347,-0.032739744,-0.13940716,-0.023400594,0.112376526,0.055523105,-0.10212798,-0.024845421,0.036582172,0.09743243,-0.01742538,0.006773472,-0.0132533265,-0.021713331,0.041343123,0.1187489
-0.03565667,0.053890727,0.008912807,0.021470683,-0.039544597,-0.10904789,0.016262114,0.013866715,0.044009835,0.053786255,0.025248444,0.017222146,0.036541488,0.008486751,0.12845004,0.063000165,-0.0029219561,-0.032390192,-0.13924159,-0.02341121,0.112469226,0.055647455,-0.10194055,-0.024790108,0.036304653,0.097392336,-0.017377745,0.0068212627,-0.013299697,-0.021762397,0.041311957,0.118557945
-0.035329822,0.054351304,0.008801434,0.02191845,-0.03970842,-0.108456016,0.01539281,0.0136303585,0.0436202,0.052832857,0.024736375,0.01722559,0.03706999,0.008746643,0.12777345,0.06284883,-0.0027617612,-0.032584503,-0.13938048,-0.023780927,0.112295695,0.055377066,-0.10218929,-0.024813809,0.03650257,0.09741974,-0.017430084,0.0067069987,-0.013557072,-0.022121403,0.041285127,0.11863646
-0.035228685,0.05415354,0.008822236,0.021784361,-0.039615188,-0.10836594,0.015085105,0.013847334,0.043673,0.05277194,0.024658997,0.01736688,0.036867768,0.008777775,0.12786047,0.06273737,-0.0026551825,-0.03277313,-0.13924533,-0.023698017,0.112134784,0.055413496,-0.10228735,-0.0249388,0.036758542,0.09748369,-0.017607227,0.006722848,-0.013428102,-0.021985631,0.041270573,0.11869707
-0.035449952,0.053929266,0.008994918,0.021217136,-0.03953542,-0.10905361,0.016162729,0.014351327,0.04388552,0.053575154,0.024726255,0.01759755,0.03661352,0.008637417,0.12856384,0.06273036,-0.0026108087,-0.0323904,-0.13931714,-0.023706008,0.11219816,0.055525918,-0.10198883,-0.025019594,0.036424734,0.09747034,-0.017523553,0.0067313965,-0.013648969,-0.021890745,0.04155958,0.11876277
-0.035378836,0.053923525,0.009033408,0.020988014,-0.03961967,-0.10918656,0.01608209,0.014511988,0.043917246,0.05341357,0.024782475,0.01763435,0.036395397,0.008702075,0.12900145,0.06263465,-0.0026127123,-0.032573596,-0.13950098,-0.023525354,0.11220452,0.055509035,-0.102049366,-0.024977855,0.03653957,0.0974661,-0.017578956,0.006813597,-0.013566398,-0.021716546,0.041636173,0.11886898
-0.035552837,0.053635977,0.008700719,0.020894554,-0.039682686,-0.109528214,0.01717576,0.014911117,0.044149898,0.054151602,0.024724357,0.017738147,0.036037084,0.008485767,0.12939219,0.062470242,-0.0024321382,-0.032456227,-0.1393119,-0.023582637,0.112130895,0.055491213,-0.102083996,-0.024873056,0.036282238,0.09765916,-0.017633004,0.0066874567,-0.014068005,-0.02218677,0.041942015,0.11880286
-0.035421833,0.05379899,0.009107076,0.02079194,-0.039567165,-0.10932177,0.016383672,0.01472768,0.043999754,0.053637818,0.02476883,0.01768864,0.036265302,0.008639714,0.1291847,0.062589064,-0.002561374,-0.03250392,-0.1394538,-0.02353527,0.11220125,0.055559244,-0.10197459,-0.02497904,0.03645748,0.09746454,-0.017567463,0.0067913774,-0.013601954,-0.021684086,0.041729543,0.11890473
-0.035318673,0.05390802,0.0090011,0.021006394,-0.039624117,-0.10908581,0.01578651,0.014511624,0.043924794,0.05318362,0.024767753,0.017642578,0.036290344,0.008736471,0.12897184,0.062537536,-0.0025369008,-0.03279084,-0.13945743,-0.023493923,0.112202615,0.055492923,-0.10209886,-0.02493874,0.03665543,0.09746574,-0.01760767,0.0068072006,-0.013428255,-0.021702638,0.041660137,0.11888412
-0.035846144,0.05384627,0.008914838,0.021407694,-0.03941673,-0.10926155,0.01679486,0.013951432,0.043896034,0.054181453,0.025160713,0.017280018,0.03668437,0.008370653,0.12831365,0.06304185,-0.002861841,-0.03195958,-0.13916889,-0.02368708,0.112490036,0.05564878,-0.10173995,-0.024889216,0.03600117,0.09740283,-0.017189454,0.006681674,-0.01356699,-0.02191872,0.041367,0.11853121
-0.035295382,0.054256525,0.008835064,0.021977682,-0.039563738,-0.10815137,0.0148472,0.0138729215,0.04370208,0.052714337,0.024549348,0.017362643,0.036713805,0.009004997,0.1277174,0.06262366,-0.0024197702,-0.03268207,-0.13875104,-0.023700662,0.11201696,0.055431683,-0.10214481,-0.025387645,0.036812756,0.09755352,-0.01744324,0.006637836,-0.01344349,-0.022298578,0.041169655,0.118584976
-0.035346955,0.053929925,0.008990459,0.021060755,-0.039604202,-0.109113365,0.015992668,0.014436843,0.04388135,0.053318605,0.024787845,0.017607866,0.036467947,0.008713282,0.12888551,0.06264576,-0.0026109335,-0.03260097,-0.13947293,-0.023539048,0.11218456,0.055477362,-0.102059476,-0.024948541,0.036562443,0.09748359,-0.017601907,0.0068156933,-0.013553307,-0.02176004,0.041600637,0.118836015
-0.035357833,0.05426168,0.0088537205,0.021843765,-0.039538555,-0.10842991,0.01524432,0.013949741,0.04378718,0.052812394,0.024591321,0.01739655,0.036716133,0.00899791,0.12792434,0.06262954,-0.0023988658,-0.032662407,-0.13886005,-0.0236727,0.112133525,0.05539361,-0.10196953,-0.025245879,0.036597416,0.09754242,-0.01732863,0.0066222344,-0.0135114165,-0.022374172,0.04134228,0.11861775
-0.03546264,0.05395223,0.008996718,0.021308213,-0.039546877,-0.108877,0.016490014,0.014276372,0.043795124,0.053617768,0.024732683,0.017374456,0.036772296,0.008532699,0.12830609,0.06273664,-0.0026087002,-0.032166854,-0.13917248,-0.02390201,0.11220792,0.055510767,-0.101923734,-0.024875801,0.0362181,0.09744626,-0.017449817,0.006673718,-0.013776788,-0.022086423,0.0415197,0.11864875
-0.03527997,0.05414746,0.008884629,0.021683222,-0.039636075,-0.10846992,0.015277453,0.013949368,0.04372061,0.052918438,0.024654381,0.017381692,0.036785066,0.008748053,0.12800744,0.06272391,-0.0026571122,-0.032709755,-0.13927907,-0.02369928,0.11217463,0.055453997,-0.102253534,-0.024950191,0.03668583,0.097454496,-0.017557485,0.006711269,-0.01346532,-0.02195093,0.041330017,0.118734494
-0.03524757,0.054021087,0.008912874,0.021449061,-0.039585065,-0.108622715,0.0152312815,0.014192956,0.043804713,0.052920632,0.02466648,0.017531045,0.036540687,0.008827854,0.12836501,0.06262163,-0.0025576563,-0.032824084,-0.13924137,-0.023548312,0.112093,0.055461206,-0.10222335,-0.02507355,0.03681532,0.09751218,-0.017632583,0.006759068,-0.013395549,-0.021855626,0.041397374,0.118792094
-0.035353556,0.05380789,0.009023743,0.021039722,-0.03952641,-0.10899365,0.016162548,0.014530923,0.043886468,0.053454638,0.024738617,0.017557822,0.036457922,0.008625528,0.12873802,0.06260996,-0.0025468548,-0.032493383,-0.13926657,-0.023653131,0.11212491,0.05551826,-0.10202609,-0.024940796,0.036501925,0.09749422,-0.017611425,0.0067567527,-0.013589692,-0.021829141,0.04158545,0.118791975
-0.035424598,0.05394505,0.009013606,0.021211352,-0.039559375,-0.10902056,0.01598202,0.014374118,0.04390952,0.053484645,0.0247001,0.017616978,0.036531415,0.008670302,0.12861505,0.06269864,-0.0026086387,-0.03251358,-0.1393561,-0.023642534,0.11220579,0.05553915,-0.102050826,-0.025034226,0.036507823,0.09745893,-0.017531876,0.0067334585,-0.013579854,-0.021821216,0.04156341,0.11882004
-0.035261907,0.054138087,0.008866385,0.021625942,-0.039630666,-0.108563125,0.015280705,0.013967153,0.043736294,0.05286643,0.024686014,0.01742148,0.03677269,0.008774728,0.12811917,0.062719375,-0.0026560002,-0.032774746,-0.13935094,-0.02364011,0.11218616,0.05542303,-0.102233574,-0.024910644,0.03669654,0.097468704,-0.017574802,0.0067392336,-0.01344668,-0.021928836,0.041371733,0.11875454
-0.035665058,0.053937532,0.008919764,0.021426277,-0.03952504,-0.109075174,0.015981443,0.013952352,0.043925337,0.05359424,0.025101146,0.01730236,0.036450572,0.008538976,0.12847668,0.062908664,-0.0028560874,-0.03252726,-0.1393622,-0.023414738,0.112501115,0.05561921,-0.10199688,-0.024840198,0.036362186,0.09738515,-0.017268632,0.006726628,-0.013276185,-0.021693416,0.041363675,0.11872348
-0.03532025,0.053786077,0.0089644585,0.021157619,-0.0394625,-0.10891834,0.01583955,0.014444981,0.0438904,0.053353336,0.024703065,0.01764141,0.036504854,0.008675713,0.12857218,0.06263662,-0.0025318828,-0.032622233,-0.13922356,-0.023616884,0.11207948,0.05550409,-0.10207442,-0.02500932,0.03663672,0.097532086,-0.017673336,0.0067550624,-0.013506451,-0.021818751,0.04153144,0.11879026
-0.03527552,0.054115918,0.008828731,0.021622138,-0.039594524,-0.10862492,0.015488559,0.013934063,0.043710627,0.052922204,0.024729708,0.017403081,0.036880992,0.0087467665,0.12807834,0.06275365,-0.0026544821,-0.032671824,-0.13933066,-0.023693781,0.11218484,0.055384587,-0.10214867,-0.024850875,0.036596578,0.09749011,-0.01757053,0.0067442954,-0.013516401,-0.02201802,0.041386094,0.11869155
-0.035300523,0.053688344,0.009048225,0.020792363,-0.039495364,-0.10916777,0.016165406,0.014742129,0.043965884,0.053409576,0.024767615,0.01767262,0.03626503,0.008659156,0.12909216,0.06252659,-0.002496677,-0.03266316,-0.13934918,-0.02350376,0.112100184,0.055507816,-0.102019355,-0.024908528,0.03658816,0.09752553,-0.017688723,0.0068070134,-0.01351047,-0.021697666,0.041690607,0.11888154
-0.035224773,0.054101337,0.008884011,0.021516217,-0.03964458,-0.10860439,0.01523684,0.014060853,0.043755665,0.05281,0.024700861,0.0174489,0.036665387,0.008795949,0.12829363,0.06266879,-0.0026407284,-0.032857746,-0.1393937,-0.023566566,0.11216742,0.055421952,-0.10226096,-0.024904322,0.036762003,0.097476415,-0.017616939,0.006770255,-0.013402755,-0.021851258,0.041400503,0.11879774
-0.034974698,0.054880373,0.009287214,0.022021579,-0.039904878,-0.10925674,0.015334044,0.012939911,0.045289285,0.054013174,0.024078162,0.018476786,0.036689285,0.007848638,0.12799628,0.062528,-0.002308356,-0.032285042,-0.1387935,-0.025696468,0.112778835,0.056632392,-0.101882935,-0.02584929,0.03693907,0.097885475,-0.017163303,0.0065921545,-0.01441336,-0.02366999,0.043004353,0.11835207
-0.03604372,0.053838983,0.0084629785,0.022345645,-0.03929992,-0.10866706,0.015351418,0.012610208,0.043728195,0.05347468,0.026026107,0.016485695,0.03662642,0.008274631,0.12739691,0.06345618,-0.0033884854,-0.032587998,-0.13901258,-0.023020837,0.11291611,0.0556937,-0.101993054,-0.02446197,0.03630033,0.09735681,-0.01690739,0.0067321714,-0.012497799,-0.021591801,0.040572904,0.11825299
