Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1_time,open2_time,open3,open4,short1_time,short2_time,short3,short4,OPEN,SHORT
0,0,1.1296316570575302,404.31485,0.7375151,42.81199,0,0,0,0,0,0,0,0,0,0
1,1,1.12964,397.81406,-0.16276789,83.695816,0,0,0,0,0,0,0,0,0,0
2,2,1.12966,402.5666,0.57812226,29.53362,0,0,0,0,0,0,0,0,0,0
3,3,1.12968,400.79105,1.5049199,4.4042854,0,0,0,0,0,0,0,0,0,0
4,4,1.1297,402.754,-0.107664704,-24.381115,0,0,0,0,0,0,0,0,0,0
5,5,1.12972,400.0419,5.079033,48.827606,0,0,0,0,0,0,0,0,0,0
6,6,1.12974,397.10306,3.3895278,52.424103,0,0,0,0,0,0,0,0,0,0
7,7,1.12976,396.75723,-1.8415506,20.36753,0,0,0,0,0,0,0,0,0,0
8,8,1.12978,402.17148,3.155826,31.455795,0,0,0,0,0,0,0,0,0,0
9,9,1.1298,398.01837,2.9812424,15.372215,0,0,0,0,0,0,0,0,0,0
10,10,1.12982,402.49966,2.3639731,21.538498,0,0,0,0,0,0,0,0,0,0
11,11,1.12984,397.64816,-3.4429445,-97.980194,0,0,0,0,0,0,0,0,0,0
12,12,1.12986,398.6207,-0.7392546,38.929085,0,0,0,0,0,0,0,0,0,0
13,13,1.12988,400.47055,-0.21953985,-12.074696,0,0,0,0,0,0,0,0,0,0
14,14,1.1299,401.85364,2.4418635,78.70097,0,0,0,0,0,0,0,0,0,0
15,15,1.12992,399.76553,-1.02687,-61.052032,0,0,0,0,0,0,0,0,0,0
16,16,1.12994,400.8323,1.2530059,12.00167,0,0,0,0,0,0,0,0,0,0
17,17,1.12996,401.0879,0.4407552,-14.002804,0,0,0,0,0,0,0,0,0,0
18,18,1.12998,401.19495,1.8392957,-2.6362345,0,0,0,0,0,0,0,0,0,0
19,19,1.13,398.3521,-0.43714166,-40.707203,0,0,0,0,0,0,0,0,0,0
20,20,1.13002,400.26657,-0.44974962,-40.74112,0,0,0,0,0,0,0,0,0,0
21,21,1.13004,399.84195,-2.0280976,81.73282,0,0,0,0,0,0,0,0,0,0
22,22,1.1300599999999998,398.44324,1.7823979,36.082138,0,0,0,0,0,0,0,0,0,0
23,23,1.13008,398.76715,0.36404803,51.89683,0,0,0,0,0,0,0,0,0,0
24,24,1.1301,400.4587,1.1151669,-49.09792,0,0,0,0,0,0,0,0,0,0
25,25,1.13012,399.79584,-2.53645,-9.177081,0,0,0,0,0,0,0,0,0,0
26,26,1.13014,397.92975,-2.3460085,68.15024,0,0,0,0,0,0,0,0,0,0
27,27,1.13016,397.26245,-2.6678326,-18.000565,0,0,0,0,0,0,0,0,0,0
28,28,1.13018,397.7673,-0.4449125,-23.810528,0,0,0,0,0,0,0,0,0,0
29,29,1.1302,399.21384,2.7580817,-28.585554,0,0,0,0,0,0,0,0,0,0
30,30,1.13022,395.77747,-4.6367683,7.1461773,0,0,0,0,0,0,0,0,0,0
