Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1_time,open2_time,open3,open4,short1_time,short2_time,short3,short4,OPEN,SHORT
0,0,1.101216059225723,392.0457,2.9076443,91.196014,0,0,0,0,0,0,0,0,0,0
1,1,1.10122,389.96857,3.786232,96.70148,0,0,0,0,0,0,0,0,0,0
2,2,1.10124,392.38797,5.460694,94.3114,0,0,0,0,0,0,0,0,0,0
3,3,1.10126,392.34122,4.194175,114.93521,0,0,0,0,0,0,0,0,0,0
4,4,1.10128,391.95267,4.949958,130.61316,0,0,0,0,0,0,0,0,0,0
5,5,1.1013,392.1311,4.2280455,112.33705,0,0,0,0,0,0,0,0,0,0
6,6,1.10132,390.69385,4.284454,138.71104,0,0,0,0,0,0,0,0,0,0
7,7,1.10134,388.97305,5.9039116,146.12251,0,0,0,0,0,0,0,0,0,0
8,8,1.10136,390.50995,7.1766534,107.79761,0,0,0,0,0,0,0,0,0,0
9,9,1.10138,389.9452,5.805194,111.08934,0,0,0,0,0,0,0,0,0,0
10,10,1.1014,389.72736,6.1315064,190.29437,0,0,0,0,0,0,0,0,0,0
11,11,1.1014199999999998,390.08746,6.502494,160.4165,0,0,0,0,0,0,0,0,0,0
12,12,1.10144,389.55014,5.0607595,153.5364,0,0,0,0,0,0,0,0,0,0
13,13,1.10146,391.374,5.502527,136.97383,0,0,0,0,0,0,0,0,0,0
14,14,1.10148,391.33636,5.3488264,141.5434,0,0,0,0,0,0,0,0,0,0
15,15,1.1015,391.75256,6.941087,120.817764,0,0,0,0,0,0,0,0,0,0
16,16,1.10152,388.30795,5.8605638,134.08609,0,0,0,0,0,0,0,0,0,0
17,17,1.10154,391.5381,5.124395,118.262024,0,0,0,0,0,0,0,0,0,0
18,18,1.10156,388.84988,6.9678063,168.39339,0,0,0,0,0,0,0,0,0,0
19,19,1.10158,387.903,8.551956,120.02603,0,0,0,0,0,0,0,0,0,0
20,20,1.1016,388.34558,7.808362,182.23538,0,0,0,0,0,0,0,0,0,0
21,21,1.10162,390.93866,5.9009123,133.74718,0,0,0,0,0,0,0,0,0,0
22,22,1.10164,389.56323,6.298543,146.7787,0,0,0,0,0,0,0,0,0,0
23,23,1.10166,388.66595,6.4184175,173.4117,0,0,0,0,0,0,0,0,0,0
24,24,1.10168,387.36508,5.2493973,159.2468,0,0,0,0,0,0,0,0,0,0
25,25,1.1017,387.1907,4.7898893,152.57922,0,0,0,0,0,0,0,0,0,0
26,26,1.10172,389.00754,6.030432,142.34372,0,0,0,0,0,0,0,0,0,0
27,27,1.10174,388.92365,7.6262264,140.71011,0,0,0,0,0,0,0,0,0,0
28,28,1.10176,387.11472,5.3812675,165.32976,0,0,0,0,0,0,0,0,0,0
29,29,1.10178,387.7482,5.902085,181.21402,0,0,0,0,0,0,0,0,0,0
30,30,1.1018,389.33588,6.6605673,130.7828,0,0,0,0,0,0,0,0,0,0
31,31,1.10182,387.73962,7.756584,180.82588,0,0,0,0,0,0,0,0,0,0
32,32,1.10184,387.49326,6.501097,206.44055,0,0,0,0,0,0,0,0,0,0
33,33,1.1018599999999998,387.42892,9.020177,147.15114,0,0,0,0,0,0,0,0,0,0
34,34,1.10188,389.13104,7.6551404,181.70732,0,0,0,0,0,0,0,0,0,0
35,35,1.1019,387.09442,7.7069106,182.75182,0,0,0,0,0,0,0,0,0,0
36,36,1.10192,388.7904,6.7854414,165.89384,0,0,0,0,0,0,0,0,0,0
37,37,1.10194,386.23828,7.1083846,166.09868,0,0,0,0,0,0,0,0,0,0
38,38,1.10196,388.46332,6.955408,139.16138,0,0,0,0,0,0,0,0,0,0
39,39,1.10198,387.29694,6.6245356,170.0236,0,0,0,0,0,0,0,0,0,0
40,40,1.102,386.52505,4.995146,222.28581,0,0,0,0,0,0,0,0,0,0
41,41,1.10202,389.10504,8.746806,155.83508,0,0,0,0,0,0,0,0,0,0
42,42,1.10204,385.25385,6.9680724,165.39874,0,0,0,0,0,0,0,0,0,0
43,43,1.10206,386.62897,7.5180926,196.19073,0,0,0,0,0,0,0,0,0,0
44,44,1.10208,387.60342,7.8336983,193.91824,0,0,0,0,0,0,0,0,0,0
45,45,1.1021,388.98712,5.473193,166.61385,0,0,0,0,0,0,0,0,0,0
46,46,1.10212,388.13113,6.9825554,222.04716,0,0,0,0,0,0,0,0,0,0
47,47,1.10214,387.91602,7.210758,225.6311,0,0,0,0,0,0,0,0,0,0
48,48,1.10216,387.59015,8.114028,194.58794,0,0,0,0,0,0,0,0,0,0
49,49,1.10218,387.36438,9.3971405,187.74197,0,0,0,0,0,0,0,0,0,0
50,50,1.1021999999999998,388.9152,8.879743,202.08072,0,0,0,0,0,0,0,0,0,0
51,51,1.10222,387.01,7.2006283,166.94255,0,0,0,0,0,0,0,0,0,0
52,52,1.10224,388.48874,7.55342,208.9925,0,0,0,0,0,0,0,0,0,0
53,53,1.10226,389.3665,8.144487,206.98232,0,0,0,0,0,0,0,0,0,0
54,54,1.10228,385.16306,9.147786,178.0413,0,0,0,0,0,0,0,0,0,0
55,55,1.1023,387.70676,7.451458,179.02504,0,0,0,0,0,0,0,0,0,0
56,56,1.10232,387.47662,7.861387,224.08942,0,0,0,0,0,0,0,0,0,0
57,57,1.10234,388.6956,6.743198,258.7745,0,0,0,0,0,0,0,0,0,0
58,58,1.10236,388.05444,9.492547,228.10263,0,0,0,0,0,0,0,0,0,0
59,59,1.10238,389.97592,9.064264,214.65219,0,0,0,0,0,0,0,0,0,0
60,60,1.1024,386.42538,10.046807,163.20372,0,0,0,0,0,0,0,0,0,0
61,61,1.10242,388.40845,8.942144,173.06879,0,0,0,0,0,0,0,0,0,0
62,62,1.10244,387.27634,10.400054,188.30898,0,0,0,0,0,0,0,0,0,0
63,63,1.10246,390.62943,10.095935,257.35056,0,0,0,0,0,0,0,0,0,0
64,64,1.10248,389.1797,9.7682,220.87784,0,0,0,0,0,0,0,0,0,0
65,65,1.1025,388.33923,10.243275,239.73166,0,0,0,0,0,0,0,0,0,0
66,66,1.10252,387.51297,8.911796,261.04828,0,0,0,0,0,0,0,0,0,0
