Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1_time,open2_time,open3,open4,short1_time,short2_time,short3,short4,OPEN,SHORT
0,0,1.189349577995921,404.37668,2.9675345,52.29892,0,0,0,0,0,0,0,0,0,0
1,1,1.18936,404.68604,3.1156762,63.95969,0,0,0,0,0,0,0,0,0,0
2,2,1.18938,403.2924,0.85882473,70.09591,0,0,0,0,0,0,0,0,0,0
3,3,1.1894,403.67297,0.976787,40.60817,0,0,0,0,0,0,0,0,0,0
4,4,1.18942,402.67432,1.3243546,52.026035,0,0,0,0,0,0,0,0,0,0
5,5,1.18944,403.77408,0.6534432,60.352337,0,0,0,0,0,0,0,0,0,0
6,6,1.18946,403.40225,1.0387075,18.148277,0,0,0,0,0,0,0,0,0,0
7,7,1.18948,402.0661,3.0054288,62.248486,0,0,0,0,0,0,0,0,0,0
8,8,1.1895,403.56973,0.68568563,70.313225,0,0,0,0,0,0,0,0,0,0
9,9,1.18952,401.7803,2.13518,86.560745,0,0,0,0,0,0,0,0,0,0
10,10,1.18954,402.43097,1.2189122,28.66223,0,0,0,0,0,0,0,0,0,0
11,11,1.18956,402.96887,1.5131477,9.45528,0,0,0,0,0,0,0,0,0,0
12,12,1.18958,401.57956,0.6247126,40.848736,0,0,0,0,0,0,0,0,0,0
13,13,1.1896,401.56766,0.8603778,39.663197,0,0,0,0,0,0,0,0,0,0
14,14,1.18962,402.5685,3.1796584,28.61013,0,0,0,0,0,0,0,0,0,0
15,15,1.18964,401.1661,2.447977,21.697313,0,0,0,0,0,0,0,0,0,0
16,16,1.18966,402.6431,1.5944893,20.832886,0,0,0,0,0,0,0,0,0,0
17,17,1.1896799999999998,401.67664,0.8226821,24.824392,0,0,0,0,0,0,0,0,0,0
18,18,1.1897,400.81372,0.7340699,-6.481186,0,0,0,0,0,0,0,0,0,0
19,19,1.18972,401.29715,1.4940544,54.23873,0,0,0,0,0,0,0,0,0,0
20,20,1.18974,401.05438,1.6483648,29.354956,0,0,0,0,0,0,0,0,0,0
21,21,1.18976,401.19724,1.0622376,42.697155,0,0,0,0,0,0,0,0,0,0
22,22,1.1897799999999998,401.1997,0.63039553,-2.1116638,0,0,0,0,0,0,0,0,0,0
23,23,1.1898,401.61227,1.5228894,19.904013,0,0,0,0,0,0,0,0,0,0
24,24,1.18982,401.61392,0.38223124,45.24964,0,0,0,0,0,0,0,0,0,0
25,25,1.18984,401.20566,1.3751668,22.510727,0,0,0,0,0,0,0,0,0,0
26,26,1.18986,399.8107,1.6057593,-31.207207,0,0,0,0,0,0,0,0,0,0
27,27,1.18988,400.80194,0.26732188,11.913402,0,0,0,0,0,0,0,0,0,0
