Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1_time,open2_time,open3,open4,short1_time,short2_time,short3,short4,OPEN,SHORT
0,0,1.1541944771911892,396.26398,-10.675073,-339.39865,0,0,0,0,0,0,0,0,0,0
1,1,1.1542,393.79498,-12.2202635,-322.01837,0,0,0,0,0,0,0,0,0,0
2,2,1.15422,396.01935,-12.269415,-236.2804,0,0,0,0,0,0,0,0,0,0
3,3,1.15424,396.70602,-12.75948,-293.09372,0,0,0,0,0,0,0,0,0,0
4,4,1.1542599999999998,395.63324,-9.436861,-228.74838,0,0,0,0,0,0,0,0,0,0
5,5,1.15428,395.10455,-12.776793,-289.50958,0,0,0,0,0,0,0,0,0,0
6,6,1.1543,397.38092,-13.3052435,-383.10297,0,0,0,0,0,0,0,0,0,0
7,7,1.15432,397.66348,-13.172686,-271.26566,0,0,0,0,0,0,0,0,0,0
8,8,1.15434,393.66022,-12.07443,-307.84808,0,0,0,0,0,0,0,0,0,0
9,9,1.15436,392.90594,-11.823208,-323.12402,0,0,0,0,0,0,0,0,0,0
10,10,1.15438,394.12088,-12.562314,-266.84198,0,0,0,0,0,0,0,0,0,0
11,11,1.1544,397.18417,-15.386436,-345.3107,0,0,0,0,0,0,0,0,0,0
12,12,1.15442,398.0614,-12.255204,-249.14157,0,0,0,0,0,0,0,0,0,0
13,13,1.15444,398.76318,-13.133335,-257.62103,0,0,0,0,0,0,0,0,0,0
14,14,1.15446,398.58234,-11.815526,-195.52213,0,0,0,0,0,0,0,0,0,0
15,15,1.15448,395.59836,-9.157093,-261.02386,0,0,0,0,0,0,0,0,0,0
16,16,1.1545,397.36578,-11.449743,-334.07593,0,0,0,0,0,0,0,0,0,0
17,17,1.15452,396.06857,-12.13612,-303.7469,0,0,0,0,0,0,0,0,0,0
18,18,1.15454,395.22705,-14.047629,-267.91656,0,0,0,0,0,0,0,0,0,0
19,19,1.15456,400.7208,-12.567117,-247.18607,0,0,0,0,0,0,0,0,0,0
20,20,1.15458,396.84256,-13.590271,-298.71893,0,0,0,0,0,0,0,0,0,0
21,21,1.1545999999999998,398.30527,-11.10165,-236.30826,0,0,0,0,0,0,0,0,0,0
22,22,1.15462,397.90625,-15.082013,-324.23392,0,0,0,0,0,0,0,0,0,0
23,23,1.15464,397.17038,-12.422025,-348.97443,0,0,0,0,0,0,0,0,0,0
