Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1_time,open2_time,open3,open4,short1_time,short2_time,short3,short4,OPEN,SHORT
0,0,1.1525578322134633,388.70523,-8.442169,-213.1566,0,0,0,0,0,0,0,0,0,0
1,1,1.15256,388.3389,-8.795045,-250.66273,0,0,0,0,0,0,0,0,0,0
2,2,1.15258,387.56488,-8.858054,-227.01839,0,0,0,0,0,0,0,0,0,0
3,3,1.1525999999999998,387.47098,-9.999705,-152.67892,0,0,0,0,0,0,0,0,0,0
4,4,1.15262,388.09253,-10.840495,-197.36317,0,0,0,0,0,0,0,0,0,0
5,5,1.15264,389.5709,-9.91512,-241.15005,0,0,0,0,0,0,0,0,0,0
6,6,1.15266,386.7128,-10.218872,-230.57715,0,0,0,0,0,0,0,0,0,0
7,7,1.15268,387.43152,-7.9320555,-180.85583,0,0,0,0,0,0,0,0,0,0
8,8,1.1527,387.20148,-8.20259,-194.91779,0,0,0,0,0,0,0,0,0,0
9,9,1.15272,389.90027,-10.385084,-218.67348,0,0,0,0,0,0,0,0,0,0
10,10,1.15274,388.31497,-10.334377,-283.4967,0,0,0,0,0,0,0,0,0,0
11,11,1.15276,389.7574,-11.115473,-215.0334,0,0,0,0,0,0,0,0,0,0
12,12,1.15278,388.25012,-9.889831,-260.79166,0,0,0,0,0,0,0,0,0,0
13,13,1.1528,389.23236,-10.952434,-238.88875,0,0,0,0,0,0,0,0,0,0
14,14,1.15282,388.08572,-10.863281,-269.11942,0,0,0,0,0,0,0,0,0,0
15,15,1.15284,388.02277,-10.220444,-232.02591,0,0,0,0,0,0,0,0,0,0
16,16,1.15286,387.0665,-9.090599,-260.7995,0,0,0,0,0,0,0,0,0,0
17,17,1.15288,389.0406,-10.799997,-283.01172,0,0,0,0,0,0,0,0,0,0
18,18,1.1529,388.16666,-11.090779,-256.8867,0,0,0,0,0,0,0,0,0,0
19,19,1.15292,387.50577,-10.045279,-216.09003,0,0,0,0,0,0,0,0,0,0
20,20,1.15294,388.7609,-9.845316,-281.34863,0,0,0,0,0,0,0,0,0,0
21,21,1.15296,387.62912,-10.711235,-223.28322,0,0,0,0,0,0,0,0,0,0
22,22,1.15298,388.58658,-11.048867,-251.8272,0,0,0,0,0,0,0,0,0,0
23,23,1.153,388.09406,-10.351042,-223.29553,0,0,0,0,0,0,0,0,0,0
24,24,1.15302,387.63467,-10.075194,-245.67732,0,0,0,0,0,0,0,0,0,0
25,25,1.1530399999999998,388.40323,-10.9279375,-223.41592,0,0,0,0,0,0,0,0,0,0
26,26,1.15306,389.66135,-9.309991,-258.29904,0,0,0,0,0,0,0,0,0,0
27,27,1.15308,387.715,-9.599333,-245.66673,0,0,0,0,0,0,0,0,0,0
28,28,1.1531,388.38602,-12.730874,-241.967,0,0,0,0,0,0,0,0,0,0
29,29,1.15312,388.00894,-10.90279,-266.1518,0,0,0,0,0,0,0,0,0,0
30,30,1.15314,389.5255,-9.249237,-257.8611,0,0,0,0,0,0,0,0,0,0
31,31,1.15316,388.7331,-10.615497,-286.93823,0,0,0,0,0,0,0,0,0,0
32,32,1.15318,388.23297,-9.4751215,-251.62079,0,0,0,0,0,0,0,0,0,0
33,33,1.1532,389.15237,-11.191373,-316.04416,0,0,0,0,0,0,0,0,0,0
34,34,1.15322,391.42755,-12.55674,-291.7986,0,0,0,0,0,0,0,0,0,0
35,35,1.15324,389.08136,-11.506221,-297.4521,0,0,0,0,0,0,0,0,0,0
36,36,1.15326,386.44238,-12.195375,-201.87003,0,0,0,0,0,0,0,0,0,0
37,37,1.15328,390.06955,-10.255352,-315.8087,0,0,0,0,0,0,0,0,0,0
38,38,1.1533,390.276,-13.774105,-262.8941,0,0,0,0,0,0,0,0,0,0
39,39,1.15332,387.42313,-10.631159,-249.69226,0,0,0,0,0,0,0,0,0,0
40,40,1.15334,390.12506,-10.294552,-273.63116,0,0,0,0,0,0,0,0,0,0
41,41,1.15336,389.4203,-10.878246,-315.63065,0,0,0,0,0,0,0,0,0,0
42,42,1.1533799999999998,387.97537,-9.481568,-277.7492,0,0,0,0,0,0,0,0,0,0
43,43,1.1534,390.1033,-13.089367,-337.93472,0,0,0,0,0,0,0,0,0,0
44,44,1.15342,390.95355,-9.177452,-233.77477,0,0,0,0,0,0,0,0,0,0
45,45,1.15344,389.63214,-10.298461,-236.28725,0,0,0,0,0,0,0,0,0,0
46,46,1.15346,390.78232,-11.092281,-217.54222,0,0,0,0,0,0,0,0,0,0
47,47,1.1534799999999998,389.37762,-12.228029,-301.64847,0,0,0,0,0,0,0,0,0,0
48,48,1.1535,392.0309,-10.776517,-235.14308,0,0,0,0,0,0,0,0,0,0
49,49,1.15352,389.47922,-10.524786,-281.81827,0,0,0,0,0,0,0,0,0,0
50,50,1.15354,390.27484,-10.23492,-256.36102,0,0,0,0,0,0,0,0,0,0
51,51,1.15356,390.15213,-12.831914,-266.68985,0,0,0,0,0,0,0,0,0,0
52,52,1.15358,389.87497,-11.491968,-321.1618,0,0,0,0,0,0,0,0,0,0
53,53,1.1536,391.31763,-10.9046135,-309.15576,0,0,0,0,0,0,0,0,0,0
54,54,1.15362,390.27408,-11.377548,-298.32678,0,0,0,0,0,0,0,0,0,0
55,55,1.15364,389.83875,-12.6945305,-260.48087,0,0,0,0,0,0,0,0,0,0
56,56,1.15366,392.2491,-9.883211,-339.04822,0,0,0,0,0,0,0,0,0,0
57,57,1.15368,390.89496,-11.235115,-264.26645,0,0,0,0,0,0,0,0,0,0
58,58,1.1537,391.17038,-11.371004,-297.47318,0,0,0,0,0,0,0,0,0,0
59,59,1.15372,390.07144,-13.038886,-314.17233,0,0,0,0,0,0,0,0,0,0
