Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1_time,open2_time,open3,open4,short1_time,short2_time,short3,short4,OPEN,SHORT
0,0,1.1352323928530033,401.90756,-10.917246,-293.3815,0,0,0,0,0,0,0,0,0,0
1,1,1.13524,403.113,-13.308466,-311.31906,0,0,0,0,0,0,0,0,0,0
2,2,1.13526,402.38226,-14.424763,-345.50638,0,0,0,0,0,0,0,0,0,0
3,3,1.1352799999999998,402.5499,-12.271268,-299.35812,0,0,0,0,0,0,0,0,0,0
4,4,1.1353,401.18533,-13.093983,-286.13568,0,0,0,0,0,0,0,0,0,0
5,5,1.13532,403.57208,-11.593618,-311.0202,0,0,0,0,0,0,0,0,0,0
6,6,1.13534,403.69714,-14.105213,-305.70605,0,0,0,0,0,0,0,0,0,0
7,7,1.13536,403.39194,-11.776205,-342.58508,0,0,0,0,0,0,0,0,0,0
8,8,1.13538,403.17252,-13.4615135,-321.36066,0,0,0,0,0,0,0,0,0,0
9,9,1.1354,403.6096,-10.409227,-306.9901,0,0,0,0,0,0,0,0,0,0
10,10,1.13542,404.95853,-13.899308,-288.12692,0,0,0,0,0,0,0,0,0,0
11,11,1.13544,405.2006,-11.816825,-288.57947,0,0,0,0,0,0,0,0,0,0
12,12,1.13546,401.98572,-13.728391,-306.52133,0,0,0,0,0,0,0,0,0,0
13,13,1.13548,403.36932,-12.481237,-331.8766,0,0,0,0,0,0,0,0,0,0
14,14,1.1355,402.6394,-11.877222,-311.1403,0,0,0,0,0,0,0,0,0,0
15,15,1.13552,402.157,-14.07273,-316.21964,0,0,0,0,0,0,0,0,0,0
16,16,1.13554,405.28928,-12.710332,-306.28546,0,0,0,0,0,0,0,0,0,0
17,17,1.13556,405.51218,-12.196638,-290.3294,0,0,0,0,0,0,0,0,0,0
18,18,1.13558,405.1929,-12.414477,-373.85712,0,0,0,0,0,0,0,0,0,0
19,19,1.1356,403.6237,-12.0768,-284.7239,0,0,0,0,0,0,0,0,0,0
20,20,1.13562,404.62134,-11.535792,-296.8613,0,0,0,0,0,0,0,0,0,0
21,21,1.13564,404.22037,-12.318086,-281.55753,0,0,0,0,0,0,0,0,0,0
22,22,1.13566,404.78772,-12.142285,-293.3765,0,0,0,0,0,0,0,0,0,0
23,23,1.13568,406.0846,-13.297002,-329.44592,0,0,0,0,0,0,0,0,0,0
24,24,1.1357,405.27457,-11.6156025,-295.79388,0,0,0,0,0,0,0,0,0,0
25,25,1.1357199999999998,405.04324,-11.765685,-277.7037,0,0,0,0,0,0,0,0,0,0
26,26,1.13574,406.1304,-13.589885,-319.56192,0,0,0,0,0,0,0,0,0,0
27,27,1.13576,405.8359,-13.332862,-295.77628,0,0,0,0,0,0,0,0,0,0
28,28,1.13578,405.31088,-12.158341,-324.51816,0,0,0,0,0,0,0,0,0,0
29,29,1.1358,407.0995,-11.651237,-297.91187,0,0,0,0,0,0,0,0,0,0
30,30,1.13582,406.67368,-12.872071,-280.87372,0,0,0,0,0,0,0,0,0,0
31,31,1.13584,406.38803,-11.399875,-331.62802,0,0,0,0,0,0,0,0,0,0
32,32,1.13586,407.16006,-11.746436,-314.4626,0,0,0,0,0,0,0,0,0,0
33,33,1.13588,406.29147,-11.397254,-314.8432,0,0,0,0,0,0,0,0,0,0
34,34,1.1359,405.45947,-11.327458,-248.62372,0,0,0,0,0,0,0,0,0,0
35,35,1.13592,405.9852,-12.758606,-289.67902,0,0,0,0,0,0,0,0,0,0
36,36,1.13594,407.4826,-11.173122,-273.7413,0,0,0,0,0,0,0,0,0,0
37,37,1.13596,406.3022,-11.88817,-292.7059,0,0,0,0,0,0,0,0,0,0
38,38,1.13598,407.01126,-11.368527,-320.98782,0,0,0,0,0,0,0,0,0,0
39,39,1.136,407.86462,-12.479098,-323.66626,0,0,0,0,0,0,0,0,0,0
40,40,1.13602,408.624,-12.958048,-285.28793,0,0,0,0,0,0,0,0,0,0
41,41,1.13604,407.93146,-13.48464,-345.1571,0,0,0,0,0,0,0,0,0,0
42,42,1.1360599999999998,408.31937,-12.434062,-303.14987,0,0,0,0,0,0,0,0,0,0
43,43,1.13608,408.5983,-11.138772,-348.4532,0,0,0,0,0,0,0,0,0,0
44,44,1.1361,407.34192,-12.548972,-251.85164,0,0,0,0,0,0,0,0,0,0
45,45,1.13612,407.93906,-11.152283,-287.25726,0,0,0,0,0,0,0,0,0,0
46,46,1.13614,406.98145,-11.1917305,-301.8178,0,0,0,0,0,0,0,0,0,0
47,47,1.13616,407.24487,-12.422923,-314.75955,0,0,0,0,0,0,0,0,0,0
48,48,1.13618,409.06378,-10.915668,-256.80725,0,0,0,0,0,0,0,0,0,0
49,49,1.1362,408.24503,-13.8000145,-281.3871,0,0,0,0,0,0,0,0,0,0
50,50,1.13622,408.3283,-11.908531,-292.95587,0,0,0,0,0,0,0,0,0,0
51,51,1.13624,408.93817,-11.679294,-314.08252,0,0,0,0,0,0,0,0,0,0
52,52,1.13626,409.41483,-12.409083,-309.14258,0,0,0,0,0,0,0,0,0,0
53,53,1.13628,410.53323,-12.466764,-255.23311,0,0,0,0,0,0,0,0,0,0
54,54,1.1363,409.02216,-11.549252,-274.74112,0,0,0,0,0,0,0,0,0,0
55,55,1.13632,409.6191,-11.3772,-295.49365,0,0,0,0,0,0,0,0,0,0
