Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1_time,open2_time,open3,open4,short1_time,short2_time,short3,short4,OPEN,SHORT
0,0,1.1534706706341922,390.33606,-9.414552,-311.01068,0,0,0,0,0,0,0,0,0,0
1,1,1.1534799999999998,391.10953,-11.116863,-280.88626,0,0,0,0,0,0,0,0,0,0
2,2,1.1535,390.9057,-12.295691,-232.47115,0,0,0,0,0,0,0,0,0,0
3,3,1.15352,390.218,-10.435749,-277.1755,0,0,0,0,0,0,0,0,0,0
4,4,1.15354,390.5176,-12.54886,-286.14142,0,0,0,0,0,0,0,0,0,0
5,5,1.15356,390.7937,-10.402093,-250.4753,0,0,0,0,0,0,0,0,0,0
6,6,1.15358,391.9087,-12.169125,-289.77063,0,0,0,0,0,0,0,0,0,0
7,7,1.1536,391.64926,-11.330729,-311.0229,0,0,0,0,0,0,0,0,0,0
8,8,1.15362,390.46274,-11.544455,-288.65564,0,0,0,0,0,0,0,0,0,0
9,9,1.15364,392.98215,-12.38433,-282.23917,0,0,0,0,0,0,0,0,0,0
10,10,1.15366,391.28558,-12.591569,-259.6148,0,0,0,0,0,0,0,0,0,0
11,11,1.15368,392.23624,-10.579207,-275.08856,0,0,0,0,0,0,0,0,0,0
12,12,1.1537,392.93228,-11.523672,-308.36966,0,0,0,0,0,0,0,0,0,0
13,13,1.15372,391.6541,-11.977697,-295.07623,0,0,0,0,0,0,0,0,0,0
14,14,1.15374,390.97604,-10.843108,-288.94815,0,0,0,0,0,0,0,0,0,0
15,15,1.15376,392.6813,-12.040005,-311.58145,0,0,0,0,0,0,0,0,0,0
16,16,1.15378,390.40826,-11.647395,-289.36853,0,0,0,0,0,0,0,0,0,0
17,17,1.1538,392.4923,-11.205245,-300.57257,0,0,0,0,0,0,0,0,0,0
18,18,1.1538199999999998,392.24908,-11.766675,-283.9095,0,0,0,0,0,0,0,0,0,0
19,19,1.15384,392.0508,-12.113107,-302.38898,0,0,0,0,0,0,0,0,0,0
20,20,1.15386,393.03186,-12.023235,-292.41443,0,0,0,0,0,0,0,0,0,0
21,21,1.15388,392.5272,-12.836681,-271.4029,0,0,0,0,0,0,0,0,0,0
22,22,1.1539,393.51172,-11.145687,-337.7924,0,0,0,0,0,0,0,0,0,0
23,23,1.15392,393.6104,-11.931006,-304.7349,0,0,0,0,0,0,0,0,0,0
24,24,1.15394,394.37372,-13.067867,-292.7652,0,0,0,0,0,0,0,0,0,0
25,25,1.15396,393.31015,-10.58408,-311.52545,0,0,0,0,0,0,0,0,0,0
26,26,1.15398,393.1246,-12.237347,-275.31604,0,0,0,0,0,0,0,0,0,0
27,27,1.154,393.4099,-11.607798,-299.90112,0,0,0,0,0,0,0,0,0,0
28,28,1.15402,394.44772,-11.555135,-327.43457,0,0,0,0,0,0,0,0,0,0
29,29,1.15404,393.7482,-12.995836,-303.613,0,0,0,0,0,0,0,0,0,0
30,30,1.15406,395.28986,-14.731731,-283.98166,0,0,0,0,0,0,0,0,0,0
31,31,1.15408,394.1279,-11.129527,-316.9164,0,0,0,0,0,0,0,0,0,0
32,32,1.1541,394.21564,-12.098162,-288.0859,0,0,0,0,0,0,0,0,0,0
33,33,1.15412,394.51974,-11.285872,-292.85962,0,0,0,0,0,0,0,0,0,0
34,34,1.15414,394.66675,-12.946757,-283.94318,0,0,0,0,0,0,0,0,0,0
35,35,1.15416,394.658,-12.927633,-267.68124,0,0,0,0,0,0,0,0,0,0
36,36,1.15418,395.3096,-13.85236,-299.5555,0,0,0,0,0,0,0,0,0,0
37,37,1.1542,395.56958,-11.442761,-269.20758,0,0,0,0,0,0,0,0,0,0
38,38,1.15422,393.7809,-13.447667,-271.4096,0,0,0,0,0,0,0,0,0,0
