Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1_time,open2_time,open3,open4,short1_time,short2_time,short3,short4,OPEN,SHORT
0,0,1.1234406864585351,390.36502,12.6926365,312.1304,0,0,0,0,0,0,0,0,0,0
1,1,1.12346,390.00073,13.339302,290.89484,0,0,0,0,0,0,0,0,0,0
2,2,1.12348,390.02182,11.281858,269.67288,0,0,0,0,0,0,0,0,0,0
3,3,1.1235,391.84772,14.023081,314.42502,0,0,0,0,0,0,0,0,0,0
4,4,1.12352,389.8677,11.720514,337.85,0,0,0,0,0,0,0,0,0,0
5,5,1.12354,391.64706,11.194326,287.32623,0,0,0,0,0,0,0,0,0,0
6,6,1.12356,391.26093,11.334893,313.45374,0,0,0,0,0,0,0,0,0,0
7,7,1.12358,390.03265,11.227988,254.7817,0,0,0,0,0,0,0,0,0,0
8,8,1.1236,391.20383,12.225081,259.22327,0,0,0,0,0,0,0,0,0,0
9,9,1.1236199999999998,391.44925,10.160128,333.38736,0,0,0,0,0,0,0,0,0,0
10,10,1.12364,391.44666,9.408071,285.7618,0,0,0,0,0,0,0,0,0,0
11,11,1.12366,389.85822,11.472661,203.32468,0,0,0,0,0,0,0,0,0,0
12,12,1.12368,390.73187,11.920385,309.33658,0,0,0,0,0,0,0,0,0,0
13,13,1.1237,392.3047,12.746191,287.49847,0,0,0,0,0,0,0,0,0,0
14,14,1.12372,390.50748,12.160945,284.065,0,0,0,0,0,0,0,0,0,0
15,15,1.12374,391.66766,12.3659525,284.23428,0,0,0,0,0,0,0,0,0,0
16,16,1.12376,390.8767,12.327819,275.936,0,0,0,0,0,0,0,0,0,0
17,17,1.12378,391.59683,12.276762,284.60773,0,0,0,0,0,0,0,0,0,0
18,18,1.1238,393.0341,11.886798,309.5228,0,0,0,0,0,0,0,0,0,0
19,19,1.12382,392.8372,12.708647,276.20056,0,0,0,0,0,0,0,0,0,0
20,20,1.12384,392.1901,10.811195,289.6995,0,0,0,0,0,0,0,0,0,0
