Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1_time,open2_time,open3,open4,short1_time,short2_time,short3,short4,OPEN,SHORT
0,0,1.1159499237331338,405.55908,-11.557439,-276.84296,0,0,0,0,0,0,0,0,0,0
1,1,1.1159599999999998,408.32983,-9.037531,-362.85602,0,0,0,0,0,0,0,0,0,0
2,2,1.11598,405.3151,-12.34005,-237.13245,0,0,0,0,0,0,0,0,0,0
3,3,1.116,407.01794,-12.539881,-283.43616,0,0,0,0,0,0,0,0,0,0
4,4,1.11602,407.922,-12.691937,-273.2985,0,0,0,0,0,0,0,0,0,0
5,5,1.11604,405.56003,-14.525231,-300.3158,0,0,0,0,0,0,0,0,0,0
6,6,1.11606,406.3338,-11.22778,-355.58972,0,0,0,0,0,0,0,0,0,0
7,7,1.11608,406.69028,-12.809682,-302.76257,0,0,0,0,0,0,0,0,0,0
8,8,1.1161,410.40894,-14.729518,-293.5973,0,0,0,0,0,0,0,0,0,0
9,9,1.11612,408.72745,-11.662787,-293.98434,0,0,0,0,0,0,0,0,0,0
10,10,1.11614,408.3058,-12.847605,-248.2211,0,0,0,0,0,0,0,0,0,0
11,11,1.11616,407.1048,-13.540104,-275.5119,0,0,0,0,0,0,0,0,0,0
12,12,1.11618,407.76474,-11.529587,-268.8077,0,0,0,0,0,0,0,0,0,0
13,13,1.1162,406.82892,-11.952489,-221.8594,0,0,0,0,0,0,0,0,0,0
14,14,1.11622,409.96115,-11.083611,-310.95303,0,0,0,0,0,0,0,0,0,0
15,15,1.11624,409.7936,-13.401216,-318.344,0,0,0,0,0,0,0,0,0,0
16,16,1.11626,407.77115,-11.577883,-336.10034,0,0,0,0,0,0,0,0,0,0
17,17,1.11628,410.16486,-13.168716,-225.35452,0,0,0,0,0,0,0,0,0,0
18,18,1.1162999999999998,407.9102,-8.942165,-311.26263,0,0,0,0,0,0,0,0,0,0
19,19,1.11632,408.18546,-12.666006,-270.15576,0,0,0,0,0,0,0,0,0,0
20,20,1.11634,408.80807,-12.929514,-202.59424,0,0,0,0,0,0,0,0,0,0
21,21,1.11636,412.4224,-12.462894,-197.81549,0,0,0,0,0,0,0,0,0,0
22,22,1.11638,409.06927,-13.004107,-275.05853,0,0,0,0,0,0,0,0,0,0
23,23,1.1164,406.66092,-10.478903,-289.0888,0,0,0,0,0,0,0,0,0,0
24,24,1.11642,408.53076,-9.974317,-319.16348,0,0,0,0,0,0,0,0,0,0
25,25,1.11644,408.54086,-10.869288,-353.00867,0,0,0,0,0,0,0,0,0,0
26,26,1.11646,410.21887,-11.675835,-264.5123,0,0,0,0,0,0,0,0,0,0
27,27,1.11648,412.23468,-11.822281,-280.14597,0,0,0,0,0,0,0,0,0,0
28,28,1.1165,410.96902,-10.528084,-273.87537,0,0,0,0,0,0,0,0,0,0
29,29,1.11652,411.3592,-9.518407,-249.32219,0,0,0,0,0,0,0,0,0,0
30,30,1.11654,409.20557,-13.698347,-240.66588,0,0,0,0,0,0,0,0,0,0
31,31,1.11656,408.90256,-12.426584,-278.18362,0,0,0,0,0,0,0,0,0,0
32,32,1.11658,409.61707,-10.577778,-333.44562,0,0,0,0,0,0,0,0,0,0
33,33,1.1166,409.87332,-8.100889,-280.50272,0,0,0,0,0,0,0,0,0,0
34,34,1.11662,411.5306,-9.907121,-271.57532,0,0,0,0,0,0,0,0,0,0
35,35,1.11664,409.09338,-9.00809,-281.0644,0,0,0,0,0,0,0,0,0,0
36,36,1.11666,408.87756,-12.20822,-191.61899,0,0,0,0,0,0,0,0,0,0
37,37,1.11668,409.89474,-9.635323,-319.51068,0,0,0,0,0,0,0,0,0,0
38,38,1.1167,412.31512,-11.87292,-329.62375,0,0,0,0,0,0,0,0,0,0
39,39,1.11672,410.78568,-10.721781,-206.7792,0,0,0,0,0,0,0,0,0,0
40,40,1.1167399999999998,412.03934,-11.052271,-250.67047,0,0,0,0,0,0,0,0,0,0
41,41,1.11676,412.10046,-10.5170145,-207.1067,0,0,0,0,0,0,0,0,0,0
42,42,1.11678,409.0639,-12.488562,-257.92584,0,0,0,0,0,0,0,0,0,0
43,43,1.1168,412.91446,-10.52451,-287.0783,0,0,0,0,0,0,0,0,0,0
44,44,1.11682,412.42136,-12.224464,-259.5743,0,0,0,0,0,0,0,0,0,0
45,45,1.11684,410.427,-9.208552,-299.95605,0,0,0,0,0,0,0,0,0,0
46,46,1.11686,410.31348,-9.571214,-213.96149,0,0,0,0,0,0,0,0,0,0
47,47,1.11688,408.81393,-9.529049,-268.62323,0,0,0,0,0,0,0,0,0,0
48,48,1.1169,409.0425,-9.7799835,-242.18164,0,0,0,0,0,0,0,0,0,0
49,49,1.11692,411.97516,-9.377146,-171.67456,0,0,0,0,0,0,0,0,0,0
50,50,1.11694,410.7915,-10.007814,-287.4049,0,0,0,0,0,0,0,0,0,0
51,51,1.11696,409.59518,-8.3220825,-308.71472,0,0,0,0,0,0,0,0,0,0
52,52,1.11698,413.50302,-9.971123,-263.17285,0,0,0,0,0,0,0,0,0,0
