Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1_time,open2_time,open3,open4,short1_time,short2_time,short3,short4,OPEN,SHORT
0,0,1.158036405443149,411.08322,-6.363758,-188.08012,0,0,0,0,0,0,0,0,0,0
1,1,1.15804,410.12805,-7.9399753,-210.22458,0,0,0,0,0,0,0,0,0,0
2,2,1.15806,411.96658,-7.081293,-153.0001,0,0,0,0,0,0,0,0,0,0
3,3,1.15808,410.78622,-6.100155,-137.47354,0,0,0,0,0,0,0,0,0,0
4,4,1.1581,410.1581,-6.8871546,-215.50987,0,0,0,0,0,0,0,0,0,0
5,5,1.15812,410.93915,-7.8393145,-169.44562,0,0,0,0,0,0,0,0,0,0
6,6,1.15814,410.637,-7.4063673,-185.04523,0,0,0,0,0,0,0,0,0,0
7,7,1.15816,410.4888,-6.408477,-129.95938,0,0,0,0,0,0,0,0,0,0
8,8,1.15818,410.71313,-6.762567,-170.2167,0,0,0,0,0,0,0,0,0,0
9,9,1.1582,409.24774,-7.746191,-169.63733,0,0,0,0,0,0,0,0,0,0
10,10,1.15822,409.85107,-7.4628177,-187.90903,0,0,0,0,0,0,0,0,0,0
11,11,1.15824,410.01974,-5.9249263,-153.60417,0,0,0,0,0,0,0,0,0,0
12,12,1.1582599999999998,410.73242,-6.8701935,-165.633,0,0,0,0,0,0,0,0,0,0
13,13,1.15828,410.02454,-6.925487,-172.85922,0,0,0,0,0,0,0,0,0,0
14,14,1.1583,409.78717,-6.221675,-151.2015,0,0,0,0,0,0,0,0,0,0
15,15,1.15832,409.76486,-5.592339,-149.42334,0,0,0,0,0,0,0,0,0,0
16,16,1.15834,409.4522,-7.624337,-131.18036,0,0,0,0,0,0,0,0,0,0
17,17,1.15836,410.58902,-6.6568885,-146.94565,0,0,0,0,0,0,0,0,0,0
18,18,1.15838,408.92438,-4.4268823,-143.48761,0,0,0,0,0,0,0,0,0,0
19,19,1.1584,409.96838,-4.0877047,-165.80219,0,0,0,0,0,0,0,0,0,0
20,20,1.15842,408.41382,-6.424315,-185.86281,0,0,0,0,0,0,0,0,0,0
21,21,1.15844,409.1867,-6.3437533,-126.52317,0,0,0,0,0,0,0,0,0,0
22,22,1.15846,409.01184,-4.283543,-125.57521,0,0,0,0,0,0,0,0,0,0
23,23,1.15848,407.96155,-6.121641,-141.44412,0,0,0,0,0,0,0,0,0,0
24,24,1.1585,409.29666,-5.1310077,-169.80096,0,0,0,0,0,0,0,0,0,0
25,25,1.15852,409.18985,-5.323818,-136.56096,0,0,0,0,0,0,0,0,0,0
26,26,1.15854,411.1653,-4.3225384,-128.56606,0,0,0,0,0,0,0,0,0,0
27,27,1.15856,409.67197,-6.2505884,-152.23369,0,0,0,0,0,0,0,0,0,0
28,28,1.15858,408.74274,-6.365341,-100.170235,0,0,0,0,0,0,0,0,0,0
29,29,1.1586,408.7744,-3.869647,-127.09736,0,0,0,0,0,0,0,0,0,0
30,30,1.15862,409.1858,-5.007544,-162.9622,0,0,0,0,0,0,0,0,0,0
