Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1_time,open2_time,open3,open4,short1_time,short2_time,short3,short4,OPEN,SHORT
0,0,1.1538435020367073,393.8769,-8.994362,-260.08224,0,0,0,0,0,0,0,0,0,0
1,1,1.15386,391.25912,-11.1097975,-210.85483,0,0,0,0,0,0,0,0,0,0
2,2,1.15388,394.00552,-13.9252205,-304.6958,0,0,0,0,0,0,0,0,0,0
3,3,1.1539,393.7666,-11.006399,-259.66992,0,0,0,0,0,0,0,0,0,0
4,4,1.15392,395.5683,-11.012307,-243.23091,0,0,0,0,0,0,0,0,0,0
5,5,1.15394,393.12134,-15.084583,-252.33936,0,0,0,0,0,0,0,0,0,0
6,6,1.15396,391.69077,-12.378127,-244.03738,0,0,0,0,0,0,0,0,0,0
7,7,1.15398,394.5379,-14.624617,-224.95984,0,0,0,0,0,0,0,0,0,0
8,8,1.154,397.15027,-11.034326,-338.62228,0,0,0,0,0,0,0,0,0,0
9,9,1.15402,393.04358,-11.900003,-266.29083,0,0,0,0,0,0,0,0,0,0
10,10,1.15404,396.55377,-11.8021145,-228.78659,0,0,0,0,0,0,0,0,0,0
11,11,1.15406,393.5469,-13.341536,-344.93973,0,0,0,0,0,0,0,0,0,0
12,12,1.15408,394.49768,-13.867731,-302.14197,0,0,0,0,0,0,0,0,0,0
13,13,1.1541,394.68924,-12.809741,-273.22122,0,0,0,0,0,0,0,0,0,0
14,14,1.15412,393.90112,-12.658117,-267.61307,0,0,0,0,0,0,0,0,0,0
15,15,1.15414,392.59708,-9.11595,-300.37265,0,0,0,0,0,0,0,0,0,0
16,16,1.15416,394.20895,-9.201098,-286.1474,0,0,0,0,0,0,0,0,0,0
17,17,1.15418,394.3219,-14.403175,-301.28568,0,0,0,0,0,0,0,0,0,0
18,18,1.1542,396.66663,-13.329311,-268.07245,0,0,0,0,0,0,0,0,0,0
19,19,1.15422,393.9907,-11.77568,-302.533,0,0,0,0,0,0,0,0,0,0
20,20,1.15424,396.72275,-11.437222,-354.47235,0,0,0,0,0,0,0,0,0,0
21,21,1.1542599999999998,392.86414,-9.424711,-306.2355,0,0,0,0,0,0,0,0,0,0
22,22,1.15428,395.62836,-12.742697,-372.08496,0,0,0,0,0,0,0,0,0,0
23,23,1.1543,396.5599,-13.877484,-344.38498,0,0,0,0,0,0,0,0,0,0
24,24,1.15432,394.01047,-12.344513,-295.79074,0,0,0,0,0,0,0,0,0,0
25,25,1.15434,395.00958,-11.177228,-316.2721,0,0,0,0,0,0,0,0,0,0
26,26,1.15436,396.20236,-14.531952,-255.27223,0,0,0,0,0,0,0,0,0,0
27,27,1.15438,395.93585,-8.729996,-264.34625,0,0,0,0,0,0,0,0,0,0
28,28,1.1544,395.14432,-15.960112,-334.17465,0,0,0,0,0,0,0,0,0,0
29,29,1.15442,398.5338,-11.436996,-345.8927,0,0,0,0,0,0,0,0,0,0
30,30,1.15444,396.33063,-12.593582,-332.35864,0,0,0,0,0,0,0,0,0,0
31,31,1.15446,395.7777,-12.958415,-358.22223,0,0,0,0,0,0,0,0,0,0
32,32,1.15448,397.97876,-12.172464,-320.0083,0,0,0,0,0,0,0,0,0,0
33,33,1.1545,395.72842,-14.559007,-376.17032,0,0,0,0,0,0,0,0,0,0
34,34,1.15452,396.19528,-13.626357,-302.6839,0,0,0,0,0,0,0,0,0,0
