,Unnamed: 0,Time / s,IL:Measured current,Vin:Measured voltage,Vo:Measured voltage,open1,short1,OPEN,SHORT
0,0,0.0,10.616498947143556,247.0319366455078,416.2696533203125,0,0,0,0
1,1,1.9999999494757503e-05,10.955316543579102,245.8386383056641,416.296630859375,0,0,0,0
2,2,3.9999998989515007e-05,10.554801940917969,244.6356658935547,416.3390502929688,0,0,0,0
3,3,5.999999848427251e-05,10.713047027587892,243.42286682128903,416.3663330078125,0,0,0,0
4,4,7.999999797903001e-05,10.680527687072754,242.20048522949216,416.3962707519531,0,0,0,0
5,5,9.999999747378752e-05,10.381928443908691,240.96876525878903,416.430419921875,0,0,0,0
6,6,0.0001199999969685,10.733672142028809,239.7275238037109,416.4478149414063,0,0,0,0
7,7,0.0001399999891873,10.303386688232422,238.47657775878903,416.4817504882813,0,0,0,0
8,8,0.000159999995958,10.494872093200684,237.216552734375,416.4994201660156,0,0,0,0
9,9,0.0001800000027287,10.440207481384276,235.9469757080078,416.52099609375,0,0,0,0
10,10,0.0001999999949475,10.154088973999023,234.6679534912109,416.5458679199218,0,0,0,0
11,11,0.0002199999871663,10.493579864501951,233.3798675537109,416.554931640625,0,0,0,0
12,12,0.000239999993937,10.062528610229492,232.08233642578125,416.5797119140625,0,0,0,0
13,13,0.0002600000007078,10.259040832519531,230.7757110595703,416.58840942382807,0,0,0,0
14,14,0.0002799999783746,10.19973850250244,229.4602203369141,416.60110473632807,0,0,0,0
15,15,0.0002999999851454,9.91362190246582,228.1356658935547,416.616943359375,0,0,0,0
16,16,0.0003199999919161,10.235491752624512,226.80177307128903,416.6175231933594,0,0,0,0
17,17,0.0003399999986868,9.800721168518066,225.45906066894528,416.6329345703125,0,0,0,0
18,18,0.0003600000054575,9.980939865112305,224.10749816894528,416.63284301757807,0,0,0,0
19,19,0.0003799999831244,9.927815437316896,222.74708557128903,416.635986328125,0,0,0,0
20,20,0.0003999999898951,9.621612548828123,221.37794494628903,416.64251708984375,0,0,0,0
21,21,0.0004199999966658,9.962003707885742,220.0,416.6333923339844,0,0,0,0
22,22,0.0004399999743327,9.510058403015137,218.61329650878903,416.6394958496094,0,0,0,0
23,23,0.0004599999811034,9.721702575683594,217.21804809570315,416.6294555664063,0,0,0,0
24,24,0.0004799999878741,9.651737213134766,215.81436157226565,416.62396240234375,0,0,0,0
25,25,0.000499999965541,9.36111545562744,214.40200805664065,416.6208801269531,0,0,0,0
26,26,0.0005200000014156,9.688138008117678,212.9811248779297,416.6030883789063,0,0,0,0
27,27,0.0005399999790824,9.229077339172363,211.55177307128903,416.5999755859375,0,0,0,0
28,28,0.0005599999567493,9.433024406433104,210.1142578125,416.5811767578125,0,0,0,0
29,29,0.0005799999926239,9.346480369567873,208.66831970214844,416.5661926269531,0,0,0,0
30,30,0.0005999999702908,9.065176963806152,207.21421813964844,416.5533142089844,0,0,0,0
31,31,0.0006200000061653,9.384668350219728,205.75196838378903,416.5265502929688,0,0,0,0
32,32,0.0006399999838322,8.940391540527344,204.28152465820315,416.513427734375,0,0,0,0
33,33,0.0006599999614991,9.141269683837889,202.80302429199216,416.48550415039057,0,0,0,0
34,34,0.0006799999973736,9.071788787841797,201.31648254394528,416.4611206054688,0,0,0,0
35,35,0.0006999999750405,8.782295227050781,199.8221893310547,416.4392700195313,0,0,0,0
36,36,0.0007200000109151,9.112489700317385,198.3197021484375,416.4035339355469,0,0,0,0
37,37,0.0007399999885819,8.647815704345703,196.80958557128903,416.3816528320313,0,0,0,0
38,38,0.0007599999662488,8.857871055603027,195.2917022705078,416.3447265625,0,0,0,0
39,39,0.0007800000021234,8.762951850891113,193.76600646972656,416.3118286132813,0,0,0,0
40,40,0.0007999999797903,8.484886169433594,192.2327880859375,416.2808532714844,0,0,0,0
41,41,0.0008199999574571,8.797968864440918,190.69200134277344,416.2376098632813,0,0,0,0
42,42,0.0008399999933317,8.337307929992676,189.1435394287109,416.2068176269531,0,0,0,0
43,43,0.0008599999709986,8.559432983398438,187.58778381347656,416.1617431640625,0,0,0,0
44,44,0.0008799999486654,8.474397659301756,186.0243988037109,416.1204833984375,0,0,0,0
45,45,0.00089999998454,8.212749481201174,184.4537811279297,416.0809631347656,0,0,0,0
46,46,0.0009199999622069,8.512699127197266,182.87594604492188,416.0296020507813,0,0,0,0
47,47,0.0009399999980814,8.061723709106445,181.29071044921875,415.9898376464844,0,0,0,0
48,48,0.0009599999757483,8.266139030456543,179.69834899902344,415.9368591308594,0,0,0,0
49,49,0.0009800000116229,8.18408203125,178.09902954101565,415.8871154785156,0,0,0,0
50,50,0.0009999999310821,7.917959690093993,176.4926300048828,415.83901977539057,0,0,0,0
51,51,0.0010199999669566,8.223490715026854,174.87930297851565,415.779296875,0,0,0,0
52,52,0.0010400000028312,7.7559990882873535,173.25889587402344,415.7312927246094,0,0,0,0
53,53,0.0010599999222904,7.968730926513672,171.63186645507812,415.6697082519531,0,0,0,0
54,54,0.0010799999581649,7.8644280433654785,169.99803161621094,415.61181640625,0,0,0,0
55,55,0.0010999999940395,7.612102508544923,168.357421875,415.55484008789057,0,0,0,0
56,56,0.0011199999134987,7.892898082733153,166.71006774902344,415.4872741699218,0,0,0,0
57,57,0.0011399999493733,7.434313774108887,165.05630493164065,415.4302368164063,0,0,0,0
58,58,0.0011599999852478,7.637674331665038,163.39601135253906,415.3605346679688,0,0,0,0
59,59,0.0011800000211223,7.519736289978027,161.72915649414065,415.2942504882813,0,0,0,0
60,60,0.0011999999405816,7.28205108642578,160.05604553222656,415.2283020019531,0,0,0,0
61,61,0.0012199999764561,7.544018268585205,158.37649536132812,415.152587890625,0,0,0,0
62,62,0.0012400000123307,7.101250171661377,156.69081115722656,415.0867614746094,0,0,0,0
63,63,0.0012599999317899,7.289012432098387,154.99891662597656,415.0091857910156,0,0,0,0
64,64,0.0012799999676644,7.18143606185913,153.30076599121094,414.9344787597656,0,0,0,0
65,65,0.001300000003539,6.937157154083252,151.59666442871094,414.86038208007807,0,0,0,0
66,66,0.0013199999229982,7.193149566650392,149.88662719726565,414.77679443359375,0,0,0,0
67,67,0.0013399999588727,6.738298416137695,148.17051696777344,414.7023315429688,0,0,0,0
68,68,0.0013599999947473,6.930110454559326,146.44871520996094,414.6165161132813,0,0,0,0
69,69,0.0013799999142065,6.801888465881348,144.72109985351565,414.5337524414063,0,0,0,0
70,70,0.0013999999500811,6.583850383758545,142.98776245117188,414.450927734375,0,0,0,0
71,71,0.0014199999859556,6.818753242492676,141.24864196777344,414.359619140625,0,0,0,0
72,72,0.0014400000218302,6.369084835052489,139.5040283203125,414.27685546875,0,0,0,0
73,73,0.0014599999412894,6.552593231201172,137.75393676757812,414.1834106445313,0,0,0,0
74,74,0.0014799999771639,6.419361114501953,135.99851989746094,414.09271240234375,0,0,0,0
75,75,0.0015000000130385,6.220003128051758,134.23768615722656,414.0015869140625,0,0,0,0
76,76,0.0015199999324977,6.433718681335449,132.47132873535156,413.9031372070313,0,0,0,0
77,77,0.0015399999683722,6.008016586303711,130.70005798339844,413.8118896484375,0,0,0,0
78,78,0.0015600000042468,6.175544738769531,128.92337036132812,413.7113037109375,0,0,0,0
79,79,0.001579999923706,6.045644760131836,127.14170837402344,413.6130065917969,0,0,0,0
80,80,0.0015999999595806,5.849542617797852,125.35501861572266,413.5143127441406,0,0,0,0
81,81,0.0016199999954551,6.059079647064209,123.56346893310548,413.4085998535156,0,0,0,0
82,82,0.0016399999149143,5.628546714782715,121.76694488525392,413.3099670410156,0,0,0,0
83,83,0.0016599999507889,5.796172142028809,119.96566772460938,413.2021179199218,0,0,0,0
84,84,0.0016799999866634,5.6598076820373535,118.15955352783205,413.0968017578125,0,0,0,0
85,85,0.0016999999061226,5.482692241668701,116.34876251220705,412.9905700683594,0,0,0,0
86,86,0.0017199999419972,5.6688408851623535,114.53353881835938,412.8786315917969,0,0,0,0
87,87,0.0017399999778717,5.2609710693359375,112.71370697021484,412.7722778320313,0,0,0,0
88,88,0.0017599998973309,5.426755428314209,110.88931274414064,412.6581115722656,0,0,0,0
89,89,0.0017799999332055,5.29467248916626,109.06067657470705,412.5456848144531,0,0,0,0
90,90,0.00179999996908,5.137896060943604,107.22767639160156,412.4329528808594,0,0,0,0
91,91,0.0018200000049546,5.297894477844238,105.3905792236328,412.314697265625,0,0,0,0
92,92,0.0018399999244138,4.911033153533936,103.54917144775392,412.2018127441406,0,0,0,0
93,93,0.0018599999602884,5.056180000305176,101.70365142822266,412.08148193359375,0,0,0,0
94,94,0.0018799999961629,4.937008857727051,99.85418701171876,411.9631042480469,0,0,0,0
95,95,0.0018999999156221,4.785000801086426,98.00082397460936,411.84478759765625,0,0,0,0
96,96,0.0019199999514967,4.9474921226501465,96.14354705810548,411.72216796875,0,0,0,0
97,97,0.0019399999873712,4.576149940490723,94.28241729736328,411.6041259765625,0,0,0,0
98,98,0.0019600000232458,4.717171669006348,92.41764068603516,411.4796752929688,0,0,0,0
99,99,0.001979999942705,4.579395771026611,90.54926300048828,411.35693359375,0,0,0,0
100,100,0.0019999998621642,4.435436248779297,88.67723083496092,411.233154296875,0,0,0,0
101,101,0.0020200000144541,4.566598892211913,86.80170440673827,411.10546875,0,0,0,0
102,102,0.0020399999339133,4.215054035186768,84.92269134521484,410.9813537597656,0,0,0,0
103,103,0.0020599998533725,4.336630344390869,83.04047393798828,410.8518676757813,0,0,0,0
104,104,0.0020800000056624,4.1969895362854,81.15480041503906,410.7235412597656,0,0,0,0
105,105,0.0020999999251216,4.06828498840332,79.26606750488281,410.59417724609375,0,0,0,0
106,106,0.0021199998445808,4.170689582824707,77.37408447265625,410.4618225097656,0,0,0,0
107,107,0.0021399999968707,3.842759370803833,75.47920227050781,410.33218383789057,0,0,0,0
108,108,0.0021599999163299,3.9360439777374254,73.58125305175781,410.1978759765625,0,0,0,0
109,109,0.0021799998357892,3.807414531707764,71.68040466308594,410.064453125,0,0,0,0
110,110,0.002199999988079,3.679326057434082,69.77666473388672,409.9302978515625,0,0,0,0
111,111,0.0022199999075382,3.772305250167847,67.87029266357422,409.7931823730469,0,0,0,0
112,112,0.0022399998269975,3.4561612606048584,65.96116638183594,409.65863037109375,0,0,0,0
113,113,0.0022599999792873,3.5374550819396973,64.04938507080078,409.52001953125,0,0,0,0
114,114,0.0022799998987466,3.405633449554444,62.13518524169922,409.3820495605469,0,0,0,0
115,115,0.0023000000510364,3.291220426559448,60.21848678588867,409.2433471679688,0,0,0,0
116,116,0.0023199999704957,3.3497343063354488,58.29938125610352,409.102294921875,0,0,0,0
117,117,0.0023399998899549,3.058911085128784,56.37799453735352,408.96304321289057,0,0,0,0
